,X.Formula.,X.Neighbor.Matrix.,X.Log.Likelihood.,X.ML.Residual.Variance.,X.AIC.
1,Formula,Neighbor Matrix,Log Likelihood,ML Residual Variance,AIC
1,model_1,A.distance0.5km,-22655.93512,0.85087066,45335.87024
1,model_1,A.distance1km,-22683.1401,0.859423744,45390.2802
1,model_1,A.distance1.5km,-22761.01898,0.874788767,45546.03795
1,model_1,A.queen_shared_edge,-22655.93512,0.85087066,45335.87024
1,model_1,A.rook_shared_edge,-22661.4067,0.849520914,45346.81341
1,model_1,A.lag2,-22686.12953,0.858026054,45396.25906
1,model_1,A.lag4,-22758.23461,0.874676186,45540.46923
1,model_1,A.nearest4,-22638.49347,0.845038492,45300.98694
1,model_2,A.distance0.5km,-22656.00241,0.85090784,45334.00482
1,model_2,A.distance1km,-22684.16136,0.859700525,45390.32272
1,model_2,A.distance1.5km,-22761.55709,0.874913223,45545.11417
1,model_2,A.queen_shared_edge,-22656.00241,0.85090784,45334.00482
1,model_2,A.rook_shared_edge,-22661.40673,0.849520603,45344.81345
1,model_2,A.lag2,-22686.74748,0.858242135,45395.49495
1,model_2,A.lag4,-22758.65044,0.874775671,45539.30088
1,model_2,A.nearest4,-22638.50244,0.845048123,45299.00488
1,model_3,A.distance0.5km,-22656.72792,0.850856535,45335.45584
1,model_3,A.distance1km,-22683.35397,0.859391393,45388.70794
1,model_3,A.distance1.5km,-22761.58507,0.87480434,45545.17014
1,model_3,A.queen_shared_edge,-22656.72792,0.850856535,45335.45584
1,model_3,A.rook_shared_edge,-22662.63979,0.849571024,45347.27959
1,model_3,A.lag2,-22686.47435,0.85797891,45394.94871
1,model_3,A.lag4,-22758.91193,0.874704419,45539.82386
1,model_3,A.nearest4,-22639.49751,0.845043715,45300.99501
1,model_4,A.distance0.5km,-22659.11127,0.850978404,45340.22254
1,model_4,A.distance1km,-22684.72417,0.859315114,45391.44834
1,model_4,A.distance1.5km,-22762.71432,0.874772667,45547.42864
1,model_4,A.queen_shared_edge,-22659.11127,0.850978404,45340.22254
1,model_4,A.rook_shared_edge,-22665.29818,0.849756442,45352.59637
1,model_4,A.lag2,-22688.26387,0.857929252,45398.52774
1,model_4,A.lag4,-22759.92916,0.874652159,45541.85832
1,model_4,A.nearest4,-22642.15353,0.845221163,45306.30706
1,model_5,A.distance0.5km,-22656.54584,0.850988071,45335.09167
1,model_5,A.distance1km,-22683.56078,0.859490503,45389.12157
1,model_5,A.distance1.5km,-22761.38952,0.874842273,45544.77905
1,model_5,A.queen_shared_edge,-22656.54584,0.850988071,45335.09167
1,model_5,A.rook_shared_edge,-22662.25818,0.849707209,45346.51636
1,model_5,A.lag2,-22686.46447,0.858081916,45394.92895
1,model_5,A.lag4,-22758.59496,0.874728297,45539.18993
1,model_5,A.nearest4,-22639.35295,0.845224459,45300.7059
1,model_6,A.distance0.5km,-23396.57213,0.859907497,46815.14426
1,model_6,A.distance1km,-23447.19428,0.92967771,46916.38856
1,model_6,A.distance1.5km,-23785.00055,0.98427732,47592.00109
1,model_6,A.queen_shared_edge,-23396.57213,0.859907497,46815.14426
1,model_6,A.rook_shared_edge,-23592.35452,0.851517695,47206.70904
1,model_6,A.lag2,-23389.93701,0.910547265,46801.87402
1,model_6,A.lag4,-23867.46464,0.994159587,47756.92928
1,model_6,A.nearest4,-23462.56028,0.853656241,46947.12057
1,model_7,A.distance0.5km,-22650.21077,0.850196281,45332.42154
1,model_7,A.distance1km,-22673.38345,0.858096271,45378.76691
1,model_7,A.distance1.5km,-22746.94146,0.8728529,45525.88292
1,model_7,A.queen_shared_edge,-22650.21077,0.850196281,45332.42154
1,model_7,A.rook_shared_edge,-22656.07394,0.849076246,45344.14789
1,model_7,A.lag2,-22678.07447,0.856897023,45388.14894
1,model_7,A.lag4,-22744.82284,0.872794661,45521.64567
1,model_7,A.nearest4,-22633.71684,0.84474135,45299.43367
1,model_8,A.distance0.5km,-22608.86694,0.847272752,45253.73389
1,model_8,A.distance1km,-22631.49601,0.85427134,45298.99201
1,model_8,A.distance1.5km,-22695.67628,0.867559877,45427.35255
1,model_8,A.queen_shared_edge,-22608.86694,0.847272752,45253.73389
1,model_8,A.rook_shared_edge,-22612.18994,0.845973368,45260.37988
1,model_8,A.lag2,-22637.65851,0.853580137,45311.31701
1,model_8,A.lag4,-22693.77393,0.867522685,45423.54785
1,model_8,A.nearest4,-22593.73574,0.842321742,45223.47148
1,model_9,A.distance0.5km,-22611.03379,0.847540966,45250.06757
1,model_9,A.distance1km,-22634.38044,0.85472199,45296.76087
1,model_9,A.distance1.5km,-22698.40202,0.867942001,45424.80403
1,model_9,A.queen_shared_edge,-22611.03379,0.847540966,45250.06757
1,model_9,A.rook_shared_edge,-22614.41856,0.846172246,45256.83713
1,model_9,A.lag2,-22640.30562,0.854003257,45308.61124
1,model_9,A.lag4,-22696.3812,0.867887972,45420.76241
1,model_9,A.nearest4,-22596.14247,0.842558016,45220.28495
1,model_10,A.distance0.5km,-22583.5617,0.846388225,45197.1234
1,model_10,A.distance1km,-22614.17482,0.854081501,45258.34965
1,model_10,A.distance1.5km,-22677.65809,0.866884944,45385.31618
1,model_10,A.queen_shared_edge,-22583.5617,0.846388225,45197.1234
1,model_10,A.rook_shared_edge,-22586.59908,0.845050675,45203.19816
1,model_10,A.lag2,-22616.77233,0.853324494,45263.54467
1,model_10,A.lag4,-22676.0295,0.866897824,45382.05901
1,model_10,A.nearest4,-22569.25725,0.841694439,45168.5145
