"","X.Formula.","X.Neighbor.Matrix.","X.Log.Likelihood.","X.ML.Residual.Variance.","X.AIC."
"1","Formula","Neighbor Matrix","Log Likelihood","ML Residual Variance","AIC"
"1","model_1","A.distance0.5km",-27555.9887734535,1.37485366364686,55135.977546907
"1","model_1","A.distance1km",-30605.9321600272,2.18249375338742,61235.8643200544
"1","model_1","A.distance1.5km",-31497.9922826342,2.46900680047481,63019.9845652683
"1","model_1","A.queen_shared_edge",-27555.9887734535,1.37485366364686,55135.977546907
"1","model_1","A.rook_shared_edge",-26280.7918387133,1.08912423157824,52585.5836774266
"1","model_1","A.lag2",-30043.1593974344,2.01148446984198,60110.3187948688
"1","model_1","A.lag4",-31486.0511974179,2.4658922885839,62996.1023948358
"1","model_1","A.nearest4",-27580.5680734083,1.39332945340517,55185.1361468166
"1","model_2","A.distance0.5km",-27560.0755890384,1.37552794547332,55142.1511780769
"1","model_2","A.distance1km",-30609.5139016211,2.18343088446517,61241.0278032422
"1","model_2","A.distance1.5km",-31499.544931327,2.46946764676129,63021.0898626539
"1","model_2","A.queen_shared_edge",-27560.0755890384,1.37552794547332,55142.1511780769
"1","model_2","A.rook_shared_edge",-26285.1791766514,1.08969411426401,52592.3583533029
"1","model_2","A.lag2",-30047.0829706846,2.01243080070613,60116.1659413693
"1","model_2","A.lag4",-31487.221051309,2.46623932865951,62996.4421026181
"1","model_2","A.nearest4",-27581.7358239457,1.39352371088703,55185.4716478914
"1","model_3","A.distance0.5km",-27556.1491434552,1.37487892806808,55134.2982869104
"1","model_3","A.distance1km",-30606.44054272,2.18262432772849,61234.88108544
"1","model_3","A.distance1.5km",-31499.582408266,2.46947165308967,63021.164816532
"1","model_3","A.queen_shared_edge",-27556.1491434552,1.37487892806808,55134.2982869104
"1","model_3","A.rook_shared_edge",-26280.8462274168,1.08913129444303,52583.6924548336
"1","model_3","A.lag2",-30043.5072092255,2.01156638281418,60109.014418451
"1","model_3","A.lag4",-31487.9988493866,2.46646154020586,62997.9976987731
"1","model_3","A.nearest4",-27582.0492092375,1.39357525675445,55186.098418475
"1","model_4","A.distance0.5km",-27557.8343180134,1.37515140437856,55137.6686360269
"1","model_4","A.distance1km",-30609.0171530522,2.18328737563411,61240.0343061045
"1","model_4","A.distance1.5km",-31502.7309931454,2.47038835904533,63027.4619862907
"1","model_4","A.queen_shared_edge",-27557.8343180134,1.37515140437856,55137.6686360269
"1","model_4","A.rook_shared_edge",-26282.8656887694,1.08939357217955,52587.7313775387
"1","model_4","A.lag2",-30045.648471211,2.01207354303508,60113.2969424221
"1","model_4","A.lag4",-31490.6318004705,2.46722414905837,63003.263600941
"1","model_4","A.nearest4",-27592.4192532242,1.39529876648592,55206.8385064483
"1","model_5","A.distance0.5km",-27556.7211883136,1.3749735345289,55135.4423766271
"1","model_5","A.distance1km",-30607.0950894508,2.18279587056262,61236.1901789015
"1","model_5","A.distance1.5km",-31499.1100156609,2.46933504067224,63020.2200313218
"1","model_5","A.queen_shared_edge",-27556.7211883136,1.3749735345289,55135.4423766271
"1","model_5","A.rook_shared_edge",-26281.9292524967,1.08927194457649,52585.8585049933
"1","model_5","A.lag2",-30044.4045268971,2.01178272908049,60110.8090537942
"1","model_5","A.lag4",-31487.2316400795,2.46623850031756,62996.463280159
"1","model_5","A.nearest4",-27582.1199290066,1.39358726426272,55186.2398580132
"1","model_6","A.distance0.5km",-28579.851134862,1.55302476114794,57181.7022697239
"1","model_6","A.distance1km",-32327.7106945661,2.67943139989407,64677.4213891323
"1","model_6","A.distance1.5km",-33804.7219624512,3.25013248252249,67631.4439249023
"1","model_6","A.queen_shared_edge",-28579.851134862,1.55302476114794,57181.7022697239
"1","model_6","A.rook_shared_edge",-27168.2000268107,1.21067916771552,54358.4000536213
"1","model_6","A.lag2",-31561.4727953732,2.41026326606176,63144.9455907465
"1","model_6","A.lag4",-33988.471118566,3.32266512090306,67998.9422371321
"1","model_6","A.nearest4",-29466.9405063774,1.74465056096733,58955.8810127547
"1","model_7","A.distance0.5km",-27527.291501572,1.37016382357297,55086.5830031441
"1","model_7","A.distance1km",-30573.527909553,2.1740681441424,61179.0558191059
"1","model_7","A.distance1.5km",-31455.7189666981,2.45656606089717,62943.4379333962
"1","model_7","A.queen_shared_edge",-27527.291501572,1.37016382357297,55086.5830031441
"1","model_7","A.rook_shared_edge",-26254.2988199378,1.08568931276615,52540.5976398756
"1","model_7","A.lag2",-30014.4517472698,2.0046082458361,60060.9034945396
"1","model_7","A.lag4",-31445.15631209,2.45386580220669,62922.31262418
"1","model_7","A.nearest4",-27560.3283741427,1.38997198301959,55152.6567482854
"1","model_8","A.distance0.5km",-27497.0819774639,1.36524023269318,55030.1639549278
"1","model_8","A.distance1km",-30523.9946120279,2.1612639536311,61083.9892240558
"1","model_8","A.distance1.5km",-31390.6620083438,2.4375768821335,62817.3240166875
"1","model_8","A.queen_shared_edge",-27497.0819774639,1.36524023269318,55030.1639549278
"1","model_8","A.rook_shared_edge",-26233.8953100305,1.08305130758491,52503.790620061
"1","model_8","A.lag2",-29972.207116953,1.99453652763242,59980.414233906
"1","model_8","A.lag4",-31380.7702688584,2.43509130707331,62797.5405377167
"1","model_8","A.nearest4",-27541.4632639386,1.38684995411594,55118.9265278773
"1","model_9","A.distance0.5km",-27507.6138724021,1.36695631791895,55043.2277448041
"1","model_9","A.distance1km",-30533.2610295395,2.16365710354184,61094.522059079
"1","model_9","A.distance1.5km",-31400.5547074613,2.44046082632942,62829.1094149226
"1","model_9","A.queen_shared_edge",-27507.6138724021,1.36695631791895,55043.2277448041
"1","model_9","A.rook_shared_edge",-26244.8293715768,1.08446419327302,52517.6587431536
"1","model_9","A.lag2",-29981.6283332334,1.99678079907956,59991.2566664669
"1","model_9","A.lag4",-31390.5732548299,2.43794632953625,62809.1465096599
"1","model_9","A.nearest4",-27552.6439577746,1.38869990553667,55133.2879155491
"1","model_10","A.distance0.5km",-27460.6129006258,1.35932447791367,54951.2258012517
"1","model_10","A.distance1km",-30476.0866597063,2.14899027603196,60982.1733194126
"1","model_10","A.distance1.5km",-31329.9768055065,2.4200645929943,62689.953611013
"1","model_10","A.queen_shared_edge",-27460.6129006258,1.35932447791367,54951.2258012517
"1","model_10","A.rook_shared_edge",-26206.6104798921,1.07953361887989,52443.2209597841
"1","model_10","A.lag2",-29923.402179901,1.98299081565283,59876.804359802
"1","model_10","A.lag4",-31321.7757343166,2.41809068812279,62673.5514686331
"1","model_10","A.nearest4",-27512.0184992514,1.38199362538229,55054.0369985028
