"","Estimate","Std. Error","z value","Pr(>|z|)","variable","formula","neighbours"
"(Intercept)",0.451622472974799,0.00960711013457367,47.0091907606554,0,"(Intercept)","model_10","A.nearest4"
"LDN_grid$pc_f.scaled",-0.0383961911684432,0.0101680292441012,-3.77616844392124,0.000159259310546611,"LDN_grid$pc_f.scaled","model_10","A.nearest4"
"LDN_grid$pc_65_plus.scaled",-0.102334919605173,0.0365702093006295,-2.79831375215596,0.00513701859352333,"LDN_grid$pc_65_plus.scaled","model_10","A.nearest4"
"LDN_grid$pc_50_plus.scaled",0.0562956906241154,0.0363985573956201,1.54664620392042,0.121948581826757,"LDN_grid$pc_50_plus.scaled","model_10","A.nearest4"
"LDN_grid$pc_bad_gh.scaled",0.0182832415994282,0.0155704217818121,1.17422905144323,0.240303292568544,"LDN_grid$pc_bad_gh.scaled","model_10","A.nearest4"
"LDN_grid$avg_hos_dpr.scaled",-4.17780131670153e-10,0.0178680681457908,-2.3381382265915e-08,0.999999981344356,"LDN_grid$avg_hos_dpr.scaled","model_10","A.nearest4"
"LDN_grid$pop_den.scaled",-0.601349097493255,0.0170249655668715,-35.3216043304902,0,"LDN_grid$pop_den.scaled","model_10","A.nearest4"
"LDN_grid$WD_pop_den.scaled",0.943199498153965,0.0171219010479539,55.0873115965519,0,"LDN_grid$WD_pop_den.scaled","model_10","A.nearest4"
"LDN_grid$count_sports.scaled",0.218203338094894,0.00738458770137581,29.5484794708635,0,"LDN_grid$count_sports.scaled","model_10","A.nearest4"
"LDN_grid$count_CHs.scaled",0.00901420962809548,0.00715516739719836,1.25981813250449,0.207734977063305,"LDN_grid$count_CHs.scaled","model_10","A.nearest4"
"LDN_grid$pc_f.scaled:LDN_grid$pc_50_plus.scaled",-0.0599739698903731,0.0293969297114021,-2.04014400412404,0.0413359850026962,"LDN_grid$pc_f.scaled:LDN_grid$pc_50_plus.scaled","model_10","A.nearest4"
"LDN_grid$pc_f.scaled:LDN_grid$pc_65_plus.scaled",0.102060803291382,0.029707608265776,3.43551060651889,0.000591438311074999,"LDN_grid$pc_f.scaled:LDN_grid$pc_65_plus.scaled","model_10","A.nearest4"
"LDN_grid$pc_f.scaled:LDN_grid$pc_bad_gh.scaled",0.0777362178504986,0.00786006501427993,9.89002224654247,0,"LDN_grid$pc_f.scaled:LDN_grid$pc_bad_gh.scaled","model_10","A.nearest4"
