"","Estimate","Std. Error","z value","Pr(>|z|)","variable","formula","neighbours"
"(Intercept)",0.439689142881134,0.00912975810858077,48.1599991644778,0,"(Intercept)","model_10","A.nearest4"
"LDN_grid$pc_f.scaled",-0.038371356708414,0.00948743400650408,-4.04443990673439,5.24483585853108e-05,"LDN_grid$pc_f.scaled","model_10","A.nearest4"
"LDN_grid$pc_65_plus.scaled",-0.074193390146352,0.0352132575285324,-2.10697320707222,0.0351199020861366,"LDN_grid$pc_65_plus.scaled","model_10","A.nearest4"
"LDN_grid$pc_50_plus.scaled",0.035275394897944,0.0350261508202249,1.00711594257098,0.313879060784731,"LDN_grid$pc_50_plus.scaled","model_10","A.nearest4"
"LDN_grid$pc_bad_gh.scaled",0.0190485260542344,0.0149708168738536,1.27237719990433,0.203239131029831,"LDN_grid$pc_bad_gh.scaled","model_10","A.nearest4"
"LDN_grid$avg_hos_dpr.scaled",-0.0612992691147625,0.0170075062616783,-3.60424792274711,0.000313058119699505,"LDN_grid$avg_hos_dpr.scaled","model_10","A.nearest4"
"LDN_grid$pop_den.scaled",-0.578951258061579,0.0161660257434251,-35.8128378149493,0,"LDN_grid$pop_den.scaled","model_10","A.nearest4"
"LDN_grid$WD_pop_den.scaled",0.91663650375919,0.0163717298744133,55.988982886394,0,"LDN_grid$WD_pop_den.scaled","model_10","A.nearest4"
"LDN_grid$count_sports.scaled",0.219426842077201,0.0071192094251134,30.821799019307,0,"LDN_grid$count_sports.scaled","model_10","A.nearest4"
"LDN_grid$count_CHs.scaled",0.00940655764521628,0.00689209644919349,1.36483256068145,0.172305682394632,"LDN_grid$count_CHs.scaled","model_10","A.nearest4"
"LDN_grid$pc_f.scaled:LDN_grid$pc_50_plus.scaled",-0.0454305254788055,0.0274139130592405,-1.65720688544652,0.0974776549558729,"LDN_grid$pc_f.scaled:LDN_grid$pc_50_plus.scaled","model_10","A.nearest4"
"LDN_grid$pc_f.scaled:LDN_grid$pc_65_plus.scaled",0.0676555573108954,0.027422620899144,2.46714409828739,0.0136195536922079,"LDN_grid$pc_f.scaled:LDN_grid$pc_65_plus.scaled","model_10","A.nearest4"
"LDN_grid$pc_f.scaled:LDN_grid$pc_bad_gh.scaled",0.0549734358929886,0.00749055455100455,7.33903418213758,2.15161222172355e-13,"LDN_grid$pc_f.scaled:LDN_grid$pc_bad_gh.scaled","model_10","A.nearest4"
