"","Estimate","Std. Error","z value","Pr(>|z|)","variable","formula","neighbours"
"(Intercept)",0.45204275359283,0.0104494512322327,43.259951508118,0,"(Intercept)","model_10","A.queen_shared_edge"
"LDN_grid$pc_f.scaled",-0.0395441524677642,0.010408452801912,-3.79923445110882,0.000145143737907638,"LDN_grid$pc_f.scaled","model_10","A.queen_shared_edge"
"LDN_grid$pc_65_plus.scaled",-0.0991075370357837,0.0375933014112838,-2.63630841972384,0.00838135132864615,"LDN_grid$pc_65_plus.scaled","model_10","A.queen_shared_edge"
"LDN_grid$pc_50_plus.scaled",0.0501300976431129,0.0373139995142923,1.34346621363683,0.179121059105696,"LDN_grid$pc_50_plus.scaled","model_10","A.queen_shared_edge"
"LDN_grid$pc_bad_gh.scaled",0.0152494641549848,0.0158853797396284,0.959968499647688,0.337071068944191,"LDN_grid$pc_bad_gh.scaled","model_10","A.queen_shared_edge"
"LDN_grid$avg_hos_dpr.scaled",-0.0717338141653895,0.0184997688385383,-3.87755191924102,0.000105512815590902,"LDN_grid$avg_hos_dpr.scaled","model_10","A.queen_shared_edge"
"LDN_grid$pop_den.scaled",-0.584000607460988,0.0174165047744692,-33.5314470396536,0,"LDN_grid$pop_den.scaled","model_10","A.queen_shared_edge"
"LDN_grid$WD_pop_den.scaled",0.921285671195694,0.0175307029183242,52.5526942922925,0,"LDN_grid$WD_pop_den.scaled","model_10","A.queen_shared_edge"
"LDN_grid$count_sports.scaled",0.220409487325334,0.00740270314385081,29.7741896496851,0,"LDN_grid$count_sports.scaled","model_10","A.queen_shared_edge"
"LDN_grid$count_CHs.scaled",0.00764326025305146,0.0071682481899961,1.06626612952915,0.286303355943306,"LDN_grid$count_CHs.scaled","model_10","A.queen_shared_edge"
"LDN_grid$pc_f.scaled:LDN_grid$pc_50_plus.scaled",-0.0657735093786066,0.0299247170677875,-2.19796595669098,0.0279515320201513,"LDN_grid$pc_f.scaled:LDN_grid$pc_50_plus.scaled","model_10","A.queen_shared_edge"
"LDN_grid$pc_f.scaled:LDN_grid$pc_65_plus.scaled",0.107890935583707,0.03024816802907,3.56685851123341,0.000361286420481166,"LDN_grid$pc_f.scaled:LDN_grid$pc_65_plus.scaled","model_10","A.queen_shared_edge"
"LDN_grid$pc_f.scaled:LDN_grid$pc_bad_gh.scaled",0.0802353446918437,0.00791950201231072,10.1313623719167,0,"LDN_grid$pc_f.scaled:LDN_grid$pc_bad_gh.scaled","model_10","A.queen_shared_edge"
