"","Estimate","Std. Error","z value","Pr(>|z|)","variable","formula","neighbours"
"(Intercept)",0.434544833382722,0.027364923572429,15.8796289795064,0,"(Intercept)","model_7","A.distance1.5km"
"LDN_grid$pc_f.scaled",-0.0593254029036761,0.00935526135737543,-6.3413944984985,2.27694751941954e-10,"LDN_grid$pc_f.scaled","model_7","A.distance1.5km"
"LDN_grid$pc_65_plus.scaled",0.00633649352567075,0.0374634757667421,0.169137897538485,0.865688176411457,"LDN_grid$pc_65_plus.scaled","model_7","A.distance1.5km"
"LDN_grid$pc_50_plus.scaled",-0.0644386198962763,0.0360690992433726,-1.78653255135326,0.074013071563334,"LDN_grid$pc_50_plus.scaled","model_7","A.distance1.5km"
"LDN_grid$pc_bad_gh.scaled",0.0165554059720448,0.0151512579306755,1.09267534404033,0.274536368962402,"LDN_grid$pc_bad_gh.scaled","model_7","A.distance1.5km"
"LDN_grid$avg_hos_dpr.scaled",-0.021415193662906,0.0193854704277132,-1.10470332627529,0.269288161637375,"LDN_grid$avg_hos_dpr.scaled","model_7","A.distance1.5km"
"LDN_grid$pop_den.scaled",-0.490449652406569,0.0203040183012482,-24.1552999573694,0,"LDN_grid$pop_den.scaled","model_7","A.distance1.5km"
"LDN_grid$WD_pop_den.scaled",0.782193665073735,0.0187712957619364,41.6696681461828,0,"LDN_grid$WD_pop_den.scaled","model_7","A.distance1.5km"
"LDN_grid$count_sports.scaled",0.228175707917142,0.00721349581760189,31.6317793323402,0,"LDN_grid$count_sports.scaled","model_7","A.distance1.5km"
"LDN_grid$count_CHs.scaled",0.00645170199133691,0.00697948901664851,0.924380277115897,0.355288359719875,"LDN_grid$count_CHs.scaled","model_7","A.distance1.5km"
"LDN_grid$pc_f.scaled:LDN_grid$pop_den.scaled",0.0289126897160701,0.00807973957479322,3.57841851812533,0.00034567960189591,"LDN_grid$pc_f.scaled:LDN_grid$pop_den.scaled","model_7","A.distance1.5km"
"LDN_grid$pc_50_plus.scaled:LDN_grid$pop_den.scaled",0.0534903222507314,0.0325851457976107,1.64155540634879,0.10068217571201,"LDN_grid$pc_50_plus.scaled:LDN_grid$pop_den.scaled","model_7","A.distance1.5km"
"LDN_grid$pc_65_plus.scaled:LDN_grid$pop_den.scaled",-0.0359331115815437,0.0368915515566555,-0.974020068696763,0.330046574790507,"LDN_grid$pc_65_plus.scaled:LDN_grid$pop_den.scaled","model_7","A.distance1.5km"
"LDN_grid$pc_bad_gh.scaled:LDN_grid$pop_den.scaled",-0.00528984524167806,0.00780833380412391,-0.677461462890364,0.498113212988439,"LDN_grid$pc_bad_gh.scaled:LDN_grid$pop_den.scaled","model_7","A.distance1.5km"
