"","Estimate","Std. Error","z value","Pr(>|z|)","variable","formula","neighbours"
"(Intercept)",0.458884962836185,0.0216768946368986,21.1693127877767,0,"(Intercept)","model_8","A.lag4"
"LDN_grid$pc_f.scaled",-0.059079042641721,0.00919917878458646,-6.42220833241224,1.34311450850078e-10,"LDN_grid$pc_f.scaled","model_8","A.lag4"
"LDN_grid$pc_65_plus.scaled",0.000902184966856819,0.037038167470951,0.0243582506495334,0.980566849591207,"LDN_grid$pc_65_plus.scaled","model_8","A.lag4"
"LDN_grid$pc_50_plus.scaled",-0.0603466224153788,0.0354687222206234,-1.70140390285304,0.0888671689381879,"LDN_grid$pc_50_plus.scaled","model_8","A.lag4"
"LDN_grid$pc_bad_gh.scaled",0.0229722865186983,0.0149672786131607,1.5348338941522,0.124824634843143,"LDN_grid$pc_bad_gh.scaled","model_8","A.lag4"
"LDN_grid$avg_hos_dpr.scaled",-0.0308937909443022,0.0188392641562373,-1.63986186976808,0.101033890541839,"LDN_grid$avg_hos_dpr.scaled","model_8","A.lag4"
"LDN_grid$pop_den.scaled",-0.522485985042003,0.0195360774355598,-26.7446720952778,0,"LDN_grid$pop_den.scaled","model_8","A.lag4"
"LDN_grid$WD_pop_den.scaled",0.826340804051029,0.0174155268794623,47.4485101582263,0,"LDN_grid$WD_pop_den.scaled","model_8","A.lag4"
"LDN_grid$count_sports.scaled",0.251147214252729,0.00756143972798585,33.2142056655165,0,"LDN_grid$count_sports.scaled","model_8","A.lag4"
"LDN_grid$count_CHs.scaled",0.00291571402756615,0.00746636812791896,0.39051302823704,0.696157223409729,"LDN_grid$count_CHs.scaled","model_8","A.lag4"
"LDN_grid$pc_f.scaled:LDN_grid$pop_den.scaled",0.0249990284952917,0.00796371335405943,3.13911706560215,0.00169457735459511,"LDN_grid$pc_f.scaled:LDN_grid$pop_den.scaled","model_8","A.lag4"
"LDN_grid$pc_50_plus.scaled:LDN_grid$pop_den.scaled",0.0318581243654094,0.0324062772977811,0.983084976798328,0.325565617571301,"LDN_grid$pc_50_plus.scaled:LDN_grid$pop_den.scaled","model_8","A.lag4"
"LDN_grid$pc_65_plus.scaled:LDN_grid$pop_den.scaled",-0.0261251074959445,0.0365441028983035,-0.714892566076845,0.474675430896392,"LDN_grid$pc_65_plus.scaled:LDN_grid$pop_den.scaled","model_8","A.lag4"
"LDN_grid$pc_bad_gh.scaled:LDN_grid$pop_den.scaled",-0.00016911085826025,0.00776519437181439,-0.0217780586245308,0.982624996717288,"LDN_grid$pc_bad_gh.scaled:LDN_grid$pop_den.scaled","model_8","A.lag4"
"LDN_grid$pop_den.scaled:LDN_grid$count_sports.scaled",-0.0652295546210165,0.00676322866069447,-9.64473595283092,0,"LDN_grid$pop_den.scaled:LDN_grid$count_sports.scaled","model_8","A.lag4"
"LDN_grid$pop_den.scaled:LDN_grid$count_CHs.scaled",0.00749142265078482,0.0073701353984596,1.01645658400666,0.309412012112188,"LDN_grid$pop_den.scaled:LDN_grid$count_CHs.scaled","model_8","A.lag4"
