"","Estimate","Std. Error","z value","Pr(>|z|)","variable","formula","neighbours"
"(Intercept)",0.479227223371894,0.011592965889678,41.337758424579,0,"(Intercept)","model_8","A.rook_shared_edge"
"LDN_grid$pc_f.scaled",-0.064800565978462,0.0093501521367895,-6.93042904868841,4.19575485466339e-12,"LDN_grid$pc_f.scaled","model_8","A.rook_shared_edge"
"LDN_grid$pc_65_plus.scaled",-0.0351756860899178,0.037887958030755,-0.928413351317705,0.35319319549985,"LDN_grid$pc_65_plus.scaled","model_8","A.rook_shared_edge"
"LDN_grid$pc_50_plus.scaled",-0.0222996975170079,0.0362695707601718,-0.614832131994669,0.538665586812156,"LDN_grid$pc_50_plus.scaled","model_8","A.rook_shared_edge"
"LDN_grid$pc_bad_gh.scaled",0.0452764075468304,0.0154701546139204,2.92669392625783,0.00342585848865906,"LDN_grid$pc_bad_gh.scaled","model_8","A.rook_shared_edge"
"LDN_grid$avg_hos_dpr.scaled",-0.0880849770632776,0.0177549627887371,-4.96114681350696,7.00781982443388e-07,"LDN_grid$avg_hos_dpr.scaled","model_8","A.rook_shared_edge"
"LDN_grid$pop_den.scaled",-0.640389360203465,0.0191542993769344,-33.433191556702,0,"LDN_grid$pop_den.scaled","model_8","A.rook_shared_edge"
"LDN_grid$WD_pop_den.scaled",0.978554416241409,0.0168708430369977,58.002698151802,0,"LDN_grid$WD_pop_den.scaled","model_8","A.rook_shared_edge"
"LDN_grid$count_sports.scaled",0.238526177276375,0.00772113803228253,30.8926192329529,0,"LDN_grid$count_sports.scaled","model_8","A.rook_shared_edge"
"LDN_grid$count_CHs.scaled",0.00448056450512915,0.00765203995689753,0.585538566234273,0.55818564260159,"LDN_grid$count_CHs.scaled","model_8","A.rook_shared_edge"
"LDN_grid$pc_f.scaled:LDN_grid$pop_den.scaled",0.0136681873675864,0.00820669198358511,1.66549291662527,0.0958144556467937,"LDN_grid$pc_f.scaled:LDN_grid$pop_den.scaled","model_8","A.rook_shared_edge"
"LDN_grid$pc_50_plus.scaled:LDN_grid$pop_den.scaled",0.0355008435658414,0.033038307734479,1.07453577377973,0.282582620102909,"LDN_grid$pc_50_plus.scaled:LDN_grid$pop_den.scaled","model_8","A.rook_shared_edge"
"LDN_grid$pc_65_plus.scaled:LDN_grid$pop_den.scaled",-0.0391941696202463,0.0369518324956921,-1.06068270429662,0.288834122715404,"LDN_grid$pc_65_plus.scaled:LDN_grid$pop_den.scaled","model_8","A.rook_shared_edge"
"LDN_grid$pc_bad_gh.scaled:LDN_grid$pop_den.scaled",0.00720190742994896,0.00824122988389233,0.873887457505007,0.382179545813284,"LDN_grid$pc_bad_gh.scaled:LDN_grid$pop_den.scaled","model_8","A.rook_shared_edge"
"LDN_grid$pop_den.scaled:LDN_grid$count_sports.scaled",-0.0644273439306475,0.00694769532020395,-9.27319650061399,0,"LDN_grid$pop_den.scaled:LDN_grid$count_sports.scaled","model_8","A.rook_shared_edge"
"LDN_grid$pop_den.scaled:LDN_grid$count_CHs.scaled",0.0107047068357125,0.00748347781436534,1.43044545614389,0.152589209821992,"LDN_grid$pop_den.scaled:LDN_grid$count_CHs.scaled","model_8","A.rook_shared_edge"
