"","Estimate","Std. Error","z value","Pr(>|z|)","variable","formula","neighbours"
"(Intercept)",0.44310934331566,0.022817817539391,19.4194445875776,0,"(Intercept)","model_9","A.distance1km"
"LDN_grid$pc_f.scaled",-0.049450293813953,0.00984569795387919,-5.0225280163576,5.09957555516749e-07,"LDN_grid$pc_f.scaled","model_9","A.distance1km"
"LDN_grid$pc_65_plus.scaled",-0.0601308793913505,0.0160552469370196,-3.74524786988501,0.000180215756567348,"LDN_grid$pc_65_plus.scaled","model_9","A.distance1km"
"LDN_grid$pc_bad_gh.scaled",0.0158851994518476,0.0159067480360166,0.998645318067515,0.317966538655925,"LDN_grid$pc_bad_gh.scaled","model_9","A.distance1km"
"LDN_grid$avg_hos_dpr.scaled",-0.0204418833394587,0.0203397246769853,-1.0050226177638,0.31488595903896,"LDN_grid$avg_hos_dpr.scaled","model_9","A.distance1km"
"LDN_grid$pop_den.scaled",-0.454687699911533,0.020520097773872,-22.1581643967837,0,"LDN_grid$pop_den.scaled","model_9","A.distance1km"
"LDN_grid$WD_pop_den.scaled",0.727454147213414,0.0194199881901847,37.4590416888661,0,"LDN_grid$WD_pop_den.scaled","model_9","A.distance1km"
"LDN_grid$count_sports.scaled",0.24494772519922,0.00750123363820164,32.6543255434375,0,"LDN_grid$count_sports.scaled","model_9","A.distance1km"
"LDN_grid$count_CHs.scaled",0.00721259220907481,0.00689084280894712,1.04669231457579,0.295241509488626,"LDN_grid$count_CHs.scaled","model_9","A.distance1km"
"LDN_grid$pc_f.scaled:LDN_grid$pop_den.scaled",0.0243977350895549,0.00812012093253097,3.00460243046532,0.00265928199688203,"LDN_grid$pc_f.scaled:LDN_grid$pop_den.scaled","model_9","A.distance1km"
"LDN_grid$pop_den.scaled:LDN_grid$pc_50_plus.scaled",0.00469277929969906,0.0118691084136262,0.395377574806847,0.692564256431873,"LDN_grid$pop_den.scaled:LDN_grid$pc_50_plus.scaled","model_9","A.distance1km"
"LDN_grid$pop_den.scaled:LDN_grid$count_sports.scaled",-0.0569549859999893,0.00669383177334171,-8.50857743793524,0,"LDN_grid$pop_den.scaled:LDN_grid$count_sports.scaled","model_9","A.distance1km"
