"","Estimate","Std. Error","z value","Pr(>|z|)","variable","formula","neighbours"
"(Intercept)",3.19823109341911,0.0916741845175735,34.886932567216,0,"(Intercept)","model_1","A.rook_shared_edge"
"LDN_grid$pc_f.scaled",-0.30695938116436,0.027315576581621,-11.2375215748107,0,"LDN_grid$pc_f.scaled","model_1","A.rook_shared_edge"
"LDN_grid$pc_65_plus.scaled",-0.527007062161831,0.109611046316454,-4.80797401240315,1.52467579739302e-06,"LDN_grid$pc_65_plus.scaled","model_1","A.rook_shared_edge"
"LDN_grid$pc_50_plus.scaled",0.0743747569283125,0.108196716873721,0.687403084652902,0.491828754333408,"LDN_grid$pc_50_plus.scaled","model_1","A.rook_shared_edge"
"LDN_grid$pc_bad_gh.scaled",0.203592230121454,0.0437131857248047,4.65745579384591,3.20141137510888e-06,"LDN_grid$pc_bad_gh.scaled","model_1","A.rook_shared_edge"
"LDN_grid$avg_hos_dpr.scaled",-0.395507879413001,0.0589741559964254,-6.7064610375598,1.99400496114777e-11,"LDN_grid$avg_hos_dpr.scaled","model_1","A.rook_shared_edge"
"LDN_grid$pop_den.scaled",-1.4072654960038,0.0489349175410494,-28.7579006304303,0,"LDN_grid$pop_den.scaled","model_1","A.rook_shared_edge"
"LDN_grid$WD_pop_den.scaled",2.63383972652046,0.0526221595002713,50.0519125693972,0,"LDN_grid$WD_pop_den.scaled","model_1","A.rook_shared_edge"
"LDN_grid$count_sports.scaled",0.139535209643428,0.0135031283481696,10.3335468674815,0,"LDN_grid$count_sports.scaled","model_1","A.rook_shared_edge"
"LDN_grid$count_CHs.scaled",0.0195765267428695,0.0130029875433557,1.5055406826774,0.1321851256726,"LDN_grid$count_CHs.scaled","model_1","A.rook_shared_edge"
