"","Estimate","Std. Error","z value","Pr(>|z|)","variable","formula","neighbours"
"(Intercept)",2.29038755335875,0.136317004889711,16.8019210458139,0,"(Intercept)","model_7","A.distance1km"
"LDN_grid$pc_f.scaled",-0.436377194552941,0.0305276300839256,-14.2944995518246,0,"LDN_grid$pc_f.scaled","model_7","A.distance1km"
"LDN_grid$pc_65_plus.scaled",-0.111694229637282,0.12162904895332,-0.918318696055485,0.358452042054385,"LDN_grid$pc_65_plus.scaled","model_7","A.distance1km"
"LDN_grid$pc_50_plus.scaled",-0.099145098752777,0.118591277590772,-0.836023531974257,0.403141664798948,"LDN_grid$pc_50_plus.scaled","model_7","A.distance1km"
"LDN_grid$pc_bad_gh.scaled",0.125996118013853,0.0488900965004177,2.57712966495733,0.00996245713715216,"LDN_grid$pc_bad_gh.scaled","model_7","A.distance1km"
"LDN_grid$avg_hos_dpr.scaled",-0.162412236964241,0.0647009221317269,-2.510199725339,0.0120662893944745,"LDN_grid$avg_hos_dpr.scaled","model_7","A.distance1km"
"LDN_grid$pop_den.scaled",-1.85775070040641,0.067537452136709,-27.5069704531637,0,"LDN_grid$pop_den.scaled","model_7","A.distance1km"
"LDN_grid$WD_pop_den.scaled",3.51659881203165,0.0620235415769773,56.6978073586334,0,"LDN_grid$WD_pop_den.scaled","model_7","A.distance1km"
"LDN_grid$count_sports.scaled",0.303817994532995,0.0211061118464422,14.3947874787846,0,"LDN_grid$count_sports.scaled","model_7","A.distance1km"
"LDN_grid$count_CHs.scaled",0.0133312158907594,0.0203625455486815,0.654692993019362,0.512665437538818,"LDN_grid$count_CHs.scaled","model_7","A.distance1km"
"LDN_grid$pc_f.scaled:LDN_grid$pop_den.scaled",0.233072159614355,0.0255513257158222,9.12172472796703,0,"LDN_grid$pc_f.scaled:LDN_grid$pop_den.scaled","model_7","A.distance1km"
"LDN_grid$pc_50_plus.scaled:LDN_grid$pop_den.scaled",0.455698792953024,0.104064357069775,4.37900935329353,1.19220015686317e-05,"LDN_grid$pc_50_plus.scaled:LDN_grid$pop_den.scaled","model_7","A.distance1km"
"LDN_grid$pc_65_plus.scaled:LDN_grid$pop_den.scaled",-0.190862745556886,0.117843273852072,-1.61963206993446,0.10531133631444,"LDN_grid$pc_65_plus.scaled:LDN_grid$pop_den.scaled","model_7","A.distance1km"
"LDN_grid$pc_bad_gh.scaled:LDN_grid$pop_den.scaled",-0.107612148606339,0.0247932308038454,-4.34038425478812,1.42233773734457e-05,"LDN_grid$pc_bad_gh.scaled:LDN_grid$pop_den.scaled","model_7","A.distance1km"
