"","Estimate","Std. Error","z value","Pr(>|z|)","variable","formula","neighbours"
"(Intercept)",1.42549110441641,0.0251564876073633,56.66494968078,0,"(Intercept)","model_7","A.nearest4"
"LDN_grid$pc_f.scaled",-0.132925184917583,0.0162208350674235,-8.1947189750137,2.22044604925031e-16,"LDN_grid$pc_f.scaled","model_7","A.nearest4"
"LDN_grid$pc_65_plus.scaled",-0.0274672250432626,0.0652157784160409,-0.421174533378055,0.673627639091341,"LDN_grid$pc_65_plus.scaled","model_7","A.nearest4"
"LDN_grid$pc_50_plus.scaled",-0.169706448658663,0.0639124332886885,-2.65529631600958,0.00792387702523212,"LDN_grid$pc_50_plus.scaled","model_7","A.nearest4"
"LDN_grid$pc_bad_gh.scaled",0.109086241768459,0.0261833015425187,4.16625235711071,3.09647919813916e-05,"LDN_grid$pc_bad_gh.scaled","model_7","A.nearest4"
"LDN_grid$avg_hos_dpr.scaled",-0.228780619273769,0.0320554941087386,-7.13701740168782,9.53681578153009e-13,"LDN_grid$avg_hos_dpr.scaled","model_7","A.nearest4"
"LDN_grid$pop_den.scaled",-1.10151463446301,0.0340368574665021,-32.362407003851,0,"LDN_grid$pop_den.scaled","model_7","A.nearest4"
"LDN_grid$WD_pop_den.scaled",1.97422254629053,0.0304165022700027,64.9062975343336,0,"LDN_grid$WD_pop_den.scaled","model_7","A.nearest4"
"LDN_grid$count_sports.scaled",0.182486378321572,0.00955988507675931,19.0887627682061,0,"LDN_grid$count_sports.scaled","model_7","A.nearest4"
"LDN_grid$count_CHs.scaled",-0.0175379940623693,0.00924022180715831,-1.8980057436265,0.0576953254185719,"LDN_grid$count_CHs.scaled","model_7","A.nearest4"
"LDN_grid$pc_f.scaled:LDN_grid$pop_den.scaled",0.0365038040216236,0.0135263658107435,2.69871483089936,0.00696077945129425,"LDN_grid$pc_f.scaled:LDN_grid$pop_den.scaled","model_7","A.nearest4"
"LDN_grid$pc_50_plus.scaled:LDN_grid$pop_den.scaled",0.098277925514723,0.0544605061366498,1.80457238623763,0.0711416224167278,"LDN_grid$pc_50_plus.scaled:LDN_grid$pop_den.scaled","model_7","A.nearest4"
"LDN_grid$pc_65_plus.scaled:LDN_grid$pop_den.scaled",-0.0511004184414297,0.0609457079823986,-0.838458033110186,0.401773508080687,"LDN_grid$pc_65_plus.scaled:LDN_grid$pop_den.scaled","model_7","A.nearest4"
"LDN_grid$pc_bad_gh.scaled:LDN_grid$pop_den.scaled",0.0470771114986811,0.013361115105235,3.52344180316476,0.000425980635242462,"LDN_grid$pc_bad_gh.scaled:LDN_grid$pop_den.scaled","model_7","A.nearest4"
