"","Estimate","Std. Error","z value","Pr(>|z|)","variable","formula","neighbours"
"(Intercept)",4.69873377472241,0.116729134603379,40.2533077169442,0,"(Intercept)","model_8","A.lag4"
"LDN_grid$pc_f.scaled",-0.640391370061937,0.0345546949695177,-18.5326876890928,0,"LDN_grid$pc_f.scaled","model_8","A.lag4"
"LDN_grid$pc_65_plus.scaled",-0.376695810759287,0.138328506044962,-2.72319727530959,0.00646534382335862,"LDN_grid$pc_65_plus.scaled","model_8","A.lag4"
"LDN_grid$pc_50_plus.scaled",0.0280446493073584,0.132537598120503,0.211597687788639,0.832420913365385,"LDN_grid$pc_50_plus.scaled","model_8","A.lag4"
"LDN_grid$pc_bad_gh.scaled",0.284310523452774,0.0561638782862316,5.0621597391089,4.1453346621978e-07,"LDN_grid$pc_bad_gh.scaled","model_8","A.lag4"
"LDN_grid$avg_hos_dpr.scaled",-0.516409238874249,0.0723100979095693,-7.14159230596075,9.22595333463505e-13,"LDN_grid$avg_hos_dpr.scaled","model_8","A.lag4"
"LDN_grid$pop_den.scaled",-3.05596074884127,0.0743232287804774,-41.1171688714899,0,"LDN_grid$pop_den.scaled","model_8","A.lag4"
"LDN_grid$WD_pop_den.scaled",5.90239648735197,0.0657875371660793,89.719067495284,0,"LDN_grid$WD_pop_den.scaled","model_8","A.lag4"
"LDN_grid$count_sports.scaled",0.517937428144947,0.0277521464470276,18.6629682548544,0,"LDN_grid$count_sports.scaled","model_8","A.lag4"
"LDN_grid$count_CHs.scaled",-0.00167405516338009,0.0273564785964594,-0.0611941027964305,0.951204626219568,"LDN_grid$count_CHs.scaled","model_8","A.lag4"
"LDN_grid$pc_f.scaled:LDN_grid$pop_den.scaled",0.204376451889472,0.0296682064945528,6.88873632880358,5.62905277945447e-12,"LDN_grid$pc_f.scaled:LDN_grid$pop_den.scaled","model_8","A.lag4"
"LDN_grid$pc_50_plus.scaled:LDN_grid$pop_den.scaled",0.765559204619592,0.120651312040256,6.34522071640763,2.2210677741441e-10,"LDN_grid$pc_50_plus.scaled:LDN_grid$pop_den.scaled","model_8","A.lag4"
"LDN_grid$pc_65_plus.scaled:LDN_grid$pop_den.scaled",-0.401979880797905,0.136065320815293,-2.95431545958422,0.00313363504649455,"LDN_grid$pc_65_plus.scaled:LDN_grid$pop_den.scaled","model_8","A.lag4"
"LDN_grid$pc_bad_gh.scaled:LDN_grid$pop_den.scaled",-0.0783654222960275,0.0288699329887768,-2.71443034961294,0.0066389859295366,"LDN_grid$pc_bad_gh.scaled:LDN_grid$pop_den.scaled","model_8","A.lag4"
"LDN_grid$pop_den.scaled:LDN_grid$count_sports.scaled",-0.250904076292311,0.0248095597963982,-10.1132014574776,0,"LDN_grid$pop_den.scaled:LDN_grid$count_sports.scaled","model_8","A.lag4"
"LDN_grid$pop_den.scaled:LDN_grid$count_CHs.scaled",0.00536609082136504,0.0269968073755632,0.198767607840262,0.842444535570268,"LDN_grid$pop_den.scaled:LDN_grid$count_CHs.scaled","model_8","A.lag4"
