"","Estimate","Std. Error","z value","Pr(>|z|)","variable","formula","neighbours"
"(Intercept)",3.56110380155133,0.0955787472169146,37.2583226422653,0,"(Intercept)","model_8","A.queen_shared_edge"
"LDN_grid$pc_f.scaled",-0.405605107173861,0.0284871127764074,-14.2381964208664,0,"LDN_grid$pc_f.scaled","model_8","A.queen_shared_edge"
"LDN_grid$pc_65_plus.scaled",-0.279840202274113,0.113467495161355,-2.46625874552154,0.0136532668106224,"LDN_grid$pc_65_plus.scaled","model_8","A.queen_shared_edge"
"LDN_grid$pc_50_plus.scaled",-0.0697601015308941,0.110911333365346,-0.628971804902045,0.529367515085796,"LDN_grid$pc_50_plus.scaled","model_8","A.queen_shared_edge"
"LDN_grid$pc_bad_gh.scaled",0.204913175728347,0.044955347775798,4.5581490493699,5.16064097833002e-06,"LDN_grid$pc_bad_gh.scaled","model_8","A.queen_shared_edge"
"LDN_grid$avg_hos_dpr.scaled",-0.447644463979818,0.0598472700880451,-7.47978083747613,7.43849426498855e-14,"LDN_grid$avg_hos_dpr.scaled","model_8","A.queen_shared_edge"
"LDN_grid$pop_den.scaled",-1.27351574977198,0.0609544047866173,-20.8929240508568,0,"LDN_grid$pop_den.scaled","model_8","A.queen_shared_edge"
"LDN_grid$WD_pop_den.scaled",2.98258635893056,0.0534091993432092,55.8440567469355,0,"LDN_grid$WD_pop_den.scaled","model_8","A.queen_shared_edge"
"LDN_grid$count_sports.scaled",0.192019988787544,0.0161878666336735,11.8619700256308,0,"LDN_grid$count_sports.scaled","model_8","A.queen_shared_edge"
"LDN_grid$count_CHs.scaled",0.0140006954226197,0.0158207262271087,0.884959086051913,0.376178698405584,"LDN_grid$count_CHs.scaled","model_8","A.queen_shared_edge"
"LDN_grid$pc_f.scaled:LDN_grid$pop_den.scaled",0.181532177379076,0.0220372627402701,8.23751023521404,2.22044604925031e-16,"LDN_grid$pc_f.scaled:LDN_grid$pop_den.scaled","model_8","A.queen_shared_edge"
"LDN_grid$pc_50_plus.scaled:LDN_grid$pop_den.scaled",0.435617490224527,0.0919252595815047,4.73882251959583,2.14963676126168e-06,"LDN_grid$pc_50_plus.scaled:LDN_grid$pop_den.scaled","model_8","A.queen_shared_edge"
"LDN_grid$pc_65_plus.scaled:LDN_grid$pop_den.scaled",-0.121282339168353,0.10384602919106,-1.16790540873944,0.242844922185473,"LDN_grid$pc_65_plus.scaled:LDN_grid$pop_den.scaled","model_8","A.queen_shared_edge"
"LDN_grid$pc_bad_gh.scaled:LDN_grid$pop_den.scaled",-0.0601542093010962,0.0220445000758081,-2.72876268884456,0.00635724345993571,"LDN_grid$pc_bad_gh.scaled:LDN_grid$pop_den.scaled","model_8","A.queen_shared_edge"
"LDN_grid$pop_den.scaled:LDN_grid$count_sports.scaled",-0.0709595879730148,0.0144950895248697,-4.89542253956191,9.80947258311105e-07,"LDN_grid$pop_den.scaled:LDN_grid$count_sports.scaled","model_8","A.queen_shared_edge"
"LDN_grid$pop_den.scaled:LDN_grid$count_CHs.scaled",0.00400972161395999,0.0155270452415061,0.258241123896607,0.79622082169063,"LDN_grid$pop_den.scaled:LDN_grid$count_CHs.scaled","model_8","A.queen_shared_edge"
