"","Estimate","Std. Error","z value","Pr(>|z|)","variable","formula","neighbours"
"(Intercept)",1.35948465190154,0.0631158159703701,21.5395243014801,0,"(Intercept)","model_9","A.distance0.5km"
"LDN_grid$pc_f.scaled",-0.163352680307342,0.0172408305642037,-9.47475701353411,0,"LDN_grid$pc_f.scaled","model_9","A.distance0.5km"
"LDN_grid$pc_65_plus.scaled",-0.1941110325158,0.029688965244488,-6.5381541901949,6.22826235030516e-11,"LDN_grid$pc_65_plus.scaled","model_9","A.distance0.5km"
"LDN_grid$pc_bad_gh.scaled",0.0469211339021467,0.027385837053134,1.7133357585934,0.0866507874300815,"LDN_grid$pc_bad_gh.scaled","model_9","A.distance0.5km"
"LDN_grid$avg_hos_dpr.scaled",-0.087197083309114,0.0370108373318636,-2.35598785640129,0.0184735215989731,"LDN_grid$avg_hos_dpr.scaled","model_9","A.distance0.5km"
"LDN_grid$pop_den.scaled",-0.864783767314519,0.0361882483908767,-23.8968119698365,0,"LDN_grid$pop_den.scaled","model_9","A.distance0.5km"
"LDN_grid$WD_pop_den.scaled",1.50503696325667,0.0318418279268332,47.2660353141463,0,"LDN_grid$WD_pop_den.scaled","model_9","A.distance0.5km"
"LDN_grid$count_sports.scaled",0.231413358447717,0.00992413120926038,23.3182485769415,0,"LDN_grid$count_sports.scaled","model_9","A.distance0.5km"
"LDN_grid$count_CHs.scaled",-0.0118149826137661,0.00914008125069281,-1.29265619087035,0.196129995994621,"LDN_grid$count_CHs.scaled","model_9","A.distance0.5km"
"LDN_grid$pc_f.scaled:LDN_grid$pop_den.scaled",0.085094957126238,0.0134821005988851,6.3116987224732,2.75989009423938e-10,"LDN_grid$pc_f.scaled:LDN_grid$pop_den.scaled","model_9","A.distance0.5km"
"LDN_grid$pc_65_plus.scaled:LDN_grid$pop_den.scaled",0.0325421825301654,0.0234319279328613,1.38879662925763,0.1648946005378,"LDN_grid$pc_65_plus.scaled:LDN_grid$pop_den.scaled","model_9","A.distance0.5km"
"LDN_grid$pop_den.scaled:LDN_grid$count_sports.scaled",-0.0679307285880748,0.00893123736448247,-7.60597057449398,2.8199664825479e-14,"LDN_grid$pop_den.scaled:LDN_grid$count_sports.scaled","model_9","A.distance0.5km"
