"","Estimate","Std. Error","z value","Pr(>|z|)","variable","formula","neighbours"
"(Intercept)",0.463600632980666,0.0109748490847094,42.2420963971679,0,"(Intercept)","model_9","A.rook_shared_edge"
"LDN_grid$pc_f.scaled",-0.0505325790466666,0.00908304370150497,-5.56339710644503,2.6457288804238e-08,"LDN_grid$pc_f.scaled","model_9","A.rook_shared_edge"
"LDN_grid$pc_65_plus.scaled",-0.0397528430241016,0.013939054699684,-2.85190379696285,0.00434582508599934,"LDN_grid$pc_65_plus.scaled","model_9","A.rook_shared_edge"
"LDN_grid$pc_bad_gh.scaled",0.0376531326002284,0.0150302414179637,2.50515820426054,0.0122396632833086,"LDN_grid$pc_bad_gh.scaled","model_9","A.rook_shared_edge"
"LDN_grid$avg_hos_dpr.scaled",-0.0686662763553336,0.017149721606441,-4.00392950574454,6.22989358194381e-05,"LDN_grid$avg_hos_dpr.scaled","model_9","A.rook_shared_edge"
"LDN_grid$pop_den.scaled",-0.58339919801145,0.0180166056547295,-32.3811937271493,0,"LDN_grid$pop_den.scaled","model_9","A.rook_shared_edge"
"LDN_grid$WD_pop_den.scaled",0.924822797523093,0.0162999137211684,56.7378952639512,0,"LDN_grid$WD_pop_den.scaled","model_9","A.rook_shared_edge"
"LDN_grid$count_sports.scaled",0.237309605435159,0.00745849782403089,31.8173459366791,0,"LDN_grid$count_sports.scaled","model_9","A.rook_shared_edge"
"LDN_grid$count_CHs.scaled",0.00925370782949208,0.00685864440742319,1.34920361514539,0.177271573924296,"LDN_grid$count_CHs.scaled","model_9","A.rook_shared_edge"
"LDN_grid$pc_f.scaled:LDN_grid$pop_den.scaled",0.0108881899457655,0.00761730447694024,1.42940195954188,0.152888735532847,"LDN_grid$pc_f.scaled:LDN_grid$pop_den.scaled","model_9","A.rook_shared_edge"
"LDN_grid$pop_den.scaled:LDN_grid$pc_50_plus.scaled",0.0064118660220132,0.0103335083829563,0.620492652097585,0.53493349014338,"LDN_grid$pop_den.scaled:LDN_grid$pc_50_plus.scaled","model_9","A.rook_shared_edge"
"LDN_grid$pop_den.scaled:LDN_grid$count_sports.scaled",-0.0589428323583878,0.00664987402170118,-8.86375172913562,0,"LDN_grid$pop_den.scaled:LDN_grid$count_sports.scaled","model_9","A.rook_shared_edge"
