"","Estimate","Std. Error","z value","Pr(>|z|)","variable","formula","neighbours"
"(Intercept)",0.87421645277273,0.058340730726321,14.9846675193994,0,"(Intercept)","model_8","A.rook_shared_edge"
"LDN_grid$pc_f.scaled",-0.102562782461462,0.0167946314191101,-6.10687903187676,1.01598174317985e-09,"LDN_grid$pc_f.scaled","model_8","A.rook_shared_edge"
"LDN_grid$pc_65_plus.scaled",0.084183191273976,0.0667895429153017,1.26042472518088,0.207516186887188,"LDN_grid$pc_65_plus.scaled","model_8","A.rook_shared_edge"
"LDN_grid$pc_50_plus.scaled",-0.272715623101476,0.0655162703192601,-4.16256331095369,3.14694848677632e-05,"LDN_grid$pc_50_plus.scaled","model_8","A.rook_shared_edge"
"LDN_grid$pc_bad_gh.scaled",0.0292866974522462,0.0263364738608431,1.11202044764958,0.266129358769513,"LDN_grid$pc_bad_gh.scaled","model_8","A.rook_shared_edge"
"LDN_grid$avg_hos_dpr.scaled",-0.0458522322898966,0.0351145524899457,-1.30579002261314,0.191623973976512,"LDN_grid$avg_hos_dpr.scaled","model_8","A.rook_shared_edge"
"LDN_grid$pop_den.scaled",-0.695862454393503,0.0356828425724427,-19.5013178387,0,"LDN_grid$pop_den.scaled","model_8","A.rook_shared_edge"
"LDN_grid$WD_pop_den.scaled",1.17269315666406,0.0313510549621319,37.4052215493393,0,"LDN_grid$WD_pop_den.scaled","model_8","A.rook_shared_edge"
"LDN_grid$count_sports.scaled",0.157760951711323,0.00850840699425425,18.5417730743086,0,"LDN_grid$count_sports.scaled","model_8","A.rook_shared_edge"
"LDN_grid$count_CHs.scaled",-0.0111191479117219,0.0083221012891001,-1.33609860364056,0.181517046357605,"LDN_grid$count_CHs.scaled","model_8","A.rook_shared_edge"
"LDN_grid$pc_f.scaled:LDN_grid$pop_den.scaled",0.0534593082958051,0.0126126284752094,4.23855411271976,2.24963962307534e-05,"LDN_grid$pc_f.scaled:LDN_grid$pop_den.scaled","model_8","A.rook_shared_edge"
"LDN_grid$pc_50_plus.scaled:LDN_grid$pop_den.scaled",0.0275372321843872,0.0527499436809955,0.52203339497229,0.60164707923249,"LDN_grid$pc_50_plus.scaled:LDN_grid$pop_den.scaled","model_8","A.rook_shared_edge"
"LDN_grid$pc_65_plus.scaled:LDN_grid$pop_den.scaled",-0.000121537322678826,0.0597518186418265,-0.00203403553969402,0.998377075565842,"LDN_grid$pc_65_plus.scaled:LDN_grid$pop_den.scaled","model_8","A.rook_shared_edge"
"LDN_grid$pc_bad_gh.scaled:LDN_grid$pop_den.scaled",0.0298006367383023,0.0126513715753208,2.35552616258896,0.0184964944946313,"LDN_grid$pc_bad_gh.scaled:LDN_grid$pop_den.scaled","model_8","A.rook_shared_edge"
"LDN_grid$pop_den.scaled:LDN_grid$count_sports.scaled",-0.0416536941778769,0.00761847847207913,-5.46745578274363,4.56541044968617e-08,"LDN_grid$pop_den.scaled:LDN_grid$count_sports.scaled","model_8","A.rook_shared_edge"
"LDN_grid$pop_den.scaled:LDN_grid$count_CHs.scaled",-0.00641710244879371,0.00813048667950802,-0.789264247239627,0.429957578362455,"LDN_grid$pop_den.scaled:LDN_grid$count_CHs.scaled","model_8","A.rook_shared_edge"
