"","Estimate","Std. Error","z value","Pr(>|z|)","variable","formula","neighbours"
"(Intercept)",1.18130683620479,0.0569353914337348,20.7481990807013,0,"(Intercept)","model_10","A.rook_shared_edge"
"LDN_grid$pc_f.scaled",-0.086887720315548,0.0187141882761713,-4.6428794577311,3.43586825857223e-06,"LDN_grid$pc_f.scaled","model_10","A.rook_shared_edge"
"LDN_grid$pc_65_plus.scaled",-0.0971039330085455,0.0675771111437512,-1.43693524871142,0.150736393061101,"LDN_grid$pc_65_plus.scaled","model_10","A.rook_shared_edge"
"LDN_grid$pc_50_plus.scaled",-0.0991910318487564,0.0663497472991157,-1.49497226269132,0.134921681230585,"LDN_grid$pc_50_plus.scaled","model_10","A.rook_shared_edge"
"LDN_grid$pc_bad_gh.scaled",0.0174536212099904,0.0270963394168822,0.644132070441812,0.519489795613251,"LDN_grid$pc_bad_gh.scaled","model_10","A.rook_shared_edge"
"LDN_grid$avg_hos_dpr.scaled",-2.64133333260919e-15,0.0367354461050339,-7.19014905945906e-14,0.999999999999943,"LDN_grid$avg_hos_dpr.scaled","model_10","A.rook_shared_edge"
"LDN_grid$pop_den.scaled",-0.781209987117838,0.0305393299801208,-25.5804560095574,0,"LDN_grid$pop_den.scaled","model_10","A.rook_shared_edge"
"LDN_grid$WD_pop_den.scaled",1.3426974845649,0.0317739724191719,42.2577783744388,0,"LDN_grid$WD_pop_den.scaled","model_10","A.rook_shared_edge"
"LDN_grid$count_sports.scaled",0.14782301388801,0.00844310992464817,17.5081238083217,0,"LDN_grid$count_sports.scaled","model_10","A.rook_shared_edge"
"LDN_grid$count_CHs.scaled",-0.012386940489592,0.00815694267171529,-1.51857638187706,0.128869159823172,"LDN_grid$count_CHs.scaled","model_10","A.rook_shared_edge"
"LDN_grid$pc_f.scaled:LDN_grid$pc_50_plus.scaled",-0.152998769825845,0.047072930608163,-3.25024951387483,0.00115303794394417,"LDN_grid$pc_f.scaled:LDN_grid$pc_50_plus.scaled","model_10","A.rook_shared_edge"
"LDN_grid$pc_f.scaled:LDN_grid$pc_65_plus.scaled",0.234487698910023,0.0479216223703271,4.8931502589365,9.92345834838204e-07,"LDN_grid$pc_f.scaled:LDN_grid$pc_65_plus.scaled","model_10","A.rook_shared_edge"
"LDN_grid$pc_f.scaled:LDN_grid$pc_bad_gh.scaled",0.110591738452967,0.0116795584096872,9.4688287496589,0,"LDN_grid$pc_f.scaled:LDN_grid$pc_bad_gh.scaled","model_10","A.rook_shared_edge"
