"","x"
"1",3
"2",0.0282075846420701
"3",0.0373972724523661
"4",0.0282075846420701
"5",0.0282075846420701
"6",0.046586960262662
"7",0.046586960262662
"8",0.046586960262662
"9",0
"10",0.0364190116572656
"11",0.046586960262662
"12",0.046586960262662
"13",0
"14",0.531778475805791
"15",0
"16",0.00454915547641108
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0.0174678605596691
"26",0.0228459243180301
"27",0.0456086994675615
"28",0.046586960262662
"29",0
"30",0.921272809871399
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0.0394387220240103
"49",0
"50",0
"51",0
"52",0
"53",0.0222268712528475
"54",0
"55",0
"56",0.985300220892579
"57",0.423618184254237
"58",0.399180165730503
"59",0
"60",0
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0.0495501347789217
"78",0.0113880948351051
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0.600813504962816
"85",0
"86",0.119869360414054
"87",0.391962848236959
"88",0
"89",0
"90",0
"91",0.00181017714631072
"92",0
"93",0
"94",0
"95",0
"96",0
"97",0
"98",0.0811013683718218
"99",0
"100",0
"101",0
"102",0
"103",0
"104",0
"105",0
"106",0
"107",0
"108",0.023604357354738
"109",0.00360040745958601
"110",0
"111",0
"112",0
"113",0
"114",0.0112923929689798
"115",0.0608612212762894
"116",0.604796796974815
"117",0.0450432648552238
"118",0.0838591173899539
"119",0
"120",0
"121",0
"122",0
"123",0
"124",0.00162414684337186
"125",0
"126",0
"127",0
"128",0
"129",0
"130",0.0811013683718219
"131",0
"132",0.0811013683718219
"133",0
"134",0
"135",0
"136",0
"137",0
"138",0
"139",0
"140",0
"141",0.023604357354738
"142",0
"143",0.00936638956350326
"144",0
"145",0
"146",0
"147",0.0991930020436564
"148",0.498211871273384
"149",0.619125051118694
"150",0.47618878881026
"151",0
"152",0
"153",0
"154",0
"155",0
"156",0
"157",0.0136763298470603
"158",0
"159",6.66921575780896e-05
"160",0
"161",0
"162",0
"163",0.242789261964465
"164",0
"165",0
"166",0.0811013683718219
"167",0
"168",0
"169",0
"170",0
"171",0
"172",0
"173",0
"174",0
"175",0.0494366044173628
"176",0
"177",0
"178",0.00593222746773918
"179",0
"180",0
"181",0
"182",0
"183",0.0779456793322873
"184",1.42877284058935
"185",0
"186",0
"187",0
"188",0
"189",0
"190",0
"191",0
"192",0.0179593944855657
"193",0.0542590864818764
"194",0
"195",0.0374109934198165
"196",0.0214419291739572
"197",0.0250143997759794
"198",0
"199",0.1852252168993
"200",0.44307142002859
"201",0.124054040352889
"202",0
"203",0.0811013683718218
"204",0.0128143022933122
"205",0
"206",0
"207",0
"208",0
"209",0
"210",0
"211",0
"212",0
"213",0.521349871635616
"214",0.0578073844895824
"215",0.00457937993118263
"216",0.0136616488432223
"217",0.200577752100234
"218",0
"219",0.636031088136182
"220",0
"221",0
"222",0.0601899203080434
"223",0
"224",0
"225",0
"226",0
"227",0
"228",0
"229",0.0750978360565399
"230",0.0371247459776855
"231",0
"232",0
"233",0.116159037972704
"234",0.572113498612627
"235",0.600302170301408
"236",0.548609379889398
"237",0.148214561579225
"238",0.311406521922835
"239",0.0793702605385193
"240",0.0128143022933122
"241",0.654913364044364
"242",0.0125398224620536
"243",0
"244",0
"245",0
"246",0
"247",0
"248",0
"249",0.0820459953284236
"250",0.236528752934934
"251",0.129821675209529
"252",0.0526410441188229
"253",0.682049334967522
"254",0.143874614614846
"255",0.874011371556123
"256",0
"257",0.234708290899008
"258",0.212761450980097
"259",0.0485167983929567
"260",0.643320518313028
"261",0.1513774670812
"262",0
"263",0
"264",0
"265",0.0304870819217178
"266",0.656912489645264
"267",0.103321541021785
"268",0
"269",0
"270",0
"271",0.0209112730074851
"272",0.043823528986279
"273",0.162096582489406
"274",0.45146417229364
"275",0.974339837867524
"276",0
"277",0
"278",0.200107360915552
"279",0.131545815005784
"280",0
"281",0
"282",0
"283",0
"284",0
"285",0
"286",0
"287",0.109439966147441
"288",0.178717874711404
"289",0.174472446262259
"290",0.194025216934123
"291",0.765722299302758
"292",0.70187151979002
"293",1.11052352843002
"294",0.324126370458438
"295",0.250772869975687
"296",0.600665836145619
"297",0.246451221770891
"298",0.155097044973376
"299",0.313632792554119
"300",0
"301",0.21576004240604
"302",0
"303",0
"304",0.131078352930986
"305",0.0857445660034836
"306",0.0751202763329798
"307",0
"308",0
"309",0
"310",0
"311",0
"312",0.501011937620823
"313",0
"314",0.102107353623981
"315",0
"316",1.67681286711697
"317",0
"318",0.0802808122826575
"319",0.0781614652749413
"320",0.10313632430679
"321",0
"322",0
"323",0
"324",0
"325",0
"326",0
"327",0.101170908930131
"328",0.0577611828556196
"329",0.153659615089242
"330",0.13322280861469
"331",0.501381336853771
"332",0.681620618850823
"333",0.719232238634771
"334",0.718326232999651
"335",0.285571300129142
"336",0.109956397381243
"337",0.0609404012253513
"338",0.0623633913821027
"339",0.00678945280666582
"340",0.305017615496929
"341",0
"342",0
"343",0
"344",0.0218381958454197
"345",0.106820631341211
"346",0
"347",0.00183269363580358
"348",0.0574713924925061
"349",0.184052882638597
"350",0.051193729272327
"351",0.179654166232713
"352",0
"353",0
"354",0
"355",0
"356",0
"357",0
"358",0.0746951332442719
"359",0.0785162117809805
"360",0
"361",0
"362",0
"363",0.084453049646557
"364",0.0781343857455572
"365",0
"366",0
"367",0
"368",0.00992264884619524
"369",0
"370",0
"371",0
"372",0
"373",0.0211130866941862
"374",0.0211130866941862
"375",0.15895291147086
"376",0.604299426324369
"377",0.235993381820752
"378",0.0667640375003609
"379",0
"380",0.0881981822994298
"381",0.690144537099969
"382",0.605283838693865
"383",0.174002018411851
"384",0.0594759274371979
"385",0.107677174633935
"386",0.58410821762089
"387",0
"388",0.0718211903290777
"389",0
"390",0.08775753350974
"391",0
"392",0
"393",0
"394",0
"395",0
"396",0.0032173836469227
"397",0.0202058527663099
"398",0.148416310640424
"399",0.0507014619729475
"400",0
"401",0
"402",0
"403",0
"404",0
"405",0
"406",0
"407",0.0820191011665138
"408",0.0864379206117844
"409",0.0915558435975022
"410",0.0924823944899652
"411",0
"412",0
"413",0.114056658515574
"414",0
"415",0
"416",0
"417",0.0287234781264846
"418",0.533454012346336
"419",0.0129414739448506
"420",0
"421",0
"422",0
"423",0
"424",0.0211130866941862
"425",0.0121676699656826
"426",0.0121676699656826
"427",0.0211130866941862
"428",0.0855000669630081
"429",0.248779736121311
"430",0.0629694401407201
"431",0.223095718012137
"432",0.0216293721043481
"433",0.0539919768216147
"434",0.0871964378303501
"435",0.188877812471179
"436",0.126000237320451
"437",0.180092537344733
"438",0.226490754808491
"439",0.102960598297917
"440",0.538722819805483
"441",0
"442",1.19942236417314
"443",0
"444",0.083869367533066
"445",0
"446",0.511283757786449
"447",0
"448",0
"449",0.0610581263417846
"450",0
"451",0.00387698722888357
"452",0.0111490271931179
"453",0
"454",0
"455",0
"456",0
"457",0
"458",0
"459",0
"460",0
"461",0
"462",0.0896742115438223
"463",0.211495359277559
"464",0
"465",0
"466",0.112051046382741
"467",0
"468",0.10909896228039
"469",0
"470",0
"471",0
"472",0.0123813708492565
"473",0
"474",0
"475",0
"476",0
"477",0
"478",0
"479",0.0166403783299344
"480",0.0121676699656826
"481",0.131173662509413
"482",0.0121676699656826
"483",0.0166403783299344
"484",0.0211130866941862
"485",0
"486",0
"487",0
"488",0.0354033058574552
"489",0.019449100085483
"490",0.0273350383273137
"491",0.0230656099357449
"492",0.238382378583064
"493",0.561132029277336
"494",0.115767331969332
"495",0.577698466266252
"496",0.0526274917288855
"497",0
"498",0
"499",0.357548575108273
"500",0.642226299918746
"501",0.251337438348919
"502",0
"503",0.09124036543214
"504",0
"505",0.143221357595472
"506",0
"507",0
"508",0
"509",0
"510",0.0850479698424892
"511",0.496513083786269
"512",0.0155415521727439
"513",0.00222165910089854
"514",0.0240697254850454
"515",0
"516",0
"517",0
"518",0
"519",0
"520",0
"521",0
"522",0
"523",0
"524",0.0921530200854435
"525",0
"526",0.0908597594094993
"527",0
"528",0
"529",0.10909996167488
"530",0
"531",0
"532",0
"533",0
"534",0
"535",0
"536",0
"537",0
"538",0
"539",0
"540",0
"541",0
"542",0.0166403783299344
"543",0.131173662509413
"544",0.0121676699656826
"545",0.131173662509413
"546",0.0121676699656826
"547",0.0121676699656826
"548",0.0211130866941862
"549",0
"550",0
"551",0
"552",0.448110839206337
"553",0.0354033058574552
"554",0.118969305097337
"555",0
"556",0.00172910343355874
"557",0.00187483476208761
"558",0
"559",0.0507001812235217
"560",0.0482578297678875
"561",0.598897967915713
"562",0.074289553550702
"563",0
"564",0.0500596969044174
"565",0.229821951665317
"566",0.334357394865539
"567",0.000304729727983372
"568",0.0872645819292434
"569",0.161424651862334
"570",0.0661891768581709
"571",0
"572",0.501392429179463
"573",0
"574",0
"575",0.0207080091130852
"576",0.176465104608617
"577",0.544657571182813
"578",0.504059143873505
"579",0
"580",0
"581",0
"582",0
"583",0
"584",0.0338464786463735
"585",0.0338464786463736
"586",0.18613630899224
"587",0.114014396066407
"588",0
"589",0.0774222346951669
"590",0
"591",0
"592",0
"593",0
"594",0
"595",0.09250202696055
"596",0
"597",0
"598",0
"599",0
"600",0
"601",0
"602",0
"603",0
"604",0
"605",0
"606",0
"607",0
"608",0
"609",0
"610",0
"611",0
"612",0
"613",0
"614",0.0166403783299344
"615",0.0121676699656826
"616",0.131173662509413
"617",0.131173662509413
"618",0.0121676699656826
"619",0.0121676699656826
"620",0.0166403783299344
"621",0
"622",0
"623",0
"624",0
"625",0
"626",0
"627",0.0354033058574552
"628",0.118969305097337
"629",0
"630",0.118969305097337
"631",0
"632",0
"633",0
"634",0
"635",0.00169541883159158
"636",0.0635706354865228
"637",0
"638",0.0328575886485105
"639",0.103278586108667
"640",0.612728546674063
"641",0.0498095335686554
"642",0.125756678152816
"643",0.426398299058024
"644",0
"645",0.0672534421605838
"646",0.490306595667516
"647",0
"648",0
"649",0
"650",0.207478819046712
"651",1.14205578167349
"652",0.174136448869103
"653",0
"654",0
"655",0
"656",0
"657",0
"658",0
"659",0.0252010467870932
"660",0.0239292704436717
"661",0.185722458757648
"662",0.221981779438372
"663",0.671748404930579
"664",0
"665",0.104876965459248
"666",0.110607831529379
"667",0
"668",0
"669",0
"670",0
"671",0
