"","x"
"1",3878
"2",499
"3",1914
"4",953
"5",7738
"6",3475
"7",2400
"8",399
"9",3734
"10",3804
"11",5551
"12",4176
"13",1338
"14",7992
"15",3213
"16",6559
"17",5347
"18",4071
"19",7804
"20",5452
"21",2272
"22",6354
"23",7949
"24",4899
"25",5890
"26",5229
"27",3018
"28",6814
"29",2178
"30",3499
"31",2579
"32",4252
"33",2374
"34",3604
"35",2247
"36",6073
"37",2294
"38",7954
"39",7953
"40",2137
"41",8163
"42",19
"43",582
"44",643
"45",6465
"46",297
"47",6112
"48",236
"49",1904
"50",5861
"51",516
"52",6784
"53",1387
"54",5186
"55",7367
"56",2776
"57",908
"58",260
"59",162
"60",5182
"61",5189
"62",3350
"63",2651
"64",3736
"65",1175
"66",2143
"67",2067
"68",7861
"69",3686
"70",4522
"71",1706
"72",2735
"73",2970
"74",4485
"75",5973
"76",7218
"77",2155
"78",2682
"79",8105
"80",6875
"81",2803
"82",2320
"83",5003
"84",2121
"85",5271
"86",7374
"87",2792
"88",4038
"89",7301
"90",6278
"91",7017
"92",6793
"93",4876
"94",1779
"95",3189
"96",1965
"97",1997
"98",100
"99",662
"100",706
"101",9
"102",6864
"103",3657
"104",2225
"105",4652
"106",4124
"107",7618
"108",1247
"109",2912
"110",1856
"111",2573
"112",1648
"113",7812
"114",8239
"115",4969
"116",7541
"117",1300
"118",7523
"119",1240
"120",4622
"121",5624
"122",24
"123",4018
"124",972
"125",6627
"126",6733
"127",3980
"128",5210
"129",4560
"130",3848
"131",7938
"132",172
"133",2927
"134",7205
"135",4040
"136",4404
"137",586
"138",6856
"139",2437
"140",1478
"141",166
"142",7924
"143",4540
"144",3906
"145",6680
"146",3421
"147",2991
"148",392
"149",7475
"150",1852
"151",5605
"152",7796
"153",5370
"154",3765
"155",4825
"156",4363
"157",4625
"158",221
"159",2044
"160",7730
"161",6903
"162",7173
"163",7900
"164",4852
"165",1118
"166",3997
"167",1812
"168",2349
"169",6692
"170",847
"171",7914
"172",74
"173",7092
"174",6563
"175",1935
"176",5592
"177",7887
"178",1451
"179",1832
"180",123
"181",2740
"182",1063
"183",4842
"184",6376
"185",7929
"186",6921
"187",6289
"188",4159
"189",6981
"190",6004
"191",2232
"192",5593
"193",5288
"194",2902
"195",324
"196",5990
"197",2442
"198",2079
"199",2011
"200",8134
"201",4667
"202",7113
"203",1531
"204",7322
"205",2378
"206",6707
"207",3662
"208",1127
"209",5885
"210",4134
"211",213
"212",4244
"213",7717
"214",6621
"215",1445
"216",2741
"217",884
"218",7356
"219",761
"220",2624
"221",1530
"222",1193
"223",1030
"224",5298
"225",4976
"226",8260
"227",7007
"228",8048
"229",6085
"230",6988
"231",5971
"232",3654
"233",1580
"234",4418
"235",45
"236",8159
"237",2107
"238",7573
"239",2976
"240",2163
"241",1640
"242",7642
"243",2264
"244",7742
"245",4178
"246",8266
"247",2981
"248",5087
"249",6093
"250",7335
"251",3069
"252",1426
"253",6269
"254",5949
"255",4347
"256",53
"257",2030
"258",5091
"259",1896
"260",1007
"261",6032
"262",4117
"263",2971
"264",7572
"265",1791
"266",2502
"267",6070
"268",6117
"269",1144
"270",5882
"271",6003
"272",2994
"273",4563
"274",6542
"275",7105
"276",4154
"277",5713
"278",7049
"279",943
"280",5700
"281",4710
"282",5198
"283",7378
"284",6046
"285",7903
"286",4576
"287",7302
"288",3888
"289",534
"290",7908
"291",7963
"292",4640
"293",4948
"294",4205
"295",2869
"296",2321
"297",1835
"298",8040
"299",3040
"300",7047
"301",2807
"302",3801
"303",5113
"304",5750
"305",5665
"306",7890
"307",4494
"308",1611
"309",1231
"310",3006
"311",2193
"312",127
"313",4690
"314",2628
"315",1898
"316",4930
"317",1604
"318",5078
"319",5069
"320",1340
"321",5485
"322",4949
"323",1456
"324",745
"325",1142
"326",5246
"327",256
"328",3186
"329",2540
"330",180
"331",8177
"332",7383
"333",7696
"334",4301
"335",5297
"336",8135
"337",157
"338",374
"339",8080
"340",1548
"341",6245
"342",7115
"343",2884
"344",7209
"345",786
"346",7898
"347",7160
"348",7438
"349",4402
"350",4740
"351",6307
"352",4126
"353",5417
"354",2447
"355",1201
"356",1865
"357",3822
"358",5932
"359",1555
"360",1158
"361",6753
"362",6213
"363",6393
"364",603
"365",5585
"366",7390
"367",8257
"368",7672
"369",7033
"370",5219
"371",2060
"372",697
"373",7489
"374",2716
"375",5371
"376",4608
"377",4397
"378",449
"379",4610
"380",7179
"381",1409
"382",4403
"383",7967
"384",4925
"385",5825
"386",364
"387",1291
"388",5815
"389",6065
"390",5002
"391",6251
"392",3788
"393",1782
"394",5913
"395",7810
"396",6798
"397",7893
"398",494
"399",4982
"400",2484
"401",1221
"402",4503
"403",2683
"404",3440
"405",6370
"406",2629
"407",3015
"408",7100
"409",3416
"410",5647
"411",6049
"412",6293
"413",2139
"414",7244
"415",1186
"416",7866
"417",3377
"418",3467
"419",921
"420",3297
"421",865
"422",2939
"423",6757
"424",6256
"425",2242
"426",4720
"427",471
"428",2868
"429",3289
"430",4490
"431",938
"432",859
"433",4600
"434",3163
"435",3405
"436",3593
"437",4025
"438",1788
"439",2230
"440",4811
"441",4844
"442",6291
"443",3488
"444",4089
"445",636
"446",3915
"447",5515
"448",212
"449",6964
"450",2059
"451",793
"452",3449
"453",5067
"454",6979
"455",4342
"456",5323
"457",606
"458",1467
"459",1087
"460",2026
"461",2582
"462",7975
"463",6996
"464",4656
"465",314
"466",3415
"467",3393
"468",255
"469",507
"470",5522
"471",5247
"472",2284
"473",2300
"474",3986
"475",2371
"476",6818
"477",5346
"478",7088
"479",6182
"480",5097
"481",7440
"482",5129
"483",4955
"484",6010
"485",7961
"486",2384
"487",7705
"488",7849
"489",4348
"490",779
"491",3429
"492",3360
"493",1938
"494",3451
"495",4001
"496",5696
"497",1677
"498",3590
"499",3701
"500",4621
"501",3932
"502",1807
"503",723
"504",3560
"505",5822
"506",4437
"507",3738
"508",6350
"509",2937
"510",492
"511",6462
"512",6043
"513",7600
"514",3357
"515",2122
"516",5477
"517",2157
"518",4591
"519",2637
"520",5529
"521",3320
"522",4462
"523",4407
"524",6593
"525",3526
"526",3327
"527",5018
"528",252
"529",1316
"530",3470
"531",2942
"532",5743
"533",2355
"534",6072
"535",6570
"536",480
"537",587
"538",1015
"539",7569
"540",6319
"541",8060
"542",388
"543",2567
"544",6425
"545",3493
"546",241
"547",1514
"548",5577
"549",7792
"550",5864
"551",1826
"552",7181
"553",4160
"554",3806
"555",950
"556",4518
"557",6394
"558",8005
"559",6449
"560",4499
"561",1168
"562",2176
"563",7922
"564",772
"565",6501
"566",6811
"567",7782
"568",8169
"569",1515
"570",4144
"571",7790
"572",1715
"573",1250
"574",7019
"575",2850
"576",1660
"577",85
"578",2918
"579",7029
"580",6404
"581",673
"582",4654
"583",1955
"584",2111
"585",4692
"586",7809
"587",5978
"588",2051
"589",4002
"590",3895
"591",1639
"592",7871
"593",2720
"594",3613
"595",6747
"596",1637
"597",407
"598",650
"599",3770
"600",756
"601",3631
"602",4535
"603",5158
"604",5107
"605",4764
"606",7493
"607",527
"608",7340
"609",1339
"610",7537
"611",1862
"612",1723
"613",6181
"614",6514
"615",1863
"616",3733
"617",1042
"618",6796
"619",7649
"620",2219
"621",5448
"622",206
"623",5547
"624",5580
"625",2778
"626",3036
"627",2851
"628",3278
"629",3626
"630",3742
"631",1073
"632",2586
"633",6438
"634",2639
"635",5817
"636",1048
"637",2381
"638",4191
"639",3585
"640",653
"641",5170
"642",1844
"643",1115
"644",941
"645",2487
"646",5516
"647",7585
"648",8139
"649",4828
"650",366
"651",1998
"652",5912
"653",8237
"654",5074
"655",3768
"656",4496
"657",7507
"658",4253
"659",7504
"660",3762
"661",3798
"662",1747
"663",5751
"664",8118
"665",4703
"666",3190
"667",1578
"668",5735
"669",6978
"670",7216
"671",6926
"672",5220
"673",4800
"674",7012
"675",3363
"676",2538
"677",1131
"678",5933
"679",5619
"680",788
"681",7760
"682",6027
"683",5851
"684",5732
"685",6042
"686",5826
"687",229
"688",833
"689",1080
"690",4719
"691",4488
"692",3270
"693",1846
"694",3412
"695",6682
"696",6378
"697",1499
"698",240
"699",5408
"700",4447
"701",2004
"702",6662
"703",2331
"704",1208
"705",7433
"706",7593
"707",1106
"708",4250
"709",3438
"710",5773
"711",3495
"712",7349
"713",7774
"714",341
"715",4202
"716",1534
"717",7577
"718",382
"719",2032
"720",6111
"721",3155
"722",1691
"723",6915
"724",1980
"725",2565
"726",2160
"727",8031
"728",5985
"729",4909
"730",3219
"731",2205
"732",132
"733",4910
"734",3345
"735",235
"736",1717
"737",4646
"738",8061
"739",6424
"740",440
"741",490
"742",3269
"743",181
"744",5586
"745",3248
"746",8085
"747",5203
"748",1720
"749",7080
"750",6950
"751",1218
"752",7392
"753",2541
"754",4972
"755",1374
"756",6909
"757",751
"758",3818
"759",6300
"760",1120
"761",4655
"762",6536
"763",5670
"764",4863
"765",4693
"766",899
"767",1518
"768",3956
"769",1351
"770",8142
"771",1233
"772",8041
"773",4763
"774",4103
"775",6933
"776",8264
"777",5035
"778",3419
"779",674
"780",4878
"781",6012
"782",2231
"783",4964
"784",1394
"785",2685
"786",3586
"787",198
"788",2679
"789",4190
"790",3159
"791",6610
"792",554
"793",8112
"794",7372
"795",4556
"796",5649
"797",6983
"798",7844
"799",2576
"800",4539
"801",954
"802",4067
"803",1803
"804",3689
"805",3963
"806",448
"807",111
"808",2053
"809",2299
"810",1939
"811",7708
"812",1006
"813",2848
"814",3342
"815",3595
"816",5373
"817",7735
"818",7491
"819",1994
"820",5601
"821",741
"822",3739
"823",1454
"824",618
"825",7952
"826",4731
"827",1749
"828",4130
"829",4623
"830",6322
"831",3623
"832",6888
"833",2595
"834",4090
"835",6331
"836",2494
"837",747
"838",4787
"839",1553
"840",102
"841",1251
"842",277
"843",1796
"844",6005
"845",544
"846",8015
"847",3364
"848",2808
"849",7711
"850",4377
"851",6230
"852",2265
"853",5970
"854",4083
"855",1816
"856",5661
"857",2022
"858",4774
"859",7609
"860",2527
"861",3981
"862",159
"863",4553
"864",5785
"865",4355
"866",6368
"867",5666
"868",5736
"869",8201
"870",915
"871",3057
"872",2845
"873",5622
"874",326
"875",8223
"876",1176
"877",6643
"878",1364
"879",6518
"880",7104
"881",2215
"882",806
"883",8145
"884",5395
"885",3337
"886",1148
"887",1922
"888",4375
"889",4510
"890",7394
"891",2257
"892",34
"893",283
"894",6764
"895",20
"896",877
"897",1501
"898",4739
"899",6083
"900",6885
"901",3944
"902",200
"903",8021
"904",856
"905",6816
"906",5495
"907",878
"908",2830
"909",6561
"910",7318
"911",4303
"912",3629
"913",4531
"914",7118
"915",4937
"916",3346
"917",7197
"918",521
"919",2370
"920",7251
"921",47
"922",6071
"923",738
"924",2323
"925",6989
"926",2600
"927",4588
"928",1822
"929",6717
"930",7773
"931",1011
"932",2207
"933",8151
"934",509
"935",7241
"936",7853
"937",778
"938",4495
"939",4153
"940",4582
"941",3550
"942",3007
"943",5111
"944",1733
"945",3936
"946",7731
"947",7084
"948",5965
"949",5523
"950",7500
"951",8247
"952",7094
"953",5101
"954",7689
"955",6337
"956",6427
"957",2797
"958",7678
"959",1159
"960",3763
"961",7472
"962",1320
"963",3992
"964",7552
"965",6362
"966",2874
"967",7497
"968",7927
"969",7010
"970",5558
"971",5646
"972",2329
"973",7502
"974",3776
"975",873
"976",7482
"977",4127
"978",1232
"979",6789
"980",430
"981",5274
"982",4660
"983",7942
"984",6130
"985",959
"986",3897
"987",3905
"988",1507
"989",4382
"990",15
"991",1060
"992",6451
"993",1943
"994",4875
"995",6545
"996",2317
"997",7527
"998",8193
"999",6106
"1000",140
"1001",4957
"1002",7449
"1003",7896
"1004",3413
"1005",8267
"1006",7860
"1007",3962
"1008",958
"1009",272
"1010",3291
"1011",456
"1012",5697
"1013",7615
"1014",4508
"1015",4373
"1016",894
"1017",6868
"1018",5050
"1019",1479
"1020",2705
"1021",7468
"1022",5863
"1023",519
"1024",637
"1025",7065
"1026",7108
"1027",7137
"1028",6197
"1029",5335
"1030",5781
"1031",1760
"1032",4918
"1033",5839
