"","x"
"1",1382
"2",6780
"3",5913
"4",6396
"5",5142
"6",3692
"7",7347
"8",6427
"9",1714
"10",294
"11",295
"12",4179
"13",6591
"14",540
"15",4194
"16",7971
"17",7883
"18",3608
"19",992
"20",2218
"21",4708
"22",3326
"23",5633
"24",4840
"25",1928
"26",3498
"27",1369
"28",5255
"29",5454
"30",129
"31",3329
"32",665
"33",1107
"34",6272
"35",4726
"36",4272
"37",6908
"38",644
"39",5222
"40",7634
"41",4718
"42",3243
"43",105
"44",427
"45",4225
"46",4108
"47",445
"48",7739
"49",4511
"50",7841
"51",1886
"52",1329
"53",3588
"54",292
"55",1202
"56",7809
"57",4449
"58",124
"59",7306
"60",3788
"61",3475
"62",6472
"63",5009
"64",1064
"65",1649
"66",920
"67",1200
"68",1771
"69",5583
"70",1889
"71",50
"72",3753
"73",5514
"74",628
"75",4830
"76",6423
"77",324
"78",3748
"79",3298
"80",6122
"81",4060
"82",7033
"83",3381
"84",5818
"85",24
"86",7205
"87",3991
"88",2582
"89",2135
"90",2945
"91",8136
"92",2644
"93",2899
"94",5727
"95",1317
"96",1478
"97",6032
"98",2569
"99",6995
"100",3417
"101",2071
"102",3653
"103",1542
"104",7913
"105",7508
"106",5702
"107",4779
"108",5416
"109",680
"110",5126
"111",267
"112",7225
"113",6012
"114",2612
"115",4386
"116",1830
"117",3295
"118",2454
"119",3823
"120",493
"121",1486
"122",275
"123",3346
"124",75
"125",7575
"126",6178
"127",4358
"128",6707
"129",232
"130",3649
"131",4455
"132",6486
"133",545
"134",72
"135",6906
"136",2688
"137",2061
"138",1438
"139",6229
"140",659
"141",2731
"142",1427
"143",4264
"144",6126
"145",880
"146",1705
"147",7471
"148",7466
"149",3172
"150",5503
"151",4644
"152",8081
"153",1450
"154",3367
"155",2976
"156",3362
"157",5784
"158",7501
"159",4967
"160",574
"161",7515
"162",1868
"163",7092
"164",1381
"165",1337
"166",5340
"167",5929
"168",6519
"169",1339
"170",3756
"171",682
"172",2682
"173",437
"174",7362
"175",8011
"176",5840
"177",1255
"178",3222
"179",4754
"180",4884
"181",1071
"182",7302
"183",2015
"184",277
"185",3553
"186",2292
"187",4517
"188",6769
"189",7756
"190",6443
"191",5535
"192",3374
"193",4401
"194",2720
"195",3516
"196",5377
"197",31
"198",6257
"199",6789
"200",488
"201",7738
"202",7981
"203",7425
