"","Estimate","Std. Error","z value","Pr(>|z|)","variable","model"
"(Intercept)",0.399239988579822,0.0335326783915937,11.9059976038153,0,"(Intercept)","A.distance1km"
"LDN_grid_map$pc_f.scaled",-0.0387444426127165,0.0102400511172078,-3.78361808639888,0.000154564939479185,"LDN_grid_map$pc_f.scaled","A.distance1km"
"LDN_grid_map$pc_65_p.scaled",-0.0506859405778248,0.0178012892002762,-2.84731852887589,0.00440892231463663,"LDN_grid_map$pc_65_p.scaled","A.distance1km"
"LDN_grid_map$pop_den.scaled",-0.359603982602653,0.022492218930929,-15.9879282567431,0,"LDN_grid_map$pop_den.scaled","A.distance1km"
"LDN_grid_map$pc_bd_g.scaled",0.0254320191503106,0.016551768581211,1.53651369794888,0.124412440856049,"LDN_grid_map$pc_bd_g.scaled","A.distance1km"
"LDN_grid_map$avg_dpr.scaled",-0.0277663084387103,0.0216441674867097,-1.28285407400215,0.199543205360085,"LDN_grid_map$avg_dpr.scaled","A.distance1km"
"LDN_grid_map$WD_pp_d.scaled",0.598311645807461,0.0206110309779704,29.0287102303108,0,"LDN_grid_map$WD_pp_d.scaled","A.distance1km"
"LDN_grid_map$cnt_spr.scaled",0.235299134324275,0.0072255071097741,32.5650685480581,0,"LDN_grid_map$cnt_spr.scaled","A.distance1km"
"LDN_grid_map$cnt_CHs.scaled",0.00647649033795685,0.00699023000629019,0.9265060423089,0.354183058463761,"LDN_grid_map$cnt_CHs.scaled","A.distance1km"
"LDN_grid_map$pc_65_p.scaled:LDN_grid_map$pop_den.scaled",0.0178296679604355,0.014248594546459,1.25132818554841,0.210814766260876,"LDN_grid_map$pc_65_p.scaled:LDN_grid_map$pop_den.scaled","A.distance1km"
"LDN_grid_map$pop_den.scaled:LDN_grid_map$pc_bd_g.scaled",-0.00494217233837129,0.00804363851373207,-0.614419995370756,0.53893782597352,"LDN_grid_map$pop_den.scaled:LDN_grid_map$pc_bd_g.scaled","A.distance1km"
