"","Estimate","Std. Error","z value","Pr(>|z|)","variable","model"
"(Intercept)",0.471859746239012,0.0130070770437686,36.2771547097947,0,"(Intercept)","crossTerms2_age50_A.distance0.5km"
"LDN_grid_map$pc_f.scaled",-0.04910230353657,0.00986155502877178,-4.97916438059825,6.38593880886162e-07,"LDN_grid_map$pc_f.scaled","crossTerms2_age50_A.distance0.5km"
"LDN_grid_map$pc_50_p.scaled",-0.0441215405263702,0.0151636332663178,-2.90969451393783,0.00361782183348547,"LDN_grid_map$pc_50_p.scaled","crossTerms2_age50_A.distance0.5km"
"LDN_grid_map$pop_den.scaled",-0.481585691549098,0.0199947913300812,-24.0855572633347,0,"LDN_grid_map$pop_den.scaled","crossTerms2_age50_A.distance0.5km"
"LDN_grid_map$pc_bd_g.scaled",0.0475967188867681,0.0160371338933286,2.96790680949345,0.00299835220695988,"LDN_grid_map$pc_bd_g.scaled","crossTerms2_age50_A.distance0.5km"
"LDN_grid_map$avg_dpr.scaled",-0.0849420387457247,0.0185213693094539,-4.58616408573893,4.51463836426136e-06,"LDN_grid_map$avg_dpr.scaled","crossTerms2_age50_A.distance0.5km"
"LDN_grid_map$WD_pp_d.scaled",0.810036889486285,0.0182211227578646,44.4559262483787,0,"LDN_grid_map$WD_pp_d.scaled","crossTerms2_age50_A.distance0.5km"
"LDN_grid_map$cnt_spr.scaled",0.245573127649379,0.00760995838383789,32.2699698556736,0,"LDN_grid_map$cnt_spr.scaled","crossTerms2_age50_A.distance0.5km"
"LDN_grid_map$cnt_CHs.scaled",0.00583056940644677,0.00737288193726942,0.790812799669779,0.42905323959492,"LDN_grid_map$cnt_CHs.scaled","crossTerms2_age50_A.distance0.5km"
"LDN_grid_map$pc_50_p.scaled:LDN_grid_map$pop_den.scaled",0.0171371594216757,0.011081760885388,1.5464292722894,0.122000929181295,"LDN_grid_map$pc_50_p.scaled:LDN_grid_map$pop_den.scaled","crossTerms2_age50_A.distance0.5km"
"LDN_grid_map$pop_den.scaled:LDN_grid_map$pc_bd_g.scaled",0.00715704575030535,0.00822489382556813,0.870168770818265,0.384208179606324,"LDN_grid_map$pop_den.scaled:LDN_grid_map$pc_bd_g.scaled","crossTerms2_age50_A.distance0.5km"
"LDN_grid_map$pop_den.scaled:LDN_grid_map$cnt_spr.scaled",-0.0376513022046418,0.00681888851787139,-5.52161867817062,3.35890824043616e-08,"LDN_grid_map$pop_den.scaled:LDN_grid_map$cnt_spr.scaled","crossTerms2_age50_A.distance0.5km"
"LDN_grid_map$pop_den.scaled:LDN_grid_map$cnt_CHs.scaled",-0.00103654545003165,0.00706411617426761,-0.146733918930646,0.88334204493309,"LDN_grid_map$pop_den.scaled:LDN_grid_map$cnt_CHs.scaled","crossTerms2_age50_A.distance0.5km"
