"","Estimate","Std. Error","z value","Pr(>|z|)","variable","model"
"(Intercept)",0.418498046492419,0.032793047285612,12.7617919386234,0,"(Intercept)","crossTerms2_age50_A.distance1km"
"LDN_grid_map$pc_f.scaled",-0.0392280083179369,0.0102200552151266,-3.83833624106804,0.000123870783431679,"LDN_grid_map$pc_f.scaled","crossTerms2_age50_A.distance1km"
"LDN_grid_map$pc_50_p.scaled",-0.0584096061138222,0.016838613916053,-3.46878943866857,0.000522809031350935,"LDN_grid_map$pc_50_p.scaled","crossTerms2_age50_A.distance1km"
"LDN_grid_map$pop_den.scaled",-0.353978432302117,0.0217981431828962,-16.2389259182343,0,"LDN_grid_map$pop_den.scaled","crossTerms2_age50_A.distance1km"
"LDN_grid_map$pc_bd_g.scaled",0.0267143254953788,0.0162805376017588,1.64087489914908,0.100823386467374,"LDN_grid_map$pc_bd_g.scaled","crossTerms2_age50_A.distance1km"
"LDN_grid_map$avg_dpr.scaled",-0.027999332330033,0.0210925450719884,-1.32745158227572,0.184359346174586,"LDN_grid_map$avg_dpr.scaled","crossTerms2_age50_A.distance1km"
"LDN_grid_map$WD_pp_d.scaled",0.59324799609348,0.0207038672303434,28.6539702700576,0,"LDN_grid_map$WD_pp_d.scaled","crossTerms2_age50_A.distance1km"
"LDN_grid_map$cnt_spr.scaled",0.248497539465657,0.00761679473320548,32.6249489673562,0,"LDN_grid_map$cnt_spr.scaled","crossTerms2_age50_A.distance1km"
"LDN_grid_map$cnt_CHs.scaled",0.00684434612674448,0.00737105271156959,0.928543912866287,0.353125500175428,"LDN_grid_map$cnt_CHs.scaled","crossTerms2_age50_A.distance1km"
"LDN_grid_map$pc_50_p.scaled:LDN_grid_map$pop_den.scaled",0.0181149453487888,0.0123238387247061,1.46991093874614,0.141585876567088,"LDN_grid_map$pc_50_p.scaled:LDN_grid_map$pop_den.scaled","crossTerms2_age50_A.distance1km"
"LDN_grid_map$pop_den.scaled:LDN_grid_map$pc_bd_g.scaled",-0.00153438954046564,0.00819970411258151,-0.187127427941125,0.851560723596024,"LDN_grid_map$pop_den.scaled:LDN_grid_map$pc_bd_g.scaled","crossTerms2_age50_A.distance1km"
"LDN_grid_map$pop_den.scaled:LDN_grid_map$cnt_spr.scaled",-0.0374647127309333,0.00682402536454023,-5.49011920817464,4.01662558768834e-08,"LDN_grid_map$pop_den.scaled:LDN_grid_map$cnt_spr.scaled","crossTerms2_age50_A.distance1km"
"LDN_grid_map$pop_den.scaled:LDN_grid_map$cnt_CHs.scaled",-0.0023907426760913,0.00705935073887996,-0.338663251695951,0.734863427250822,"LDN_grid_map$pop_den.scaled:LDN_grid_map$cnt_CHs.scaled","crossTerms2_age50_A.distance1km"
