"","Estimate","Std. Error","z value","Pr(>|z|)","variable","model"
"(Intercept)",0.43676729316615,0.0257191336729823,16.9821930520533,0,"(Intercept)","crossTerms3_age50_A.lag2"
"LDN_grid_map$pc_f.scaled",-0.0369274400544101,0.0105024872790962,-3.51606615395851,0.000437991836254037,"LDN_grid_map$pc_f.scaled","crossTerms3_age50_A.lag2"
"LDN_grid_map$pc_50_p.scaled",-0.0613442767596804,0.0172019918250308,-3.56611474901515,0.000362312778734664,"LDN_grid_map$pc_50_p.scaled","crossTerms3_age50_A.lag2"
"LDN_grid_map$pop_den.scaled",-0.352361292804257,0.0222489794599656,-15.8371890017827,0,"LDN_grid_map$pop_den.scaled","crossTerms3_age50_A.lag2"
"LDN_grid_map$pc_bd_g.scaled",0.0301440426672217,0.0167669728249272,1.79782259934286,0.0722051248429185,"LDN_grid_map$pc_bd_g.scaled","crossTerms3_age50_A.lag2"
"LDN_grid_map$avg_dpr.scaled",-0.0412700071516615,0.0214248289888549,-1.9262700847288,0.0540706587294815,"LDN_grid_map$avg_dpr.scaled","crossTerms3_age50_A.lag2"
"LDN_grid_map$WD_pp_d.scaled",0.601546701451207,0.0210362794833517,28.5956792847936,0,"LDN_grid_map$WD_pp_d.scaled","crossTerms3_age50_A.lag2"
"LDN_grid_map$cnt_spr.scaled",0.233537955102955,0.00720683541384303,32.4050629287816,0,"LDN_grid_map$cnt_spr.scaled","crossTerms3_age50_A.lag2"
"LDN_grid_map$cnt_CHs.scaled",0.00619049465756056,0.00696891116951572,0.888301559164622,0.37437856123262,"LDN_grid_map$cnt_CHs.scaled","crossTerms3_age50_A.lag2"
"LDN_grid_map$pc_50_p.scaled:LDN_grid_map$pop_den.scaled",0.0225087160154465,0.0125227197688163,1.797430305156,0.0722673332570327,"LDN_grid_map$pc_50_p.scaled:LDN_grid_map$pop_den.scaled","crossTerms3_age50_A.lag2"
"LDN_grid_map$pop_den.scaled:LDN_grid_map$pc_bd_g.scaled",5.61932695879331e-05,0.00841517582030306,0.00667761087681106,0.994672076974153,"LDN_grid_map$pop_den.scaled:LDN_grid_map$pc_bd_g.scaled","crossTerms3_age50_A.lag2"
