"","Estimate","Std. Error","z value","Pr(>|z|)","variable","model"
"(Intercept)",0.475677985785035,0.011219029455191,42.3992099927095,0,"(Intercept)","crossTerms3_age50_A.nearest4"
"LDN_grid_map$pc_f.scaled",-0.0541030177132265,0.00936380179933645,-5.77789009983749,7.56431894899379e-09,"LDN_grid_map$pc_f.scaled","crossTerms3_age50_A.nearest4"
"LDN_grid_map$pc_50_p.scaled",-0.0333869035203646,0.0141077112556984,-2.36657122585203,0.0179537192744073,"LDN_grid_map$pc_50_p.scaled","crossTerms3_age50_A.nearest4"
"LDN_grid_map$pop_den.scaled",-0.533712570110064,0.0186140029988421,-28.6726380211319,0,"LDN_grid_map$pop_den.scaled","crossTerms3_age50_A.nearest4"
"LDN_grid_map$pc_bd_g.scaled",0.0481811112863047,0.0153280278297307,3.14333401671225,0.00167035117312064,"LDN_grid_map$pc_bd_g.scaled","crossTerms3_age50_A.nearest4"
"LDN_grid_map$avg_dpr.scaled",-0.0896085910520355,0.0172395465135639,-5.19785082406504,2.0160581071238e-07,"LDN_grid_map$avg_dpr.scaled","crossTerms3_age50_A.nearest4"
"LDN_grid_map$WD_pp_d.scaled",0.888495223166613,0.0167689239600606,52.984629501737,0,"LDN_grid_map$WD_pp_d.scaled","crossTerms3_age50_A.nearest4"
"LDN_grid_map$cnt_spr.scaled",0.232099137312245,0.00723978600120004,32.0588394841744,0,"LDN_grid_map$cnt_spr.scaled","crossTerms3_age50_A.nearest4"
"LDN_grid_map$cnt_CHs.scaled",0.00449292470708049,0.00701342832426641,0.6406174697095,0.521771246516343,"LDN_grid_map$cnt_CHs.scaled","crossTerms3_age50_A.nearest4"
"LDN_grid_map$pc_50_p.scaled:LDN_grid_map$pop_den.scaled",0.0285754109810627,0.0102093944767378,2.79893298727677,0.00512717769112414,"LDN_grid_map$pc_50_p.scaled:LDN_grid_map$pop_den.scaled","crossTerms3_age50_A.nearest4"
"LDN_grid_map$pop_den.scaled:LDN_grid_map$pc_bd_g.scaled",0.000394443816583739,0.00790036401326804,0.0499272965044778,0.960180324959157,"LDN_grid_map$pop_den.scaled:LDN_grid_map$pc_bd_g.scaled","crossTerms3_age50_A.nearest4"
