"","Estimate","Std. Error","z value","Pr(>|z|)","variable","model"
"(Intercept)",0.413887998997007,0.0329068390405827,12.5775677963652,0,"(Intercept)","crossTerms4_rmCHs_rmPopDen_bothAge_A.distance1km"
"LDN_grid_map$pc_f.scaled",-0.0399845529564116,0.0102442382031516,-3.90312604641608,9.49582179643471e-05,"LDN_grid_map$pc_f.scaled","crossTerms4_rmCHs_rmPopDen_bothAge_A.distance1km"
"LDN_grid_map$pop_den.scaled",-0.359474917947038,0.0221252031989959,-16.2473047010638,0,"LDN_grid_map$pop_den.scaled","crossTerms4_rmCHs_rmPopDen_bothAge_A.distance1km"
"LDN_grid_map$pc_50_p.scaled",-0.0791813537560019,0.0398403534712475,-1.98746614567932,0.046870763937247,"LDN_grid_map$pc_50_p.scaled","crossTerms4_rmCHs_rmPopDen_bothAge_A.distance1km"
"LDN_grid_map$pc_bd_g.scaled",0.0271364625754424,0.0164586863893834,1.64876235766584,0.0991963294430163,"LDN_grid_map$pc_bd_g.scaled","crossTerms4_rmCHs_rmPopDen_bothAge_A.distance1km"
"LDN_grid_map$pc_65_p.scaled",0.0148683248967712,0.0410654881314551,0.362063756533858,0.717304386914092,"LDN_grid_map$pc_65_p.scaled","crossTerms4_rmCHs_rmPopDen_bothAge_A.distance1km"
"LDN_grid_map$avg_dpr.scaled",-0.0287562164504803,0.0215931259691172,-1.3317301298389,0.182948884741516,"LDN_grid_map$avg_dpr.scaled","crossTerms4_rmCHs_rmPopDen_bothAge_A.distance1km"
"LDN_grid_map$WD_pp_d.scaled",0.593780823143278,0.0207953387822155,28.5535537247938,0,"LDN_grid_map$WD_pp_d.scaled","crossTerms4_rmCHs_rmPopDen_bothAge_A.distance1km"
"LDN_grid_map$cnt_spr.scaled",0.248482774164639,0.00761719725119931,32.6212865402056,0,"LDN_grid_map$cnt_spr.scaled","crossTerms4_rmCHs_rmPopDen_bothAge_A.distance1km"
"LDN_grid_map$pc_f.scaled:LDN_grid_map$pop_den.scaled",0.00625621905541515,0.00845869546869376,0.739619847832312,0.459530694959747,"LDN_grid_map$pc_f.scaled:LDN_grid_map$pop_den.scaled","crossTerms4_rmCHs_rmPopDen_bothAge_A.distance1km"
"LDN_grid_map$pop_den.scaled:LDN_grid_map$pc_50_p.scaled",0.0585318876180911,0.0348745982075414,1.67835303133138,0.0932782010068778,"LDN_grid_map$pop_den.scaled:LDN_grid_map$pc_50_p.scaled","crossTerms4_rmCHs_rmPopDen_bothAge_A.distance1km"
"LDN_grid_map$pop_den.scaled:LDN_grid_map$pc_65_p.scaled",-0.0498436990203372,0.0396882819510939,-1.25587948306146,0.209159668273493,"LDN_grid_map$pop_den.scaled:LDN_grid_map$pc_65_p.scaled","crossTerms4_rmCHs_rmPopDen_bothAge_A.distance1km"
"LDN_grid_map$pop_den.scaled:LDN_grid_map$cnt_spr.scaled",-0.0374403137695286,0.00680585988369816,-5.50118786006866,3.77240996218831e-08,"LDN_grid_map$pop_den.scaled:LDN_grid_map$cnt_spr.scaled","crossTerms4_rmCHs_rmPopDen_bothAge_A.distance1km"
