"","Estimate","Std. Error","z value","Pr(>|z|)","variable","model"
"(Intercept)",0.371303339353757,0.0339342484249772,10.941846558784,0,"(Intercept)","crossTermsAgeF_age50_A.distance1.5km"
"LDN_grid_map$pc_f.scaled",-0.0424559401755144,0.0101598787279767,-4.17878414814202,2.93071672108347e-05,"LDN_grid_map$pc_f.scaled","crossTermsAgeF_age50_A.distance1.5km"
"LDN_grid_map$pc_50_p.scaled",-0.0512043109820637,0.0146507009659645,-3.49500758366566,0.000474048285708406,"LDN_grid_map$pc_50_p.scaled","crossTermsAgeF_age50_A.distance1.5km"
"LDN_grid_map$pc_bd_g.scaled",0.0239259570653947,0.0153260316170425,1.56113191354696,0.118492629584676,"LDN_grid_map$pc_bd_g.scaled","crossTermsAgeF_age50_A.distance1.5km"
"LDN_grid_map$avg_dpr.scaled",-0.0237460573399676,0.0196585819361134,-1.20792320713354,0.227076802036869,"LDN_grid_map$avg_dpr.scaled","crossTermsAgeF_age50_A.distance1.5km"
"LDN_grid_map$pop_den.scaled",-0.445659022270516,0.0176440785064767,-25.2582769968365,0,"LDN_grid_map$pop_den.scaled","crossTermsAgeF_age50_A.distance1.5km"
"LDN_grid_map$WD_pp_d.scaled",0.693302853544481,0.0193398276854371,35.8484504009587,0,"LDN_grid_map$WD_pp_d.scaled","crossTermsAgeF_age50_A.distance1.5km"
"LDN_grid_map$cnt_spr.scaled",0.238984054813741,0.00731334115172437,32.6778212387088,0,"LDN_grid_map$cnt_spr.scaled","crossTermsAgeF_age50_A.distance1.5km"
"LDN_grid_map$cnt_CHs.scaled",0.00558779034934143,0.00706792758289806,0.790583984315566,0.429186795751484,"LDN_grid_map$cnt_CHs.scaled","crossTermsAgeF_age50_A.distance1.5km"
"LDN_grid_map$pc_f.scaled:LDN_grid_map$pc_50_p.scaled",0.020870123441164,0.00806173461361672,2.58878820023587,0.00963143138388389,"LDN_grid_map$pc_f.scaled:LDN_grid_map$pc_50_p.scaled","crossTermsAgeF_age50_A.distance1.5km"
