"","Estimate","Std. Error","z value","Pr(>|z|)","variable","model"
"(Intercept)",0.382735222928736,0.031744621765481,12.0566950129777,0,"(Intercept)","crossTermsAgeF_age50_A.distance1km"
"LDN_grid_map$pc_f.scaled",-0.0337147715332961,0.0109155902586509,-3.08868056920479,0.00201047476643579,"LDN_grid_map$pc_f.scaled","crossTermsAgeF_age50_A.distance1km"
"LDN_grid_map$pc_50_p.scaled",-0.0642967800413838,0.0160777697087559,-3.99911064818698,6.35809518554353e-05,"LDN_grid_map$pc_50_p.scaled","crossTermsAgeF_age50_A.distance1km"
"LDN_grid_map$pc_bd_g.scaled",0.0247569665593006,0.0163279778499379,1.51622979813111,0.129461255774531,"LDN_grid_map$pc_bd_g.scaled","crossTermsAgeF_age50_A.distance1km"
"LDN_grid_map$avg_dpr.scaled",-0.0233255057112541,0.0212520718794858,-1.09756384429368,0.272394987973514,"LDN_grid_map$avg_dpr.scaled","crossTermsAgeF_age50_A.distance1km"
"LDN_grid_map$pop_den.scaled",-0.372363282422262,0.0189672088556224,-19.6319492897809,0,"LDN_grid_map$pop_den.scaled","crossTermsAgeF_age50_A.distance1km"
"LDN_grid_map$WD_pp_d.scaled",0.591310963763523,0.020779450369587,28.4565257139318,0,"LDN_grid_map$WD_pp_d.scaled","crossTermsAgeF_age50_A.distance1km"
"LDN_grid_map$cnt_spr.scaled",0.234826188128364,0.00722366232698555,32.5079132299859,0,"LDN_grid_map$cnt_spr.scaled","crossTermsAgeF_age50_A.distance1km"
"LDN_grid_map$cnt_CHs.scaled",0.00638275117884557,0.0069818889648058,0.914186864188137,0.360618665228849,"LDN_grid_map$cnt_CHs.scaled","crossTermsAgeF_age50_A.distance1km"
"LDN_grid_map$pc_f.scaled:LDN_grid_map$pc_50_p.scaled",0.0109888556921571,0.00856487610882168,1.28301396920835,0.199487182073534,"LDN_grid_map$pc_f.scaled:LDN_grid_map$pc_50_p.scaled","crossTermsAgeF_age50_A.distance1km"
