"","Estimate","Std. Error","z value","Pr(>|z|)","variable","model"
"(Intercept)",0.368757233090078,0.0334347757392148,11.0291522804375,0,"(Intercept)","crossTermsAgeF_age50_A.lag4"
"LDN_grid_map$pc_f.scaled",-0.0429252297748402,0.0101508846564208,-4.22871810957761,2.35026599961774e-05,"LDN_grid_map$pc_f.scaled","crossTermsAgeF_age50_A.lag4"
"LDN_grid_map$pc_50_p.scaled",-0.0490854498544724,0.0146037067757232,-3.36116375166274,0.000776147955057871,"LDN_grid_map$pc_50_p.scaled","crossTermsAgeF_age50_A.lag4"
"LDN_grid_map$pc_bd_g.scaled",0.0233640730072018,0.0153228587583449,1.52478551004574,0.127312605199037,"LDN_grid_map$pc_bd_g.scaled","crossTermsAgeF_age50_A.lag4"
"LDN_grid_map$avg_dpr.scaled",-0.0226180421694906,0.0196301225914023,-1.15221094846331,0.249234399758885,"LDN_grid_map$avg_dpr.scaled","crossTermsAgeF_age50_A.lag4"
"LDN_grid_map$pop_den.scaled",-0.449527147590703,0.0175987100114634,-25.5431873869103,0,"LDN_grid_map$pop_den.scaled","crossTermsAgeF_age50_A.lag4"
"LDN_grid_map$WD_pp_d.scaled",0.700272563663718,0.0192909907908141,36.300497535729,0,"LDN_grid_map$WD_pp_d.scaled","crossTermsAgeF_age50_A.lag4"
"LDN_grid_map$cnt_spr.scaled",0.23899939758135,0.00731206412176991,32.685626602998,0,"LDN_grid_map$cnt_spr.scaled","crossTermsAgeF_age50_A.lag4"
"LDN_grid_map$cnt_CHs.scaled",0.00559293463855749,0.00706874393076432,0.791220433692065,0.428815369484897,"LDN_grid_map$cnt_CHs.scaled","crossTermsAgeF_age50_A.lag4"
"LDN_grid_map$pc_f.scaled:LDN_grid_map$pc_50_p.scaled",0.0206929518218245,0.00805665077619039,2.56843102632397,0.0102160040390433,"LDN_grid_map$pc_f.scaled:LDN_grid_map$pc_50_p.scaled","crossTermsAgeF_age50_A.lag4"
