"","Estimate","Std. Error","z value","Pr(>|z|)","variable","model"
"(Intercept)",0.457334255469077,0.00961787524773767,47.5504457782037,0,"(Intercept)","crossTermsAgeF_age50_A.nearest4"
"LDN_grid_map$pc_f.scaled",-0.0420510762593266,0.00997509809495472,-4.21560528618716,2.49109136736259e-05,"LDN_grid_map$pc_f.scaled","crossTermsAgeF_age50_A.nearest4"
"LDN_grid_map$pc_50_p.scaled",-0.041698994890796,0.0132341074499288,-3.15087323029256,0.00162783126967359,"LDN_grid_map$pc_50_p.scaled","crossTermsAgeF_age50_A.nearest4"
"LDN_grid_map$pc_bd_g.scaled",0.0433302013580715,0.0153473718440513,2.82329781270442,0.00475323959628171,"LDN_grid_map$pc_bd_g.scaled","crossTermsAgeF_age50_A.nearest4"
"LDN_grid_map$avg_dpr.scaled",-0.07953381158904,0.0173458138054874,-4.58518767011551,4.53578839665347e-06,"LDN_grid_map$avg_dpr.scaled","crossTermsAgeF_age50_A.nearest4"
"LDN_grid_map$pop_den.scaled",-0.55236984302469,0.0165567832558277,-33.3621473742652,0,"LDN_grid_map$pop_den.scaled","crossTermsAgeF_age50_A.nearest4"
"LDN_grid_map$WD_pp_d.scaled",0.884606645070275,0.0168479195961696,52.5053933229473,0,"LDN_grid_map$WD_pp_d.scaled","crossTermsAgeF_age50_A.nearest4"
"LDN_grid_map$cnt_spr.scaled",0.23270593762684,0.00723571927237299,32.1607194623131,0,"LDN_grid_map$cnt_spr.scaled","crossTermsAgeF_age50_A.nearest4"
"LDN_grid_map$cnt_CHs.scaled",0.00511877093967858,0.00700941696097779,0.730270572884357,0.465224811956664,"LDN_grid_map$cnt_CHs.scaled","crossTermsAgeF_age50_A.nearest4"
"LDN_grid_map$pc_f.scaled:LDN_grid_map$pc_50_p.scaled",0.0217302664007744,0.00841333581225535,2.58283597442062,0.00979918988994988,"LDN_grid_map$pc_f.scaled:LDN_grid_map$pc_50_p.scaled","crossTermsAgeF_age50_A.nearest4"
