"","Estimate","Std. Error","z value","Pr(>|z|)","variable","model"
"(Intercept)",0.366718390197256,0.0343566908986608,10.6738565503568,0,"(Intercept)","crossTermsAge_age50_A.distance1.5km"
"LDN_grid_map$pc_f.scaled",-0.042694655188551,0.0101632147988224,-4.20090060415708,2.65855298431372e-05,"LDN_grid_map$pc_f.scaled","crossTermsAge_age50_A.distance1.5km"
"LDN_grid_map$pc_50_p.scaled",-0.0405668657618124,0.0156913794215321,-2.58529633832865,0.00972953341380567,"LDN_grid_map$pc_50_p.scaled","crossTermsAge_age50_A.distance1.5km"
"LDN_grid_map$pc_bd_g.scaled",0.020457720143085,0.0154343608912361,1.32546597084569,0.185016648780649,"LDN_grid_map$pc_bd_g.scaled","crossTermsAge_age50_A.distance1.5km"
"LDN_grid_map$avg_dpr.scaled",-0.0146016061329873,0.0202288983241593,-0.721819146994704,0.47040567597995,"LDN_grid_map$avg_dpr.scaled","crossTermsAge_age50_A.distance1.5km"
"LDN_grid_map$pop_den.scaled",-0.443137895360583,0.0176938009707169,-25.0448106709221,0,"LDN_grid_map$pop_den.scaled","crossTermsAge_age50_A.distance1.5km"
"LDN_grid_map$WD_pp_d.scaled",0.69102822372881,0.0193670966967202,35.6805273681437,0,"LDN_grid_map$WD_pp_d.scaled","crossTermsAge_age50_A.distance1.5km"
"LDN_grid_map$cnt_spr.scaled",0.239152487877573,0.00731360128594281,32.6996890488464,0,"LDN_grid_map$cnt_spr.scaled","crossTermsAge_age50_A.distance1.5km"
"LDN_grid_map$cnt_CHs.scaled",0.00540697692705383,0.00706768683068311,0.765027802813842,0.444254989052256,"LDN_grid_map$cnt_CHs.scaled","crossTermsAge_age50_A.distance1.5km"
"LDN_grid_map$pc_f.scaled:LDN_grid_map$pc_50_p.scaled",0.0165461252362493,0.008379527619606,1.97458925936773,0.0483147789230545,"LDN_grid_map$pc_f.scaled:LDN_grid_map$pc_50_p.scaled","crossTermsAge_age50_A.distance1.5km"
"LDN_grid_map$pc_50_p.scaled:LDN_grid_map$pc_bd_g.scaled",0.0185414757937248,0.0098382586116256,1.8846298441286,0.0594798301273263,"LDN_grid_map$pc_50_p.scaled:LDN_grid_map$pc_bd_g.scaled","crossTermsAge_age50_A.distance1.5km"
