"","Estimate","Std. Error","z value","Pr(>|z|)","variable","model"
"(Intercept)",0.378452700565108,0.0323338860957999,11.70452260034,0,"(Intercept)","crossTermsAge_age50_A.distance1km"
"LDN_grid_map$pc_f.scaled",-0.0339681468980971,0.0109250019353343,-3.10921197992974,0.00187587078879203,"LDN_grid_map$pc_f.scaled","crossTermsAge_age50_A.distance1km"
"LDN_grid_map$pc_50_p.scaled",-0.0528041240098209,0.0171335164201889,-3.08191982981382,0.00205670221523757,"LDN_grid_map$pc_50_p.scaled","crossTermsAge_age50_A.distance1km"
"LDN_grid_map$pc_bd_g.scaled",0.0215358822583723,0.0164103937859453,1.3123318391553,0.189408193845447,"LDN_grid_map$pc_bd_g.scaled","crossTermsAge_age50_A.distance1km"
"LDN_grid_map$avg_dpr.scaled",-0.0133715390786285,0.0218200936109658,-0.612808511138035,0.540002962507639,"LDN_grid_map$avg_dpr.scaled","crossTermsAge_age50_A.distance1km"
"LDN_grid_map$pop_den.scaled",-0.368848179538289,0.0190337318927739,-19.3786579329891,0,"LDN_grid_map$pop_den.scaled","crossTermsAge_age50_A.distance1km"
"LDN_grid_map$WD_pp_d.scaled",0.587500526679701,0.0208266810896486,28.2090326418694,0,"LDN_grid_map$WD_pp_d.scaled","crossTermsAge_age50_A.distance1km"
"LDN_grid_map$cnt_spr.scaled",0.234966944374244,0.00722352285866626,32.5280266943916,0,"LDN_grid_map$cnt_spr.scaled","crossTermsAge_age50_A.distance1km"
"LDN_grid_map$cnt_CHs.scaled",0.0061664991590811,0.00698142563261029,0.883272197339945,0.377089221715333,"LDN_grid_map$cnt_CHs.scaled","crossTermsAge_age50_A.distance1km"
"LDN_grid_map$pc_f.scaled:LDN_grid_map$pc_50_p.scaled",0.00641481847192204,0.00887301981387431,0.722957753558884,0.469705839598726,"LDN_grid_map$pc_f.scaled:LDN_grid_map$pc_50_p.scaled","crossTermsAge_age50_A.distance1km"
"LDN_grid_map$pc_50_p.scaled:LDN_grid_map$pc_bd_g.scaled",0.0206664158680051,0.0105871703975931,1.95202448736477,0.050935297413655,"LDN_grid_map$pc_50_p.scaled:LDN_grid_map$pc_bd_g.scaled","crossTermsAge_age50_A.distance1km"
