"","Estimate","Std. Error","z value","Pr(>|z|)","variable","model"
"(Intercept)",0.364120135162634,0.0338380653978087,10.7606664530595,0,"(Intercept)","crossTermsAge_age50_A.lag4"
"LDN_grid_map$pc_f.scaled",-0.0431544488894415,0.0101541183439417,-4.24994543373516,2.13822598091884e-05,"LDN_grid_map$pc_f.scaled","crossTermsAge_age50_A.lag4"
"LDN_grid_map$pc_50_p.scaled",-0.0384716938057441,0.0156464452253049,-2.45881369549194,0.0139396935198726,"LDN_grid_map$pc_50_p.scaled","crossTermsAge_age50_A.lag4"
"LDN_grid_map$pc_bd_g.scaled",0.0198940041639646,0.0154316140112411,1.28917196538696,0.197338309007409,"LDN_grid_map$pc_bd_g.scaled","crossTermsAge_age50_A.lag4"
"LDN_grid_map$avg_dpr.scaled",-0.0134871118949999,0.020201131616249,-0.667641405006808,0.504362521052788,"LDN_grid_map$avg_dpr.scaled","crossTermsAge_age50_A.lag4"
"LDN_grid_map$pop_den.scaled",-0.447031729057146,0.017648306570151,-25.3300070055005,0,"LDN_grid_map$pop_den.scaled","crossTermsAge_age50_A.lag4"
"LDN_grid_map$WD_pp_d.scaled",0.698045188066345,0.0193176201287695,36.1351545072964,0,"LDN_grid_map$WD_pp_d.scaled","crossTermsAge_age50_A.lag4"
"LDN_grid_map$cnt_spr.scaled",0.239160085851266,0.00731227897970895,32.7066413241232,0,"LDN_grid_map$cnt_spr.scaled","crossTermsAge_age50_A.lag4"
"LDN_grid_map$cnt_CHs.scaled",0.00541098726093904,0.00706852028253515,0.765504949360967,0.443970920383417,"LDN_grid_map$cnt_CHs.scaled","crossTermsAge_age50_A.lag4"
"LDN_grid_map$pc_f.scaled:LDN_grid_map$pc_50_p.scaled",0.0163642008531426,0.00837639745360381,1.95360845086239,0.0507475404484727,"LDN_grid_map$pc_f.scaled:LDN_grid_map$pc_50_p.scaled","crossTermsAge_age50_A.lag4"
"LDN_grid_map$pc_50_p.scaled:LDN_grid_map$pc_bd_g.scaled",0.0184996770256331,0.00983216454978315,1.88154672676233,0.059897585240156,"LDN_grid_map$pc_50_p.scaled:LDN_grid_map$pc_bd_g.scaled","crossTermsAge_age50_A.lag4"
