"","Estimate","Std. Error","z value","Pr(>|z|)","variable","model"
"(Intercept)",0.45812922760915,0.00966060579266698,47.4224119523539,0,"(Intercept)","crossTermsAge_age50_A.nearest4"
"LDN_grid_map$pc_f.scaled",-0.0419731013922112,0.0099766235272649,-4.20714496016652,2.58617259170091e-05,"LDN_grid_map$pc_f.scaled","crossTermsAge_age50_A.nearest4"
"LDN_grid_map$pc_50_p.scaled",-0.0374548429732158,0.0140642981446101,-2.66311497296932,0.00774209562699602,"LDN_grid_map$pc_50_p.scaled","crossTermsAge_age50_A.nearest4"
"LDN_grid_map$pc_bd_g.scaled",0.0418486729893868,0.0154383893034953,2.71068906002469,0.00671435582418067,"LDN_grid_map$pc_bd_g.scaled","crossTermsAge_age50_A.nearest4"
"LDN_grid_map$avg_dpr.scaled",-0.0760474742111288,0.0177811960331267,-4.27684808544099,1.89558063026229e-05,"LDN_grid_map$avg_dpr.scaled","crossTermsAge_age50_A.nearest4"
"LDN_grid_map$pop_den.scaled",-0.550915998028372,0.0166317346057864,-33.124386065943,0,"LDN_grid_map$pop_den.scaled","crossTermsAge_age50_A.nearest4"
"LDN_grid_map$WD_pp_d.scaled",0.884543053643072,0.01684994933189,52.4952945685717,0,"LDN_grid_map$WD_pp_d.scaled","crossTermsAge_age50_A.nearest4"
"LDN_grid_map$cnt_spr.scaled",0.232864933441051,0.00723790149878023,32.1729901243192,0,"LDN_grid_map$cnt_spr.scaled","crossTermsAge_age50_A.nearest4"
"LDN_grid_map$cnt_CHs.scaled",0.00502577695339687,0.00700997370766614,0.716946619628638,0.473407034638947,"LDN_grid_map$cnt_CHs.scaled","crossTermsAge_age50_A.nearest4"
"LDN_grid_map$pc_f.scaled:LDN_grid_map$pc_50_p.scaled",0.0198259850399035,0.00867736085856008,2.28479434739025,0.022324889271363,"LDN_grid_map$pc_f.scaled:LDN_grid_map$pc_50_p.scaled","crossTermsAge_age50_A.nearest4"
"LDN_grid_map$pc_50_p.scaled:LDN_grid_map$pc_bd_g.scaled",0.00893795194506278,0.00998463549873845,0.895170579456013,0.37069590930434,"LDN_grid_map$pc_50_p.scaled:LDN_grid_map$pc_bd_g.scaled","crossTermsAge_age50_A.nearest4"
