"","Estimate","Std. Error","z value","Pr(>|z|)","variable","model"
"(Intercept)",0.455158044127937,0.0114486975703053,39.756316500882,0,"(Intercept)","crossTermsAge_age50_A.queen_shared_edge"
"LDN_grid_map$pc_f.scaled",-0.0413586675109069,0.0105562567152372,-3.91792930264842,8.9312890278137e-05,"LDN_grid_map$pc_f.scaled","crossTermsAge_age50_A.queen_shared_edge"
"LDN_grid_map$pc_50_p.scaled",-0.0445929590129606,0.0151923745958876,-2.93521981909474,0.00333311471483011,"LDN_grid_map$pc_50_p.scaled","crossTermsAge_age50_A.queen_shared_edge"
"LDN_grid_map$pc_bd_g.scaled",0.0423084237817077,0.0162058580753155,2.61068704817002,0.00903605418043085,"LDN_grid_map$pc_bd_g.scaled","crossTermsAge_age50_A.queen_shared_edge"
"LDN_grid_map$avg_dpr.scaled",-0.073888765656922,0.0192013557529496,-3.84810148864471,0.000119036741601741,"LDN_grid_map$avg_dpr.scaled","crossTermsAge_age50_A.queen_shared_edge"
"LDN_grid_map$pop_den.scaled",-0.490208095598295,0.0178950981176925,-27.3934287688334,0,"LDN_grid_map$pop_den.scaled","crossTermsAge_age50_A.queen_shared_edge"
"LDN_grid_map$WD_pp_d.scaled",0.805414162014112,0.0183909870056165,43.7939606921664,0,"LDN_grid_map$WD_pp_d.scaled","crossTermsAge_age50_A.queen_shared_edge"
"LDN_grid_map$cnt_spr.scaled",0.232585819155713,0.00721353291252814,32.2429830120784,0,"LDN_grid_map$cnt_spr.scaled","crossTermsAge_age50_A.queen_shared_edge"
"LDN_grid_map$cnt_CHs.scaled",0.00600885408356179,0.00698302260163227,0.860494720747035,0.389516392389433,"LDN_grid_map$cnt_CHs.scaled","crossTermsAge_age50_A.queen_shared_edge"
"LDN_grid_map$pc_f.scaled:LDN_grid_map$pc_50_p.scaled",0.0126124172768684,0.00905412575751785,1.39300221961199,0.163619119478749,"LDN_grid_map$pc_f.scaled:LDN_grid_map$pc_50_p.scaled","crossTermsAge_age50_A.queen_shared_edge"
"LDN_grid_map$pc_50_p.scaled:LDN_grid_map$pc_bd_g.scaled",0.0104276821286565,0.0104945843214316,0.993625074540731,0.320405432072003,"LDN_grid_map$pc_50_p.scaled:LDN_grid_map$pc_bd_g.scaled","crossTermsAge_age50_A.queen_shared_edge"
