"","Estimate","Std. Error","z value","Pr(>|z|)","variable","model"
"(Intercept)",0.455941236895525,0.0097177992371019,46.9181576786205,0,"(Intercept)","crossTermsAge_age50_A.rook_shared_edge"
"LDN_grid_map$pc_f.scaled",-0.0409803615803712,0.00997785835006569,-4.10713002155432,4.00605743546834e-05,"LDN_grid_map$pc_f.scaled","crossTermsAge_age50_A.rook_shared_edge"
"LDN_grid_map$pc_50_p.scaled",-0.0366639260089813,0.01405988032233,-2.60769829959018,0.00911532559945916,"LDN_grid_map$pc_50_p.scaled","crossTermsAge_age50_A.rook_shared_edge"
"LDN_grid_map$pc_bd_g.scaled",0.0406412203680152,0.0154684791115158,2.62735722594467,0.00860509445014412,"LDN_grid_map$pc_bd_g.scaled","crossTermsAge_age50_A.rook_shared_edge"
"LDN_grid_map$avg_dpr.scaled",-0.0748855890613016,0.0178509735657618,-4.19504229197517,2.72820678604013e-05,"LDN_grid_map$avg_dpr.scaled","crossTermsAge_age50_A.rook_shared_edge"
"LDN_grid_map$pop_den.scaled",-0.544805155485044,0.0167586289178764,-32.5089336457532,0,"LDN_grid_map$pop_den.scaled","crossTermsAge_age50_A.rook_shared_edge"
"LDN_grid_map$WD_pp_d.scaled",0.878912010147442,0.0170181894568368,51.6454475005479,0,"LDN_grid_map$WD_pp_d.scaled","crossTermsAge_age50_A.rook_shared_edge"
"LDN_grid_map$cnt_spr.scaled",0.232456300633199,0.00722777155918935,32.1615450529361,0,"LDN_grid_map$cnt_spr.scaled","crossTermsAge_age50_A.rook_shared_edge"
"LDN_grid_map$cnt_CHs.scaled",0.00509025497087594,0.00698915702578089,0.728307427075901,0.466425416889355,"LDN_grid_map$cnt_CHs.scaled","crossTermsAge_age50_A.rook_shared_edge"
"LDN_grid_map$pc_f.scaled:LDN_grid_map$pc_50_p.scaled",0.0200516515517078,0.00868758226095837,2.30808192076858,0.0209945805377971,"LDN_grid_map$pc_f.scaled:LDN_grid_map$pc_50_p.scaled","crossTermsAge_age50_A.rook_shared_edge"
"LDN_grid_map$pc_50_p.scaled:LDN_grid_map$pc_bd_g.scaled",0.00859666233694933,0.00997770726588325,0.861586946566761,0.388914856677306,"LDN_grid_map$pc_50_p.scaled:LDN_grid_map$pc_bd_g.scaled","crossTermsAge_age50_A.rook_shared_edge"
