"","Estimate","Std. Error","z value","Pr(>|z|)","variable","model"
"(Intercept)",0.468123177721895,0.0133384134246985,35.0958665634911,0,"(Intercept)","crossTerms_age65_A.distance0.5km"
"LDN_grid_map$pc_f.scaled",-0.048502142060883,0.00983298711911389,-4.93259489444484,8.11443354509223e-07,"LDN_grid_map$pc_f.scaled","crossTerms_age65_A.distance0.5km"
"LDN_grid_map$pc_65_p.scaled",-0.0484168223617768,0.0162629118382306,-2.97713120770656,0.00290959460926454,"LDN_grid_map$pc_65_p.scaled","crossTerms_age65_A.distance0.5km"
"LDN_grid_map$pop_den.scaled",-0.488188546884425,0.0205493757687219,-23.7568553117556,0,"LDN_grid_map$pop_den.scaled","crossTerms_age65_A.distance0.5km"
"LDN_grid_map$pc_bd_g.scaled",0.0523744116821731,0.0164300323238413,3.18772420223261,0.00143397240010223,"LDN_grid_map$pc_bd_g.scaled","crossTerms_age65_A.distance0.5km"
"LDN_grid_map$avg_dpr.scaled",-0.0917363020123423,0.0193062359209663,-4.75164099246906,2.01772389130106e-06,"LDN_grid_map$avg_dpr.scaled","crossTerms_age65_A.distance0.5km"
"LDN_grid_map$WD_pp_d.scaled",0.813980121572645,0.0180828199589151,45.0140035360658,0,"LDN_grid_map$WD_pp_d.scaled","crossTerms_age65_A.distance0.5km"
"LDN_grid_map$cnt_spr.scaled",0.245753227632284,0.00761048299729581,32.291410114129,0,"LDN_grid_map$cnt_spr.scaled","crossTerms_age65_A.distance0.5km"
"LDN_grid_map$cnt_CHs.scaled",0.00576345506636491,0.00698722741307004,0.824855801255877,0.409453461965024,"LDN_grid_map$cnt_CHs.scaled","crossTerms_age65_A.distance0.5km"
"LDN_grid_map$pc_65_p.scaled:LDN_grid_map$pop_den.scaled",0.0178454828477891,0.0139941288788801,1.27521212661701,0.202234170245997,"LDN_grid_map$pc_65_p.scaled:LDN_grid_map$pop_den.scaled","crossTerms_age65_A.distance0.5km"
"LDN_grid_map$pop_den.scaled:LDN_grid_map$pc_bd_g.scaled",-0.00564940630275586,0.0137019594202985,-0.412306454096386,0.680114818639593,"LDN_grid_map$pop_den.scaled:LDN_grid_map$pc_bd_g.scaled","crossTerms_age65_A.distance0.5km"
"LDN_grid_map$pop_den.scaled:LDN_grid_map$avg_dpr.scaled",0.0182016309362478,0.0156071972184517,1.16623316034789,0.243520188851898,"LDN_grid_map$pop_den.scaled:LDN_grid_map$avg_dpr.scaled","crossTerms_age65_A.distance0.5km"
"LDN_grid_map$pop_den.scaled:LDN_grid_map$cnt_spr.scaled",-0.0377665468099991,0.00681833515682364,-5.53896896256312,3.04257554706311e-08,"LDN_grid_map$pop_den.scaled:LDN_grid_map$cnt_spr.scaled","crossTerms_age65_A.distance0.5km"
