"","Estimate","Std. Error","z value","Pr(>|z|)","variable","model"
"(Intercept)",0.411548565776824,0.0350505860828318,11.7415601783163,0,"(Intercept)","crossTerms_age65_A.lag4"
"LDN_grid_map$pc_f.scaled",-0.0510965830483092,0.00955049041442853,-5.35015280169428,8.78799994996626e-08,"LDN_grid_map$pc_f.scaled","crossTerms_age65_A.lag4"
"LDN_grid_map$pc_65_p.scaled",-0.0394865286867594,0.0164641997429035,-2.39832663010416,0.016470171181648,"LDN_grid_map$pc_65_p.scaled","crossTerms_age65_A.lag4"
"LDN_grid_map$pop_den.scaled",-0.427402567560658,0.020783481532071,-20.5645318327025,0,"LDN_grid_map$pop_den.scaled","crossTerms_age65_A.lag4"
"LDN_grid_map$pc_bd_g.scaled",0.0318669404551114,0.0156616671786557,2.03470933787565,0.0418801280654231,"LDN_grid_map$pc_bd_g.scaled","crossTerms_age65_A.lag4"
"LDN_grid_map$avg_dpr.scaled",-0.0369558609101812,0.0202558356009781,-1.82445501820704,0.0680833108006922,"LDN_grid_map$avg_dpr.scaled","crossTerms_age65_A.lag4"
"LDN_grid_map$WD_pp_d.scaled",0.70335040291658,0.0191151525308975,36.7954376393123,0,"LDN_grid_map$WD_pp_d.scaled","crossTerms_age65_A.lag4"
"LDN_grid_map$cnt_spr.scaled",0.254286186318822,0.00769447849576685,33.0478779632328,0,"LDN_grid_map$cnt_spr.scaled","crossTerms_age65_A.lag4"
"LDN_grid_map$cnt_CHs.scaled",0.00522387967670068,0.0070701133065023,0.73886788658625,0.459987224166256,"LDN_grid_map$cnt_CHs.scaled","crossTerms_age65_A.lag4"
"LDN_grid_map$pc_65_p.scaled:LDN_grid_map$pop_den.scaled",0.0340123315123203,0.0142944984347565,2.37940013548294,0.0173408409940803,"LDN_grid_map$pc_65_p.scaled:LDN_grid_map$pop_den.scaled","crossTerms_age65_A.lag4"
"LDN_grid_map$pop_den.scaled:LDN_grid_map$pc_bd_g.scaled",-0.0288426259036455,0.013310380481587,-2.16692722973209,0.0302404033028882,"LDN_grid_map$pop_den.scaled:LDN_grid_map$pc_bd_g.scaled","crossTerms_age65_A.lag4"
"LDN_grid_map$pop_den.scaled:LDN_grid_map$avg_dpr.scaled",0.0322904627512978,0.0151228472697001,2.13521053115405,0.0327438170747461,"LDN_grid_map$pop_den.scaled:LDN_grid_map$avg_dpr.scaled","crossTerms_age65_A.lag4"
"LDN_grid_map$pop_den.scaled:LDN_grid_map$cnt_spr.scaled",-0.0427215723474629,0.00688018427020788,-6.20936455618682,5.31992894181599e-10,"LDN_grid_map$pop_den.scaled:LDN_grid_map$cnt_spr.scaled","crossTerms_age65_A.lag4"
