"","Estimate","Std. Error","z value","Pr(>|z|)","variable","model"
"(Intercept)",0.455158044265681,0.0114486973624196,39.7563172348095,0,"(Intercept)","full method_crossTermsAge_age50_A.queen_shared_edge"
"LDN_grid_map$pc_f.scaled",-0.0413586675315786,0.010556256632952,-3.91792933514662,8.93128782402108e-05,"LDN_grid_map$pc_f.scaled","full method_crossTermsAge_age50_A.queen_shared_edge"
"LDN_grid_map$pc_50_p.scaled",-0.0445929581834266,0.0151923744490252,-2.93521979286707,0.00333311499658029,"LDN_grid_map$pc_50_p.scaled","full method_crossTermsAge_age50_A.queen_shared_edge"
"LDN_grid_map$pc_bd_g.scaled",0.0423084237244749,0.0162058579641745,2.61068706254269,0.00903605380070505,"LDN_grid_map$pc_bd_g.scaled","full method_crossTermsAge_age50_A.queen_shared_edge"
"LDN_grid_map$avg_dpr.scaled",-0.0738887658151695,0.0192013555743916,-3.84810153267061,0.000119036720214405,"LDN_grid_map$avg_dpr.scaled","full method_crossTermsAge_age50_A.queen_shared_edge"
"LDN_grid_map$pop_den.scaled",-0.490208101189264,0.0178950979665825,-27.3934293125796,0,"LDN_grid_map$pop_den.scaled","full method_crossTermsAge_age50_A.queen_shared_edge"
"LDN_grid_map$WD_pp_d.scaled",0.805414169553245,0.0183909868299092,43.7939615205098,0,"LDN_grid_map$WD_pp_d.scaled","full method_crossTermsAge_age50_A.queen_shared_edge"
"LDN_grid_map$cnt_spr.scaled",0.232585819566088,0.00721353291748219,32.2429830468244,0,"LDN_grid_map$cnt_spr.scaled","full method_crossTermsAge_age50_A.queen_shared_edge"
"LDN_grid_map$cnt_CHs.scaled",0.00600885395458755,0.00698302260682007,0.860494701638072,0.389516402918509,"LDN_grid_map$cnt_CHs.scaled","full method_crossTermsAge_age50_A.queen_shared_edge"
"LDN_grid_map$pc_f.scaled:LDN_grid_map$pc_50_p.scaled",0.0126124178763428,0.00905412570111302,1.3930022945001,0.163619096832908,"LDN_grid_map$pc_f.scaled:LDN_grid_map$pc_50_p.scaled","full method_crossTermsAge_age50_A.queen_shared_edge"
"LDN_grid_map$pc_50_p.scaled:LDN_grid_map$pc_bd_g.scaled",0.0104276818726819,0.0104945842479315,0.993625057108596,0.320405440561915,"LDN_grid_map$pc_50_p.scaled:LDN_grid_map$pc_bd_g.scaled","full method_crossTermsAge_age50_A.queen_shared_edge"
