"","Estimate","Std. Error","z value","Pr(>|z|)","variable","model"
"(Intercept)",0.455941236671993,0.00971779988984377,46.9181545041388,0,"(Intercept)","full method_crossTermsAge_age50_A.rook_shared_edge"
"LDN_grid_map$pc_f.scaled",-0.0409803619916697,0.00997785873885395,-4.1071299027407,4.00605949542054e-05,"LDN_grid_map$pc_f.scaled","full method_crossTermsAge_age50_A.rook_shared_edge"
"LDN_grid_map$pc_50_p.scaled",-0.0366639290903581,0.0140598809492094,-2.60769840248325,0.00911532285974515,"LDN_grid_map$pc_50_p.scaled","full method_crossTermsAge_age50_A.rook_shared_edge"
"LDN_grid_map$pc_bd_g.scaled",0.0406412211582333,0.0154684796593326,2.62735718398242,0.00860509551142474,"LDN_grid_map$pc_bd_g.scaled","full method_crossTermsAge_age50_A.rook_shared_edge"
"LDN_grid_map$avg_dpr.scaled",-0.0748855900542832,0.0178509743296814,-4.19504216807753,2.72820827733611e-05,"LDN_grid_map$avg_dpr.scaled","full method_crossTermsAge_age50_A.rook_shared_edge"
"LDN_grid_map$pop_den.scaled",-0.544805136092646,0.0167586296029606,-32.5089311596456,0,"LDN_grid_map$pop_den.scaled","full method_crossTermsAge_age50_A.rook_shared_edge"
"LDN_grid_map$WD_pp_d.scaled",0.878911985658293,0.0170181902009354,51.6454438034183,0,"LDN_grid_map$WD_pp_d.scaled","full method_crossTermsAge_age50_A.rook_shared_edge"
"LDN_grid_map$cnt_spr.scaled",0.232456297968537,0.00722777153063592,32.1615448113209,0,"LDN_grid_map$cnt_spr.scaled","full method_crossTermsAge_age50_A.rook_shared_edge"
"LDN_grid_map$cnt_CHs.scaled",0.00509025562563476,0.00698915699474017,0.728307523992598,0.466425357575402,"LDN_grid_map$cnt_CHs.scaled","full method_crossTermsAge_age50_A.rook_shared_edge"
"LDN_grid_map$pc_f.scaled:LDN_grid_map$pc_50_p.scaled",0.0200516497857863,0.00868758255196296,2.30808164018604,0.0209945961406817,"LDN_grid_map$pc_f.scaled:LDN_grid_map$pc_50_p.scaled","full method_crossTermsAge_age50_A.rook_shared_edge"
"LDN_grid_map$pc_50_p.scaled:LDN_grid_map$pc_bd_g.scaled",0.00859666318912539,0.00997770762398931,0.861587001051876,0.388914826684123,"LDN_grid_map$pc_50_p.scaled:LDN_grid_map$pc_bd_g.scaled","full method_crossTermsAge_age50_A.rook_shared_edge"
