"","Estimate","Std. Error","z value","Pr(>|z|)","variable","model"
"(Intercept)",0.432018583079981,0.0258528505279649,16.7106750032329,0,"(Intercept)","A.lag2"
"LDN_grid_map$pc_f.scaled",-0.036251687460519,0.0104990553450194,-3.45285230615688,0.000554692616456132,"LDN_grid_map$pc_f.scaled","A.lag2"
"LDN_grid_map$pc_65_p.scaled",-0.0548336786997671,0.018153814181426,-3.0205045701013,0.00252353899796143,"LDN_grid_map$pc_65_p.scaled","A.lag2"
"LDN_grid_map$pop_den.scaled",-0.35883183861381,0.0229084276175123,-15.6637480583566,0,"LDN_grid_map$pop_den.scaled","A.lag2"
"LDN_grid_map$pc_bd_g.scaled",0.0294135680275843,0.0170069006909071,1.72950783697529,0.0837182450973084,"LDN_grid_map$pc_bd_g.scaled","A.lag2"
"LDN_grid_map$avg_dpr.scaled",-0.0403343957440542,0.0219108936024097,-1.84083755213061,0.0656453679691846,"LDN_grid_map$avg_dpr.scaled","A.lag2"
"LDN_grid_map$WD_pp_d.scaled",0.607429466318014,0.0208694789626096,29.1061155578587,0,"LDN_grid_map$WD_pp_d.scaled","A.lag2"
"LDN_grid_map$cnt_spr.scaled",0.233805553628861,0.00720592691036464,32.4462843624693,0,"LDN_grid_map$cnt_spr.scaled","A.lag2"
"LDN_grid_map$cnt_CHs.scaled",0.00650902166851374,0.00697524678199477,0.933160054683011,0.350737335691421,"LDN_grid_map$cnt_CHs.scaled","A.lag2"
"LDN_grid_map$pc_65_p.scaled:LDN_grid_map$pop_den.scaled",0.016868428085529,0.0144946269984775,1.16377110547935,0.244516784725537,"LDN_grid_map$pc_65_p.scaled:LDN_grid_map$pop_den.scaled","A.lag2"
"LDN_grid_map$pop_den.scaled:LDN_grid_map$pc_bd_g.scaled",7.23181252463602e-06,0.00827771620405327,0.000873648280076924,0.999302929614429,"LDN_grid_map$pop_den.scaled:LDN_grid_map$pc_bd_g.scaled","A.lag2"
