"","Estimate","Std. Error","z value","Pr(>|z|)","variable","model"
"(Intercept)",0.466071567815738,0.0134773260309618,34.5819019844902,0,"(Intercept)","A.queen_shared_edge"
"LDN_grid_map$pc_f.scaled",-0.0485365489022488,0.0098883810789752,-4.90844239462492,9.18025853557936e-07,"LDN_grid_map$pc_f.scaled","A.queen_shared_edge"
"LDN_grid_map$pc_65_p.scaled",-0.0447837895879278,0.0162902580975397,-2.74911479730892,0.00597564537122142,"LDN_grid_map$pc_65_p.scaled","A.queen_shared_edge"
"LDN_grid_map$pop_den.scaled",-0.481224073051421,0.0206693119933085,-23.2820556972198,0,"LDN_grid_map$pop_den.scaled","A.queen_shared_edge"
"LDN_grid_map$pc_bd_g.scaled",0.0477054562984511,0.0163042327545121,2.92595530355447,0.00343400270630134,"LDN_grid_map$pc_bd_g.scaled","A.queen_shared_edge"
"LDN_grid_map$avg_dpr.scaled",-0.0876594153353262,0.0190728349341317,-4.59603491762286,4.30606569112868e-06,"LDN_grid_map$avg_dpr.scaled","A.queen_shared_edge"
"LDN_grid_map$WD_pp_d.scaled",0.809887014431839,0.0181847240468912,44.5366678286379,0,"LDN_grid_map$WD_pp_d.scaled","A.queen_shared_edge"
"LDN_grid_map$cnt_spr.scaled",0.232121743256266,0.00721377899387099,32.1775512465079,0,"LDN_grid_map$cnt_spr.scaled","A.queen_shared_edge"
"LDN_grid_map$cnt_CHs.scaled",0.00603013954942693,0.00698992045936822,0.862690725091879,0.388307533210353,"LDN_grid_map$cnt_CHs.scaled","A.queen_shared_edge"
"LDN_grid_map$pc_65_p.scaled:LDN_grid_map$pop_den.scaled",0.0189122919571208,0.0128282532656885,1.47426867597829,0.140409265523413,"LDN_grid_map$pc_65_p.scaled:LDN_grid_map$pop_den.scaled","A.queen_shared_edge"
"LDN_grid_map$pop_den.scaled:LDN_grid_map$pc_bd_g.scaled",0.00411334324251759,0.00811447049500997,0.506914560234966,0.612214768962975,"LDN_grid_map$pop_den.scaled:LDN_grid_map$pc_bd_g.scaled","A.queen_shared_edge"
