"","Estimate","Std. Error","z value","Pr(>|z|)","variable","model"
"(Intercept)",0.423673308948882,0.0350206815008151,12.0978030921249,0,"(Intercept)","sprCross_crossTerms4_age50_A.distance1.5km"
"LDN_grid_map$pc_f.scaled",-0.0523029569037131,0.00953315353216444,-5.4864276262042,4.10143345952463e-08,"LDN_grid_map$pc_f.scaled","sprCross_crossTerms4_age50_A.distance1.5km"
"LDN_grid_map$pop_den.scaled",-0.420226045137068,0.0198322971488511,-21.1889748314613,0,"LDN_grid_map$pop_den.scaled","sprCross_crossTerms4_age50_A.distance1.5km"
"LDN_grid_map$pc_50_p.scaled",-0.0448947844631672,0.0151485268569464,-2.96364028576023,0.00304023448809843,"LDN_grid_map$pc_50_p.scaled","sprCross_crossTerms4_age50_A.distance1.5km"
"LDN_grid_map$pc_bd_g.scaled",0.0268563357441983,0.0152675244491755,1.75904979445758,0.0785690512796315,"LDN_grid_map$pc_bd_g.scaled","sprCross_crossTerms4_age50_A.distance1.5km"
"LDN_grid_map$avg_dpr.scaled",-0.0317791560104027,0.0194743887407392,-1.63184356815897,0.102712444541199,"LDN_grid_map$avg_dpr.scaled","sprCross_crossTerms4_age50_A.distance1.5km"
"LDN_grid_map$WD_pp_d.scaled",0.693306829048448,0.0192751550648077,35.9689365256665,0,"LDN_grid_map$WD_pp_d.scaled","sprCross_crossTerms4_age50_A.distance1.5km"
"LDN_grid_map$cnt_spr.scaled",0.254782810053076,0.00769271929191255,33.1199931240091,0,"LDN_grid_map$cnt_spr.scaled","sprCross_crossTerms4_age50_A.distance1.5km"
"LDN_grid_map$cnt_CHs.scaled",0.00502986769591917,0.00706231523441722,0.712212288600033,0.476333328494387,"LDN_grid_map$cnt_CHs.scaled","sprCross_crossTerms4_age50_A.distance1.5km"
"LDN_grid_map$pc_f.scaled:LDN_grid_map$pop_den.scaled",0.0128845033552778,0.00802022616637406,1.60650124921638,0.108163820690186,"LDN_grid_map$pc_f.scaled:LDN_grid_map$pop_den.scaled","sprCross_crossTerms4_age50_A.distance1.5km"
"LDN_grid_map$pop_den.scaled:LDN_grid_map$pc_50_p.scaled",0.0236359488846121,0.011307738887589,2.090245372623,0.0365957636433882,"LDN_grid_map$pop_den.scaled:LDN_grid_map$pc_50_p.scaled","sprCross_crossTerms4_age50_A.distance1.5km"
"LDN_grid_map$pop_den.scaled:LDN_grid_map$cnt_spr.scaled",-0.0438279947327916,0.00686217978132801,-6.38689106514633,1.69292135865362e-10,"LDN_grid_map$pop_den.scaled:LDN_grid_map$cnt_spr.scaled","sprCross_crossTerms4_age50_A.distance1.5km"
