"","Estimate","Std. Error","z value","Pr(>|z|)","variable","model"
"(Intercept)",0.417143755120879,0.0326785670547761,12.7650565100256,0,"(Intercept)","sprCross_crossTerms4_age50_A.distance1km"
"LDN_grid_map$pc_f.scaled",-0.0397492645541483,0.010231541320447,-3.88497327130101,0.000102341147080187,"LDN_grid_map$pc_f.scaled","sprCross_crossTerms4_age50_A.distance1km"
"LDN_grid_map$pop_den.scaled",-0.355105676563692,0.0213366120261912,-16.6430207442396,0,"LDN_grid_map$pop_den.scaled","sprCross_crossTerms4_age50_A.distance1km"
"LDN_grid_map$pc_50_p.scaled",-0.0597292144504489,0.0165061620540172,-3.61860099609965,0.000296199904795236,"LDN_grid_map$pc_50_p.scaled","sprCross_crossTerms4_age50_A.distance1km"
"LDN_grid_map$pc_bd_g.scaled",0.0268361191642219,0.0162554812369403,1.65089662822392,0.0987596844444976,"LDN_grid_map$pc_bd_g.scaled","sprCross_crossTerms4_age50_A.distance1km"
"LDN_grid_map$avg_dpr.scaled",-0.0285832138490701,0.0210576895584366,-1.35737654265201,0.174661597701936,"LDN_grid_map$avg_dpr.scaled","sprCross_crossTerms4_age50_A.distance1km"
"LDN_grid_map$WD_pp_d.scaled",0.592799052684717,0.0207116045208643,28.6215899925836,0,"LDN_grid_map$WD_pp_d.scaled","sprCross_crossTerms4_age50_A.distance1km"
"LDN_grid_map$cnt_spr.scaled",0.248566591800034,0.00761688226460525,32.6336397445834,0,"LDN_grid_map$cnt_spr.scaled","sprCross_crossTerms4_age50_A.distance1km"
"LDN_grid_map$cnt_CHs.scaled",0.0060456078162087,0.00697852851679586,0.866315556590216,0.386317137491245,"LDN_grid_map$cnt_CHs.scaled","sprCross_crossTerms4_age50_A.distance1km"
"LDN_grid_map$pc_f.scaled:LDN_grid_map$pop_den.scaled",0.00696617157852872,0.00843182481020179,0.826176033697978,0.408704241375806,"LDN_grid_map$pc_f.scaled:LDN_grid_map$pop_den.scaled","sprCross_crossTerms4_age50_A.distance1km"
"LDN_grid_map$pop_den.scaled:LDN_grid_map$pc_50_p.scaled",0.0159837258221557,0.0121460073473099,1.31596543334019,0.188185644849305,"LDN_grid_map$pop_den.scaled:LDN_grid_map$pc_50_p.scaled","sprCross_crossTerms4_age50_A.distance1km"
"LDN_grid_map$pop_den.scaled:LDN_grid_map$cnt_spr.scaled",-0.0375427709863662,0.00680550158451407,-5.51653254652013,3.4575348140109e-08,"LDN_grid_map$pop_den.scaled:LDN_grid_map$cnt_spr.scaled","sprCross_crossTerms4_age50_A.distance1km"
