"","Estimate","Std. Error","z value","Pr(>|z|)","variable","model"
"(Intercept)",0.443172764129528,0.0254001713050302,17.4476289473592,0,"(Intercept)","sprCross_crossTerms4_age50_A.lag2"
"LDN_grid_map$pc_f.scaled",-0.0370513571880599,0.0105145398297606,-3.52382108850725,0.000425371364025873,"LDN_grid_map$pc_f.scaled","sprCross_crossTerms4_age50_A.lag2"
"LDN_grid_map$pop_den.scaled",-0.352678771791746,0.0217363215646112,-16.2253199440121,0,"LDN_grid_map$pop_den.scaled","sprCross_crossTerms4_age50_A.lag2"
"LDN_grid_map$pc_50_p.scaled",-0.0617448868860891,0.0168498843958692,-3.66441011911191,0.000247909276976044,"LDN_grid_map$pc_50_p.scaled","sprCross_crossTerms4_age50_A.lag2"
"LDN_grid_map$pc_bd_g.scaled",0.0315556990486093,0.0167035309600688,1.88916338252348,0.058869939622054,"LDN_grid_map$pc_bd_g.scaled","sprCross_crossTerms4_age50_A.lag2"
"LDN_grid_map$avg_dpr.scaled",-0.0404303196257672,0.0213575162643075,-1.89302534646007,0.0583544988382001,"LDN_grid_map$avg_dpr.scaled","sprCross_crossTerms4_age50_A.lag2"
"LDN_grid_map$WD_pp_d.scaled",0.600576355887336,0.0210179940409038,28.5743898641581,0,"LDN_grid_map$WD_pp_d.scaled","sprCross_crossTerms4_age50_A.lag2"
"LDN_grid_map$cnt_spr.scaled",0.246106972848186,0.00759901059656209,32.3867126806651,0,"LDN_grid_map$cnt_spr.scaled","sprCross_crossTerms4_age50_A.lag2"
"LDN_grid_map$cnt_CHs.scaled",0.00605106898471581,0.00696465887774013,0.868824890197528,0.38494291685694,"LDN_grid_map$cnt_CHs.scaled","sprCross_crossTerms4_age50_A.lag2"
"LDN_grid_map$pc_f.scaled:LDN_grid_map$pop_den.scaled",0.00148624489418974,0.0085917679668767,0.172984757027839,0.862663409125305,"LDN_grid_map$pc_f.scaled:LDN_grid_map$pop_den.scaled","sprCross_crossTerms4_age50_A.lag2"
"LDN_grid_map$pop_den.scaled:LDN_grid_map$pc_50_p.scaled",0.0173248693019313,0.0123661426843767,1.40099218843879,0.161216409056328,"LDN_grid_map$pop_den.scaled:LDN_grid_map$pc_50_p.scaled","sprCross_crossTerms4_age50_A.lag2"
"LDN_grid_map$pop_den.scaled:LDN_grid_map$cnt_spr.scaled",-0.0349446039510654,0.00680516691218975,-5.13501055917834,2.82128183481944e-07,"LDN_grid_map$pop_den.scaled:LDN_grid_map$cnt_spr.scaled","sprCross_crossTerms4_age50_A.lag2"
