"","Estimate","Std. Error","z value","Pr(>|z|)","variable","model"
"(Intercept)",0.477085025829818,0.0112424652332805,42.4359796477313,0,"(Intercept)","sprCross_crossTerms4_age50_A.rook_shared_edge"
"LDN_grid_map$pc_f.scaled",-0.0528447317191198,0.00932237787678361,-5.66858932533984,1.43978002853373e-08,"LDN_grid_map$pc_f.scaled","sprCross_crossTerms4_age50_A.rook_shared_edge"
"LDN_grid_map$pop_den.scaled",-0.531161547176014,0.018338251764495,-28.964677440213,0,"LDN_grid_map$pop_den.scaled","sprCross_crossTerms4_age50_A.rook_shared_edge"
"LDN_grid_map$pc_50_p.scaled",-0.0322721974516021,0.0138404899460475,-2.33172362953944,0.019715234905872,"LDN_grid_map$pc_50_p.scaled","sprCross_crossTerms4_age50_A.rook_shared_edge"
"LDN_grid_map$pc_bd_g.scaled",0.0491592673092642,0.0152519666593265,3.22314285149604,0.00126792304056123,"LDN_grid_map$pc_bd_g.scaled","sprCross_crossTerms4_age50_A.rook_shared_edge"
"LDN_grid_map$avg_dpr.scaled",-0.0874819661697934,0.0172050970849568,-5.08465402652584,3.68296787067734e-07,"LDN_grid_map$avg_dpr.scaled","sprCross_crossTerms4_age50_A.rook_shared_edge"
"LDN_grid_map$WD_pp_d.scaled",0.884199224494568,0.0169457672891438,52.178175789126,0,"LDN_grid_map$WD_pp_d.scaled","sprCross_crossTerms4_age50_A.rook_shared_edge"
"LDN_grid_map$cnt_spr.scaled",0.245913256957291,0.00762376870877742,32.2561276910415,0,"LDN_grid_map$cnt_spr.scaled","sprCross_crossTerms4_age50_A.rook_shared_edge"
"LDN_grid_map$cnt_CHs.scaled",0.00432124225573971,0.00698884828356534,0.618305345946821,0.536374078603573,"LDN_grid_map$cnt_CHs.scaled","sprCross_crossTerms4_age50_A.rook_shared_edge"
"LDN_grid_map$pc_f.scaled:LDN_grid_map$pop_den.scaled",-0.00421487729791852,0.00787032402813468,-0.535540504158565,0.59227615709344,"LDN_grid_map$pc_f.scaled:LDN_grid_map$pop_den.scaled","sprCross_crossTerms4_age50_A.rook_shared_edge"
"LDN_grid_map$pop_den.scaled:LDN_grid_map$pc_50_p.scaled",0.0222181305666898,0.0103319841033611,2.15042244978503,0.0315218141406868,"LDN_grid_map$pop_den.scaled:LDN_grid_map$pc_50_p.scaled","sprCross_crossTerms4_age50_A.rook_shared_edge"
"LDN_grid_map$pop_den.scaled:LDN_grid_map$cnt_spr.scaled",-0.0389595183544821,0.00675548463058172,-5.76709451430242,8.06498268168809e-09,"LDN_grid_map$pop_den.scaled:LDN_grid_map$cnt_spr.scaled","sprCross_crossTerms4_age50_A.rook_shared_edge"
