"","Estimate","Std. Error","z value","Pr(>|z|)","variable","model"
"(Intercept)",0.477323035587918,0.0111625486366755,42.7611158637762,0,"(Intercept)","crossTerms2_age50_A.nearest4"
"LDN_grid_map$pc_f.scaled",-0.053619270783256,0.00932779894879955,-5.74833045583133,9.01289598509436e-09,"LDN_grid_map$pc_f.scaled","crossTerms2_age50_A.nearest4"
"LDN_grid_map$pc_50_p.scaled",-0.0349882131713867,0.0140496482346594,-2.49032663216959,0.0127625744026205,"LDN_grid_map$pc_50_p.scaled","crossTerms2_age50_A.nearest4"
"LDN_grid_map$pop_den.scaled",-0.538292794538322,0.0185459184087513,-29.024865885548,0,"LDN_grid_map$pop_den.scaled","crossTerms2_age50_A.nearest4"
"LDN_grid_map$pc_bd_g.scaled",0.0498051481233341,0.0152732646629428,3.26093662504096,0.00111044856333953,"LDN_grid_map$pc_bd_g.scaled","crossTerms2_age50_A.nearest4"
"LDN_grid_map$avg_dpr.scaled",-0.0888323977915256,0.0171672960748524,-5.17451306275611,2.28506124244632e-07,"LDN_grid_map$avg_dpr.scaled","crossTerms2_age50_A.nearest4"
"LDN_grid_map$WD_pp_d.scaled",0.888692169840258,0.0167011715372163,53.2113671103807,0,"LDN_grid_map$WD_pp_d.scaled","crossTerms2_age50_A.nearest4"
"LDN_grid_map$cnt_spr.scaled",0.246468502254214,0.0076336549974739,32.2870895181632,0,"LDN_grid_map$cnt_spr.scaled","crossTerms2_age50_A.nearest4"
"LDN_grid_map$cnt_CHs.scaled",0.00459819438956726,0.00740338166898062,0.621093791345811,0.5345379140653,"LDN_grid_map$cnt_CHs.scaled","crossTerms2_age50_A.nearest4"
"LDN_grid_map$pc_50_p.scaled:LDN_grid_map$pop_den.scaled",0.0206580133697194,0.0102594294538045,2.01356356732476,0.0440553747360857,"LDN_grid_map$pc_50_p.scaled:LDN_grid_map$pop_den.scaled","crossTerms2_age50_A.nearest4"
"LDN_grid_map$pop_den.scaled:LDN_grid_map$pc_bd_g.scaled",0.00407423733114337,0.00790774544785674,0.515221102905838,0.606398524123221,"LDN_grid_map$pop_den.scaled:LDN_grid_map$pc_bd_g.scaled","crossTerms2_age50_A.nearest4"
"LDN_grid_map$pop_den.scaled:LDN_grid_map$cnt_spr.scaled",-0.0395170801564301,0.00678609236016849,-5.82324525796006,5.77157610592849e-09,"LDN_grid_map$pop_den.scaled:LDN_grid_map$cnt_spr.scaled","crossTerms2_age50_A.nearest4"
"LDN_grid_map$pop_den.scaled:LDN_grid_map$cnt_CHs.scaled",-0.00099097178482312,0.0070933830918792,-0.139703688915043,0.8888941116607,"LDN_grid_map$pop_den.scaled:LDN_grid_map$cnt_CHs.scaled","crossTerms2_age50_A.nearest4"
