"","Estimate","Std. Error","z value","Pr(>|z|)","variable","model"
"(Intercept)",0.469627424585647,0.0131101109807997,35.8217733834165,0,"(Intercept)","crossTerms3_age50_A.distance0.5km"
"LDN_grid_map$pc_f.scaled",-0.0494081090404103,0.0099044838091903,-4.98845876193617,6.08628996312532e-07,"LDN_grid_map$pc_f.scaled","crossTerms3_age50_A.distance0.5km"
"LDN_grid_map$pc_50_p.scaled",-0.0428998173777284,0.0152399941662533,-2.81494972437217,0.00487848653011191,"LDN_grid_map$pc_50_p.scaled","crossTerms3_age50_A.distance0.5km"
"LDN_grid_map$pop_den.scaled",-0.476104972415994,0.0200868595249863,-23.7023100511935,0,"LDN_grid_map$pop_den.scaled","crossTerms3_age50_A.distance0.5km"
"LDN_grid_map$pc_bd_g.scaled",0.0461611611477105,0.0161010022166276,2.866974398652,0.00414416535053364,"LDN_grid_map$pc_bd_g.scaled","crossTerms3_age50_A.distance0.5km"
"LDN_grid_map$avg_dpr.scaled",-0.0856679631259505,0.0186166572375906,-4.60168342966376,4.19089845538068e-06,"LDN_grid_map$avg_dpr.scaled","crossTerms3_age50_A.distance0.5km"
"LDN_grid_map$WD_pp_d.scaled",0.808172100021489,0.0183153843120002,44.125314885802,0,"LDN_grid_map$WD_pp_d.scaled","crossTerms3_age50_A.distance0.5km"
"LDN_grid_map$cnt_spr.scaled",0.231967463677361,0.0072147135919159,32.1519989285896,0,"LDN_grid_map$cnt_spr.scaled","crossTerms3_age50_A.distance0.5km"
"LDN_grid_map$cnt_CHs.scaled",0.00568299201499893,0.00698524643343659,0.813570726409293,0.415890913638712,"LDN_grid_map$cnt_CHs.scaled","crossTerms3_age50_A.distance0.5km"
"LDN_grid_map$pc_50_p.scaled:LDN_grid_map$pop_den.scaled",0.0243457480978555,0.0110567964996251,2.20188081590187,0.0276737284469177,"LDN_grid_map$pc_50_p.scaled:LDN_grid_map$pop_den.scaled","crossTerms3_age50_A.distance0.5km"
"LDN_grid_map$pop_den.scaled:LDN_grid_map$pc_bd_g.scaled",0.00371008102659338,0.00822062931750019,0.451313504514224,0.651763613114303,"LDN_grid_map$pop_den.scaled:LDN_grid_map$pc_bd_g.scaled","crossTerms3_age50_A.distance0.5km"
