"","Estimate","Std. Error","z value","Pr(>|z|)","variable","model"
"(Intercept)",0.408037069011615,0.033236167419584,12.2768989534932,0,"(Intercept)","crossTerms3_age50_A.distance1km"
"LDN_grid_map$pc_f.scaled",-0.0395976295480103,0.0102352322259638,-3.86875731530182,0.000109391453540164,"LDN_grid_map$pc_f.scaled","crossTerms3_age50_A.distance1km"
"LDN_grid_map$pc_50_p.scaled",-0.0562680010328372,0.0168659740256679,-3.33618449472318,0.000849367764735653,"LDN_grid_map$pc_50_p.scaled","crossTerms3_age50_A.distance1km"
"LDN_grid_map$pop_den.scaled",-0.352897391448165,0.0218402567609154,-16.1581155071263,0,"LDN_grid_map$pop_den.scaled","crossTerms3_age50_A.distance1km"
"LDN_grid_map$pc_bd_g.scaled",0.0258976162332487,0.0163008771869291,1.5887253143662,0.11212242119166,"LDN_grid_map$pc_bd_g.scaled","crossTerms3_age50_A.distance1km"
"LDN_grid_map$avg_dpr.scaled",-0.028673454854963,0.0211325906573156,-1.35683576708267,0.174833400010762,"LDN_grid_map$avg_dpr.scaled","crossTerms3_age50_A.distance1km"
"LDN_grid_map$WD_pp_d.scaled",0.594471377776095,0.0207384750709282,28.6651441700958,0,"LDN_grid_map$WD_pp_d.scaled","crossTerms3_age50_A.distance1km"
"LDN_grid_map$cnt_spr.scaled",0.235138453871285,0.00722684372933501,32.5368117366115,0,"LDN_grid_map$cnt_spr.scaled","crossTerms3_age50_A.distance1km"
"LDN_grid_map$cnt_CHs.scaled",0.00614818048218595,0.00698381202113571,0.88034736095118,0.378671163180974,"LDN_grid_map$cnt_CHs.scaled","crossTerms3_age50_A.distance1km"
"LDN_grid_map$pc_50_p.scaled:LDN_grid_map$pop_den.scaled",0.0243382424145152,0.0122942646503265,1.97964197995923,0.0477437723259322,"LDN_grid_map$pc_50_p.scaled:LDN_grid_map$pop_den.scaled","crossTerms3_age50_A.distance1km"
"LDN_grid_map$pop_den.scaled:LDN_grid_map$pc_bd_g.scaled",-0.00507560947994783,0.00817621378045823,-0.620777491420164,0.534746034932796,"LDN_grid_map$pop_den.scaled:LDN_grid_map$pc_bd_g.scaled","crossTerms3_age50_A.distance1km"
