"","Estimate","Std. Error","z value","Pr(>|z|)","variable","model"
"(Intercept)",0.410190149339123,0.035016622855013,11.7141550468051,0,"(Intercept)","crossTerms3_age50_A.lag4"
"LDN_grid_map$pc_f.scaled",-0.0535937134746296,0.00955286854238353,-5.61022202251068,2.02067205190559e-08,"LDN_grid_map$pc_f.scaled","crossTerms3_age50_A.lag4"
"LDN_grid_map$pc_50_p.scaled",-0.0358846045226262,0.0154454686267165,-2.32330953432876,0.0201625299979691,"LDN_grid_map$pc_50_p.scaled","crossTerms3_age50_A.lag4"
"LDN_grid_map$pop_den.scaled",-0.420844287400026,0.0202288615715968,-20.8041508371846,0,"LDN_grid_map$pop_den.scaled","crossTerms3_age50_A.lag4"
"LDN_grid_map$pc_bd_g.scaled",0.0250142900459185,0.0152918846578428,1.63578856404003,0.101883846264283,"LDN_grid_map$pc_bd_g.scaled","crossTerms3_age50_A.lag4"
"LDN_grid_map$avg_dpr.scaled",-0.03002316371773,0.0195170167167402,-1.53830701451305,0.123973565457778,"LDN_grid_map$avg_dpr.scaled","crossTerms3_age50_A.lag4"
"LDN_grid_map$WD_pp_d.scaled",0.704316788953708,0.0192360100802815,36.6144946906475,0,"LDN_grid_map$WD_pp_d.scaled","crossTerms3_age50_A.lag4"
"LDN_grid_map$cnt_spr.scaled",0.239505333772627,0.00731517278134367,32.7408990780713,0,"LDN_grid_map$cnt_spr.scaled","crossTerms3_age50_A.lag4"
"LDN_grid_map$cnt_CHs.scaled",0.00516874113410619,0.0070710974233058,0.730967320160293,0.46479911429832,"LDN_grid_map$cnt_CHs.scaled","crossTerms3_age50_A.lag4"
"LDN_grid_map$pc_50_p.scaled:LDN_grid_map$pop_den.scaled",0.035926498344129,0.01134339187,3.16717422406468,0.00153928068559317,"LDN_grid_map$pc_50_p.scaled:LDN_grid_map$pop_den.scaled","crossTerms3_age50_A.lag4"
"LDN_grid_map$pop_den.scaled:LDN_grid_map$pc_bd_g.scaled",-0.00995262061705277,0.00772624082729321,-1.28815821814598,0.197690892939842,"LDN_grid_map$pop_den.scaled:LDN_grid_map$pc_bd_g.scaled","crossTerms3_age50_A.lag4"
