"","Estimate","Std. Error","z value","Pr(>|z|)","variable","model"
"(Intercept)",0.455201626919504,0.00967807591487449,47.0343104273332,0,"(Intercept)","crossTermsAgeF_age50_A.rook_shared_edge"
"LDN_grid_map$pc_f.scaled",-0.0410747911257773,0.00997634568778918,-4.11721810883637,3.8347312845799e-05,"LDN_grid_map$pc_f.scaled","crossTermsAgeF_age50_A.rook_shared_edge"
"LDN_grid_map$pc_50_p.scaled",-0.0408158428906886,0.0132026351919797,-3.09149213753049,0.00199153256416706,"LDN_grid_map$pc_50_p.scaled","crossTermsAgeF_age50_A.rook_shared_edge"
"LDN_grid_map$pc_bd_g.scaled",0.0421672186003589,0.0153651646207309,2.7443388757102,0.00606329110609072,"LDN_grid_map$pc_bd_g.scaled","crossTermsAgeF_age50_A.rook_shared_edge"
"LDN_grid_map$avg_dpr.scaled",-0.0783163410217767,0.0173984286411862,-4.50134564660532,6.75245930858992e-06,"LDN_grid_map$avg_dpr.scaled","crossTermsAgeF_age50_A.rook_shared_edge"
"LDN_grid_map$pop_den.scaled",-0.546207718853416,0.0166838386445551,-32.7387318044864,0,"LDN_grid_map$pop_den.scaled","crossTermsAgeF_age50_A.rook_shared_edge"
"LDN_grid_map$WD_pp_d.scaled",0.878942935008536,0.0170163748184576,51.6527723669526,0,"LDN_grid_map$WD_pp_d.scaled","crossTermsAgeF_age50_A.rook_shared_edge"
"LDN_grid_map$cnt_spr.scaled",0.232299296979211,0.00722547608312866,32.1500333412805,0,"LDN_grid_map$cnt_spr.scaled","crossTermsAgeF_age50_A.rook_shared_edge"
"LDN_grid_map$cnt_CHs.scaled",0.00517506127727534,0.00698866411981472,0.740493632052321,0.459000523691962,"LDN_grid_map$cnt_CHs.scaled","crossTermsAgeF_age50_A.rook_shared_edge"
"LDN_grid_map$pc_f.scaled:LDN_grid_map$pc_50_p.scaled",0.0218938196446429,0.00842106323832916,2.59988780810853,0.00932542429001426,"LDN_grid_map$pc_f.scaled:LDN_grid_map$pc_50_p.scaled","crossTermsAgeF_age50_A.rook_shared_edge"
