"","Estimate","Std. Error","z value","Pr(>|z|)","variable","model"
"(Intercept)",0.417046418385948,0.0247050571930827,16.8810140825223,0,"(Intercept)","crossTermsAge_age50_A.lag2"
"LDN_grid_map$pc_f.scaled",-0.0327140168858346,0.0112319781390607,-2.91257839721637,0.00358458208073653,"LDN_grid_map$pc_f.scaled","crossTermsAge_age50_A.lag2"
"LDN_grid_map$pc_50_p.scaled",-0.0572955497868069,0.0174329814904753,-3.28661794416009,0.00101398301452016,"LDN_grid_map$pc_50_p.scaled","crossTermsAge_age50_A.lag2"
"LDN_grid_map$pc_bd_g.scaled",0.026758073799508,0.0168704411853249,1.58609211849089,0.112718414487929,"LDN_grid_map$pc_bd_g.scaled","crossTermsAge_age50_A.lag2"
"LDN_grid_map$avg_dpr.scaled",-0.0262215107236438,0.0221297047502807,-1.18490106485995,0.236056566336561,"LDN_grid_map$avg_dpr.scaled","crossTermsAge_age50_A.lag2"
"LDN_grid_map$pop_den.scaled",-0.364193178449927,0.0194940420720516,-18.6822813403111,0,"LDN_grid_map$pop_den.scaled","crossTermsAge_age50_A.lag2"
"LDN_grid_map$WD_pp_d.scaled",0.593154360218671,0.0211590725477403,28.0330982787815,0,"LDN_grid_map$WD_pp_d.scaled","crossTermsAge_age50_A.lag2"
"LDN_grid_map$cnt_spr.scaled",0.233537549655749,0.00720341488859673,32.4203941141093,0,"LDN_grid_map$cnt_spr.scaled","crossTermsAge_age50_A.lag2"
"LDN_grid_map$cnt_CHs.scaled",0.00623944338207612,0.00696632854423818,0.895657352715117,0.370435794266166,"LDN_grid_map$cnt_CHs.scaled","crossTermsAge_age50_A.lag2"
"LDN_grid_map$pc_f.scaled:LDN_grid_map$pc_50_p.scaled",0.00368678473849883,0.00915420785156694,0.40274208301571,0.687137971921668,"LDN_grid_map$pc_f.scaled:LDN_grid_map$pc_50_p.scaled","crossTermsAge_age50_A.lag2"
"LDN_grid_map$pc_50_p.scaled:LDN_grid_map$pc_bd_g.scaled",0.0203686933379922,0.0109285972906796,1.86379759416733,0.0623501337437227,"LDN_grid_map$pc_50_p.scaled:LDN_grid_map$pc_bd_g.scaled","crossTermsAge_age50_A.lag2"
