"","Estimate","Std. Error","z value","Pr(>|z|)","variable","model"
"(Intercept)",0.408914844471859,0.0330987945201995,12.3543727316808,0,"(Intercept)","crossTerms_age65_A.distance1km"
"LDN_grid_map$pc_f.scaled",-0.0379142901732547,0.0102271468346286,-3.70722067320659,0.000209546340063982,"LDN_grid_map$pc_f.scaled","crossTerms_age65_A.distance1km"
"LDN_grid_map$pc_65_p.scaled",-0.0554185743527423,0.0178223538881206,-3.10949803267464,0.00187405532563911,"LDN_grid_map$pc_65_p.scaled","crossTerms_age65_A.distance1km"
"LDN_grid_map$pop_den.scaled",-0.360697661449878,0.0224476724021412,-16.068376934059,0,"LDN_grid_map$pop_den.scaled","crossTerms_age65_A.distance1km"
"LDN_grid_map$pc_bd_g.scaled",0.0315298701774508,0.0167640449597137,1.88080324606748,0.0599986884466317,"LDN_grid_map$pc_bd_g.scaled","crossTerms_age65_A.distance1km"
"LDN_grid_map$avg_dpr.scaled",-0.034984897834957,0.0219834537316103,-1.59141954044517,0.111515189619954,"LDN_grid_map$avg_dpr.scaled","crossTerms_age65_A.distance1km"
"LDN_grid_map$WD_pp_d.scaled",0.597944036207627,0.0205749115990216,29.0618034167428,0,"LDN_grid_map$WD_pp_d.scaled","crossTerms_age65_A.distance1km"
"LDN_grid_map$cnt_spr.scaled",0.248494036863241,0.00761744645205899,32.6216978914336,0,"LDN_grid_map$cnt_spr.scaled","crossTerms_age65_A.distance1km"
"LDN_grid_map$cnt_CHs.scaled",0.00626560319565815,0.00698459713017615,0.897060070735982,0.369686863729254,"LDN_grid_map$cnt_CHs.scaled","crossTerms_age65_A.distance1km"
"LDN_grid_map$pc_65_p.scaled:LDN_grid_map$pop_den.scaled",0.0221353128673698,0.0153453914018519,1.44247300624073,0.149168981343446,"LDN_grid_map$pc_65_p.scaled:LDN_grid_map$pop_den.scaled","crossTerms_age65_A.distance1km"
"LDN_grid_map$pop_den.scaled:LDN_grid_map$pc_bd_g.scaled",-0.0232284291883298,0.0141212246787703,-1.64493021793295,0.0999842024752857,"LDN_grid_map$pop_den.scaled:LDN_grid_map$pc_bd_g.scaled","crossTerms_age65_A.distance1km"
"LDN_grid_map$pop_den.scaled:LDN_grid_map$avg_dpr.scaled",0.0298644129472295,0.0162297423065615,1.84010395132125,0.0657529773074823,"LDN_grid_map$pop_den.scaled:LDN_grid_map$avg_dpr.scaled","crossTerms_age65_A.distance1km"
"LDN_grid_map$pop_den.scaled:LDN_grid_map$cnt_spr.scaled",-0.037340454153069,0.0068202549006188,-5.47493527693241,4.37671550113095e-08,"LDN_grid_map$pop_den.scaled:LDN_grid_map$cnt_spr.scaled","crossTerms_age65_A.distance1km"
