"","Estimate","Std. Error","z value","Pr(>|z|)","variable","model"
"(Intercept)",0.472818523863127,0.0115057416606154,41.094136980461,0,"(Intercept)","crossTerms_age65_A.nearest4"
"LDN_grid_map$pc_f.scaled",-0.0526518909337812,0.0092977901561954,-5.66283923913873,1.48888634754485e-08,"LDN_grid_map$pc_f.scaled","crossTerms_age65_A.nearest4"
"LDN_grid_map$pc_65_p.scaled",-0.0431557663352133,0.0151094962265649,-2.85620153631189,0.00428742891834388,"LDN_grid_map$pc_65_p.scaled","crossTerms_age65_A.nearest4"
"LDN_grid_map$pop_den.scaled",-0.546033611581456,0.0190689810506618,-28.6346506995194,0,"LDN_grid_map$pop_den.scaled","crossTerms_age65_A.nearest4"
"LDN_grid_map$pc_bd_g.scaled",0.056069886094807,0.015618204865543,3.59003397493579,0.000330634863465296,"LDN_grid_map$pc_bd_g.scaled","crossTerms_age65_A.nearest4"
"LDN_grid_map$avg_dpr.scaled",-0.0977460739157272,0.0178885373134832,-5.46417363269006,4.65068157318171e-08,"LDN_grid_map$avg_dpr.scaled","crossTerms_age65_A.nearest4"
"LDN_grid_map$WD_pp_d.scaled",0.891022533314646,0.0166010519126345,53.6726550825685,0,"LDN_grid_map$WD_pp_d.scaled","crossTerms_age65_A.nearest4"
"LDN_grid_map$cnt_spr.scaled",0.24653678498109,0.00763433815817756,32.2931444577172,0,"LDN_grid_map$cnt_spr.scaled","crossTerms_age65_A.nearest4"
"LDN_grid_map$cnt_CHs.scaled",0.00457641380554965,0.00701440275653525,0.65243100009988,0.514123171474385,"LDN_grid_map$cnt_CHs.scaled","crossTerms_age65_A.nearest4"
"LDN_grid_map$pc_65_p.scaled:LDN_grid_map$pop_den.scaled",0.0219711942379633,0.0130501058385465,1.68360276229073,0.0922584645396098,"LDN_grid_map$pc_65_p.scaled:LDN_grid_map$pop_den.scaled","crossTerms_age65_A.nearest4"
"LDN_grid_map$pop_den.scaled:LDN_grid_map$pc_bd_g.scaled",-0.0121718098748994,0.0130589945282501,-0.932063326052288,0.351303799625514,"LDN_grid_map$pop_den.scaled:LDN_grid_map$pc_bd_g.scaled","crossTerms_age65_A.nearest4"
"LDN_grid_map$pop_den.scaled:LDN_grid_map$avg_dpr.scaled",0.0237045487644762,0.0147427810829466,1.60787497495272,0.107862563666034,"LDN_grid_map$pop_den.scaled:LDN_grid_map$avg_dpr.scaled","crossTerms_age65_A.nearest4"
"LDN_grid_map$pop_den.scaled:LDN_grid_map$cnt_spr.scaled",-0.039597688262781,0.00678799857034325,-5.8334850622661,5.4281468209183e-09,"LDN_grid_map$pop_den.scaled:LDN_grid_map$cnt_spr.scaled","crossTerms_age65_A.nearest4"
