"","Estimate","Std. Error","z value","Pr(>|z|)","variable","model"
"(Intercept)",0.478758155554839,0.011131026001861,43.0111433999702,0,"(Intercept)","sprCross_crossTerms4_age50_A.nearest4"
"LDN_grid_map$pc_f.scaled",-0.053916037640189,0.00930304274838111,-5.79552723753433,6.81068734742496e-09,"LDN_grid_map$pc_f.scaled","sprCross_crossTerms4_age50_A.nearest4"
"LDN_grid_map$pop_den.scaled",-0.536547238885881,0.0182261184439954,-29.4383711229884,0,"LDN_grid_map$pop_den.scaled","sprCross_crossTerms4_age50_A.nearest4"
"LDN_grid_map$pc_50_p.scaled",-0.0331173060973671,0.0138318655793237,-2.39427616668514,0.0166532045123353,"LDN_grid_map$pc_50_p.scaled","sprCross_crossTerms4_age50_A.nearest4"
"LDN_grid_map$pc_bd_g.scaled",0.0502672263400889,0.0152383182096611,3.29873845974811,0.0009712035230387,"LDN_grid_map$pc_bd_g.scaled","sprCross_crossTerms4_age50_A.nearest4"
"LDN_grid_map$avg_dpr.scaled",-0.0885969178226786,0.0171646965784961,-5.16157785938801,2.44877002231192e-07,"LDN_grid_map$avg_dpr.scaled","sprCross_crossTerms4_age50_A.nearest4"
"LDN_grid_map$WD_pp_d.scaled",0.889604514649553,0.016778075113485,53.0218459884324,0,"LDN_grid_map$WD_pp_d.scaled","sprCross_crossTerms4_age50_A.nearest4"
"LDN_grid_map$cnt_spr.scaled",0.246435433114576,0.00763417226418676,32.2805701242357,0,"LDN_grid_map$cnt_spr.scaled","sprCross_crossTerms4_age50_A.nearest4"
"LDN_grid_map$cnt_CHs.scaled",0.00425682582978515,0.00700916442435637,0.607322866473637,0.543636666119549,"LDN_grid_map$cnt_CHs.scaled","sprCross_crossTerms4_age50_A.nearest4"
"LDN_grid_map$pc_f.scaled:LDN_grid_map$pop_den.scaled",-0.00326657193102952,0.00786345425231717,-0.41541183126575,0.677840447029279,"LDN_grid_map$pc_f.scaled:LDN_grid_map$pop_den.scaled","sprCross_crossTerms4_age50_A.nearest4"
"LDN_grid_map$pop_den.scaled:LDN_grid_map$pc_50_p.scaled",0.0224150352584887,0.010302990955757,2.17558526011942,0.0295862864917273,"LDN_grid_map$pop_den.scaled:LDN_grid_map$pc_50_p.scaled","sprCross_crossTerms4_age50_A.nearest4"
"LDN_grid_map$pop_den.scaled:LDN_grid_map$cnt_spr.scaled",-0.0392406095250965,0.00676456255996508,-5.80090865850446,6.5956522465882e-09,"LDN_grid_map$pop_den.scaled:LDN_grid_map$cnt_spr.scaled","sprCross_crossTerms4_age50_A.nearest4"
