"","Estimate","Std. Error","z value","Pr(>|z|)","variable","model"
"(Intercept)",0.454210033592158,0.00699913244677857,64.8951905176781,0,"(Intercept)","model_10_A.distance0.5km"
"LDN_grid$pc_f.scaled",-0.0499394412315778,0.00754842822023648,-6.61587283796325,3.69366759400691e-11,"LDN_grid$pc_f.scaled","model_10_A.distance0.5km"
"LDN_grid$pc_65_plus.scaled",-0.0553039842043911,0.0290811329533993,-1.90171353684921,0.0572086151690869,"LDN_grid$pc_65_plus.scaled","model_10_A.distance0.5km"
"LDN_grid$pc_50_plus.scaled",0.0148145397203434,0.028818844266772,0.514057384925202,0.607211870563383,"LDN_grid$pc_50_plus.scaled","model_10_A.distance0.5km"
"LDN_grid$pc_bad_gh.scaled",0.0365790730911976,0.0126672803976748,2.88768164458662,0.00388092450361022,"LDN_grid$pc_bad_gh.scaled","model_10_A.distance0.5km"
"LDN_grid$avg_hos_dpr.scaled",-0.0742814884843838,0.0140916368268615,-5.27131726406604,1.35448100735402e-07,"LDN_grid$avg_hos_dpr.scaled","model_10_A.distance0.5km"
"LDN_grid$pop_den.scaled",-0.650040035126399,0.0133549151387729,-48.6742168236739,0,"LDN_grid$pop_den.scaled","model_10_A.distance0.5km"
"LDN_grid$WD_pop_den.scaled",0.998812179774951,0.0135077099843367,73.9438573180171,0,"LDN_grid$WD_pop_den.scaled","model_10_A.distance0.5km"
"LDN_grid$count_sports.scaled",0.234887508240744,0.007255508452624,32.373679911543,0,"LDN_grid$count_sports.scaled","model_10_A.distance0.5km"
"LDN_grid$count_CHs.scaled",0.00450313815832905,0.00703665344756532,0.639954516999432,0.522202169430374,"LDN_grid$count_CHs.scaled","model_10_A.distance0.5km"
