"","Estimate","Std. Error","z value","Pr(>|z|)","variable","formula","neighbours"
"(Intercept)",0.422766678543908,0.0188276828832778,22.4545251354004,0,"(Intercept)","model_10","A.lag4"
"LDN_grid$pc_f.scaled",-0.0423888686855282,0.00967421782951202,-4.38163264798704,1.1779329405881e-05,"LDN_grid$pc_f.scaled","model_10","A.lag4"
"LDN_grid$pc_65_plus.scaled",-0.05245286772761,0.0355929870332454,-1.47368546726963,0.140566297518236,"LDN_grid$pc_65_plus.scaled","model_10","A.lag4"
"LDN_grid$pc_50_plus.scaled",-0.00175853164520117,0.0353024194336391,-0.0498133463205498,0.960271131061715,"LDN_grid$pc_50_plus.scaled","model_10","A.lag4"
"LDN_grid$pc_bad_gh.scaled",0.00944584513268114,0.0149858233519381,0.630318729298216,0.528486071441838,"LDN_grid$pc_bad_gh.scaled","model_10","A.lag4"
"LDN_grid$avg_hos_dpr.scaled",-0.0265564029733379,0.0187991025411724,-1.412642061778,0.15776099504274,"LDN_grid$avg_hos_dpr.scaled","model_10","A.lag4"
"LDN_grid$pop_den.scaled",-0.522644524202467,0.0165696406250249,-31.5422969049265,0,"LDN_grid$pop_den.scaled","model_10","A.lag4"
"LDN_grid$WD_pop_den.scaled",0.818922100847114,0.0174429514458941,46.9485971675899,0,"LDN_grid$WD_pop_den.scaled","model_10","A.lag4"
"LDN_grid$count_sports.scaled",0.229186720588693,0.00720368956007392,31.8151856319501,0,"LDN_grid$count_sports.scaled","model_10","A.lag4"
"LDN_grid$count_CHs.scaled",0.00650390152792506,0.00697038678468891,0.933076130324858,0.350780662425297,"LDN_grid$count_CHs.scaled","model_10","A.lag4"
"LDN_grid$pc_f.scaled:LDN_grid$pc_50_plus.scaled",-0.0722126369869361,0.0274281745486202,-2.63279048552536,0.00846865700854171,"LDN_grid$pc_f.scaled:LDN_grid$pc_50_plus.scaled","model_10","A.lag4"
"LDN_grid$pc_f.scaled:LDN_grid$pc_65_plus.scaled",0.0962529694868633,0.0273186525372172,3.52334249852676,0.000426140289419674,"LDN_grid$pc_f.scaled:LDN_grid$pc_65_plus.scaled","model_10","A.lag4"
"LDN_grid$pc_f.scaled:LDN_grid$pc_bad_gh.scaled",0.0473167368412058,0.00709232617505903,6.67153986904895,2.53133070060585e-11,"LDN_grid$pc_f.scaled:LDN_grid$pc_bad_gh.scaled","model_10","A.lag4"
