"","Estimate","Std. Error","z value","Pr(>|z|)","variable","formula","neighbours"
"(Intercept)",0.432725603393206,0.0242014606591099,17.8801440742925,0,"(Intercept)","model_4","A.distance1km"
"LDN_grid$pc_f.scaled",-0.0511795130774662,0.00994864092310594,-5.14437232914907,2.68416718851583e-07,"LDN_grid$pc_f.scaled","model_4","A.distance1km"
"LDN_grid$pop_den.scaled",-0.448475815785355,0.0216067937339849,-20.7562408984335,0,"LDN_grid$pop_den.scaled","model_4","A.distance1km"
"LDN_grid$pc_65_plus.scaled",0.0267482593847726,0.0400309832133593,0.668188918623565,0.504013008093352,"LDN_grid$pc_65_plus.scaled","model_4","A.distance1km"
"LDN_grid$pc_50_plus.scaled",-0.095690587125307,0.0388543785798014,-2.46280060634021,0.0137856557139577,"LDN_grid$pc_50_plus.scaled","model_4","A.distance1km"
"LDN_grid$pc_bad_gh.scaled",0.013173855236465,0.0160402988922332,0.821297366400314,0.411476907455298,"LDN_grid$pc_bad_gh.scaled","model_4","A.distance1km"
"LDN_grid$avg_hos_dpr.scaled",-0.0182333594786136,0.0205893442389696,-0.88557261790316,0.375847872255951,"LDN_grid$avg_hos_dpr.scaled","model_4","A.distance1km"
"LDN_grid$WD_pop_den.scaled",0.715332560318432,0.0198299865313165,36.073275147653,0,"LDN_grid$WD_pop_den.scaled","model_4","A.distance1km"
"LDN_grid$count_sports.scaled",0.224242004301266,0.00714336196103594,31.3916620107469,0,"LDN_grid$count_sports.scaled","model_4","A.distance1km"
"LDN_grid$count_CHs.scaled",0.00710831869335538,0.00691077672297499,1.02858462634506,0.303674905249718,"LDN_grid$count_CHs.scaled","model_4","A.distance1km"
"LDN_grid$pc_f.scaled:LDN_grid$pop_den.scaled",0.0238636700541559,0.00844857753234725,2.82457845273817,0.00473428567015444,"LDN_grid$pc_f.scaled:LDN_grid$pop_den.scaled","model_4","A.distance1km"
"LDN_grid$pop_den.scaled:LDN_grid$pc_65_plus.scaled",-0.0286652837902459,0.0389571150227284,-0.735816391268243,0.461842444549647,"LDN_grid$pop_den.scaled:LDN_grid$pc_65_plus.scaled","model_4","A.distance1km"
"LDN_grid$pop_den.scaled:LDN_grid$pc_50_plus.scaled",0.0415270825587492,0.0343992023443479,1.2072106249165,0.227351039675983,"LDN_grid$pop_den.scaled:LDN_grid$pc_50_plus.scaled","model_4","A.distance1km"
"LDN_grid$pop_den.scaled:LDN_grid$pc_bad_gh.scaled",0.00108699671566574,0.00821475341150848,0.132322500897338,0.894729210717704,"LDN_grid$pop_den.scaled:LDN_grid$pc_bad_gh.scaled","model_4","A.distance1km"
