"","Estimate","Std. Error","z value","Pr(>|z|)","variable","formula","neighbours"
"(Intercept)",0.460489499182156,0.011093480252191,41.5099219283514,0,"(Intercept)","model_4","A.nearest4"
"LDN_grid$pc_f.scaled",-0.0545902076835465,0.00905145137349645,-6.03109992320039,1.62847446638636e-09,"LDN_grid$pc_f.scaled","model_4","A.nearest4"
"LDN_grid$pop_den.scaled",-0.592169128870035,0.0185900204717507,-31.8541407617002,0,"LDN_grid$pop_den.scaled","model_4","A.nearest4"
"LDN_grid$pc_65_plus.scaled",-0.0276058669573479,0.0368724812248796,-0.74868481968935,0.454047195354728,"LDN_grid$pc_65_plus.scaled","model_4","A.nearest4"
"LDN_grid$pc_50_plus.scaled",-0.0212988022637435,0.0353937442167696,-0.601767423454794,0.547328962487811,"LDN_grid$pc_50_plus.scaled","model_4","A.nearest4"
"LDN_grid$pc_bad_gh.scaled",0.0438951225151199,0.015146485095898,2.89804018801747,0.00375502470257993,"LDN_grid$pc_bad_gh.scaled","model_4","A.nearest4"
"LDN_grid$avg_hos_dpr.scaled",-0.0837450577777641,0.0173003573741859,-4.84065478917339,1.29412009353125e-06,"LDN_grid$avg_hos_dpr.scaled","model_4","A.nearest4"
"LDN_grid$WD_pop_den.scaled",0.936729082379895,0.0163531523929297,57.2812543950176,0,"LDN_grid$WD_pop_den.scaled","model_4","A.nearest4"
"LDN_grid$count_sports.scaled",0.218039148239167,0.00713018357946717,30.5797383488211,0,"LDN_grid$count_sports.scaled","model_4","A.nearest4"
"LDN_grid$count_CHs.scaled",0.00888230564232641,0.00691173618146042,1.28510484328839,0.198755649343049,"LDN_grid$count_CHs.scaled","model_4","A.nearest4"
"LDN_grid$pc_f.scaled:LDN_grid$pop_den.scaled",0.0121395756926922,0.00799061807821508,1.51922862209977,0.128704959166036,"LDN_grid$pc_f.scaled:LDN_grid$pop_den.scaled","model_4","A.nearest4"
"LDN_grid$pop_den.scaled:LDN_grid$pc_65_plus.scaled",-0.00878444163125713,0.0378571455772493,-0.232041837737926,0.816505518661691,"LDN_grid$pop_den.scaled:LDN_grid$pc_65_plus.scaled","model_4","A.nearest4"
"LDN_grid$pop_den.scaled:LDN_grid$pc_50_plus.scaled",0.0394085689539316,0.0326209820568658,1.20807426598113,0.227018697273045,"LDN_grid$pop_den.scaled:LDN_grid$pc_50_plus.scaled","model_4","A.nearest4"
"LDN_grid$pop_den.scaled:LDN_grid$pc_bad_gh.scaled",-0.0309832913963566,0.0131389644277714,-2.35812278560312,0.0183676165017581,"LDN_grid$pop_den.scaled:LDN_grid$pc_bad_gh.scaled","model_4","A.nearest4"
"LDN_grid$pop_den.scaled:LDN_grid$avg_hos_dpr.scaled",0.0487562546267228,0.0146736535786683,3.32270721571361,0.000891484308677581,"LDN_grid$pop_den.scaled:LDN_grid$avg_hos_dpr.scaled","model_4","A.nearest4"
