"","Estimate","Std. Error","z value","Pr(>|z|)","variable","formula","neighbours"
"(Intercept)",0.452713394899495,0.0125507054288176,36.0707529522621,0,"(Intercept)","model_4","A.queen_shared_edge"
"LDN_grid$pc_f.scaled",-0.0497086313498454,0.00948466064714998,-5.24094990839575,1.59752080897135e-07,"LDN_grid$pc_f.scaled","model_4","A.queen_shared_edge"
"LDN_grid$pop_den.scaled",-0.547098620338999,0.0196373795339785,-27.8600624585554,0,"LDN_grid$pop_den.scaled","model_4","A.queen_shared_edge"
"LDN_grid$pc_65_plus.scaled",-0.010732770399774,0.038755851174171,-0.276932903667638,0.781831626801698,"LDN_grid$pc_65_plus.scaled","model_4","A.queen_shared_edge"
"LDN_grid$pc_50_plus.scaled",-0.0411015334255498,0.0371990707713108,-1.10490753057328,0.269199659023768,"LDN_grid$pc_50_plus.scaled","model_4","A.queen_shared_edge"
"LDN_grid$pc_bad_gh.scaled",0.0373251704789353,0.015821263361346,2.35917762232104,0.0183154868076563,"LDN_grid$pc_bad_gh.scaled","model_4","A.queen_shared_edge"
"LDN_grid$avg_hos_dpr.scaled",-0.0740172033976051,0.0184306000655311,-4.01599530858641,5.9195433096626e-05,"LDN_grid$avg_hos_dpr.scaled","model_4","A.queen_shared_edge"
"LDN_grid$WD_pop_den.scaled",0.874092154126694,0.0172618152046736,50.6373254355101,0,"LDN_grid$WD_pop_den.scaled","model_4","A.queen_shared_edge"
"LDN_grid$count_sports.scaled",0.218198917925769,0.00711409816904978,30.6713391832367,0,"LDN_grid$count_sports.scaled","model_4","A.queen_shared_edge"
"LDN_grid$count_CHs.scaled",0.0079848560680025,0.00688759390952876,1.1593099379677,0.246329872330037,"LDN_grid$count_CHs.scaled","model_4","A.queen_shared_edge"
"LDN_grid$pc_f.scaled:LDN_grid$pop_den.scaled",0.015328481115275,0.00820270683298487,1.86871010111392,0.0616631579187679,"LDN_grid$pc_f.scaled:LDN_grid$pop_den.scaled","model_4","A.queen_shared_edge"
"LDN_grid$pop_den.scaled:LDN_grid$pc_65_plus.scaled",0.0095930623258571,0.039360193839205,0.243724976687027,0.807443827989053,"LDN_grid$pop_den.scaled:LDN_grid$pc_65_plus.scaled","model_4","A.queen_shared_edge"
"LDN_grid$pop_den.scaled:LDN_grid$pc_50_plus.scaled",0.0204476251587218,0.0338900272317848,0.603352278794996,0.546274361453625,"LDN_grid$pop_den.scaled:LDN_grid$pc_50_plus.scaled","model_4","A.queen_shared_edge"
"LDN_grid$pop_den.scaled:LDN_grid$pc_bad_gh.scaled",-0.0268142533072321,0.0136497673251812,-1.96444764723314,0.0494782018852735,"LDN_grid$pop_den.scaled:LDN_grid$pc_bad_gh.scaled","model_4","A.queen_shared_edge"
"LDN_grid$pop_den.scaled:LDN_grid$avg_hos_dpr.scaled",0.0480649932265833,0.0153307728057292,3.13519702076735,0.00171738727443227,"LDN_grid$pop_den.scaled:LDN_grid$avg_hos_dpr.scaled","model_4","A.queen_shared_edge"
