"","Estimate","Std. Error","z value","Pr(>|z|)","variable","formula","neighbours"
"(Intercept)",0.457339189307336,0.0114439587670625,39.9633726943889,0,"(Intercept)","model_4","A.rook_shared_edge"
"LDN_grid$pc_f.scaled",-0.051677737509401,0.00917520319706069,-5.63232621659607,1.77794969857814e-08,"LDN_grid$pc_f.scaled","model_4","A.rook_shared_edge"
"LDN_grid$pop_den.scaled",-0.58156112501645,0.0188482706600879,-30.854879766128,0,"LDN_grid$pop_den.scaled","model_4","A.rook_shared_edge"
"LDN_grid$pc_65_plus.scaled",-0.0239361535960986,0.0374461841498563,-0.639214759514835,0.522683231732564,"LDN_grid$pc_65_plus.scaled","model_4","A.rook_shared_edge"
"LDN_grid$pc_50_plus.scaled",-0.0240327787936185,0.0358551083457422,-0.670274889755631,0.502682571180691,"LDN_grid$pc_50_plus.scaled","model_4","A.rook_shared_edge"
"LDN_grid$pc_bad_gh.scaled",0.0416231638674281,0.0153403616441509,2.71331047031076,0.00666146621832731,"LDN_grid$pc_bad_gh.scaled","model_4","A.rook_shared_edge"
"LDN_grid$avg_hos_dpr.scaled",-0.080431453225402,0.0175697391348491,-4.57783992170199,4.69801980629292e-06,"LDN_grid$avg_hos_dpr.scaled","model_4","A.rook_shared_edge"
"LDN_grid$WD_pop_den.scaled",0.923429272123256,0.0165394208992542,55.8320196183468,0,"LDN_grid$WD_pop_den.scaled","model_4","A.rook_shared_edge"
"LDN_grid$count_sports.scaled",0.215923714196609,0.00709468994849253,30.4345525687826,0,"LDN_grid$count_sports.scaled","model_4","A.rook_shared_edge"
"LDN_grid$count_CHs.scaled",0.00947395348620246,0.00687707150352361,1.37761450951154,0.168322338759727,"LDN_grid$count_CHs.scaled","model_4","A.rook_shared_edge"
"LDN_grid$pc_f.scaled:LDN_grid$pop_den.scaled",0.0134831156036961,0.00802850521333581,1.67940547404763,0.0930730471751429,"LDN_grid$pc_f.scaled:LDN_grid$pop_den.scaled","model_4","A.rook_shared_edge"
"LDN_grid$pop_den.scaled:LDN_grid$pc_65_plus.scaled",-0.00095983562800156,0.0383131964402981,-0.025052350552302,0.980013206990427,"LDN_grid$pop_den.scaled:LDN_grid$pc_65_plus.scaled","model_4","A.rook_shared_edge"
"LDN_grid$pop_den.scaled:LDN_grid$pc_50_plus.scaled",0.032108111219866,0.032983912258685,0.973447630106753,0.330330876293483,"LDN_grid$pop_den.scaled:LDN_grid$pc_50_plus.scaled","model_4","A.rook_shared_edge"
"LDN_grid$pop_den.scaled:LDN_grid$pc_bad_gh.scaled",-0.0307039848526776,0.0133004030201869,-2.30850033687522,0.0209713241202139,"LDN_grid$pop_den.scaled:LDN_grid$pc_bad_gh.scaled","model_4","A.rook_shared_edge"
"LDN_grid$pop_den.scaled:LDN_grid$avg_hos_dpr.scaled",0.0487548378456409,0.0148508417132703,3.28296798167844,0.00102720331871731,"LDN_grid$pop_den.scaled:LDN_grid$avg_hos_dpr.scaled","model_4","A.rook_shared_edge"
