"","Estimate","Std. Error","z value","Pr(>|z|)","variable","formula","neighbours"
"(Intercept)",0.460166681137356,0.0122448377099242,37.5804638688188,0,"(Intercept)","model_8","A.distance0.5km"
"LDN_grid$pc_f.scaled",-0.048841372106259,0.00937029570638658,-5.21236187594057,1.86451384776021e-07,"LDN_grid$pc_f.scaled","model_8","A.distance0.5km"
"LDN_grid$pc_65_plus.scaled",-0.0115265983106116,0.0383097762740732,-0.300878768598093,0.763506940784962,"LDN_grid$pc_65_plus.scaled","model_8","A.distance0.5km"
"LDN_grid$pc_50_plus.scaled",-0.0414200052005591,0.0368343835692605,-1.12449296518499,0.260803953226781,"LDN_grid$pc_50_plus.scaled","model_8","A.distance0.5km"
"LDN_grid$pc_bad_gh.scaled",0.0334522803656985,0.0154343560026578,2.16739074568049,0.0302050723145841,"LDN_grid$pc_bad_gh.scaled","model_8","A.distance0.5km"
"LDN_grid$avg_hos_dpr.scaled",-0.0671254731260375,0.0178597211161493,-3.7584838357493,0.000170946079901535,"LDN_grid$avg_hos_dpr.scaled","model_8","A.distance0.5km"
"LDN_grid$pop_den.scaled",-0.56986750525968,0.0194465026059778,-29.304369881117,0,"LDN_grid$pop_den.scaled","model_8","A.distance0.5km"
"LDN_grid$WD_pop_den.scaled",0.895202121634658,0.017129292072821,52.2614780475997,0,"LDN_grid$WD_pop_den.scaled","model_8","A.distance0.5km"
"LDN_grid$count_sports.scaled",0.239513259809111,0.00748749412469143,31.9884404341995,0,"LDN_grid$count_sports.scaled","model_8","A.distance0.5km"
"LDN_grid$count_CHs.scaled",0.00399139417008251,0.00738323423337889,0.540602403217522,0.588781661072812,"LDN_grid$count_CHs.scaled","model_8","A.distance0.5km"
"LDN_grid$pc_f.scaled:LDN_grid$pop_den.scaled",0.0102992556766462,0.00803161510919619,1.28233929746628,0.1997236482667,"LDN_grid$pc_f.scaled:LDN_grid$pop_den.scaled","model_8","A.distance0.5km"
"LDN_grid$pc_50_plus.scaled:LDN_grid$pop_den.scaled",0.0210217765589889,0.0332844394199845,0.631579708876428,0.527661549058122,"LDN_grid$pc_50_plus.scaled:LDN_grid$pop_den.scaled","model_8","A.distance0.5km"
"LDN_grid$pc_65_plus.scaled:LDN_grid$pop_den.scaled",-0.0206307087674572,0.0374715551377043,-0.550569857366245,0.581928576679147,"LDN_grid$pc_65_plus.scaled:LDN_grid$pop_den.scaled","model_8","A.distance0.5km"
"LDN_grid$pc_bad_gh.scaled:LDN_grid$pop_den.scaled",0.0112542569339212,0.00803747352487487,1.4002232043553,0.161446489265363,"LDN_grid$pc_bad_gh.scaled:LDN_grid$pop_den.scaled","model_8","A.distance0.5km"
"LDN_grid$pop_den.scaled:LDN_grid$count_sports.scaled",-0.0582348133084561,0.00670068241096375,-8.6908779937356,0,"LDN_grid$pop_den.scaled:LDN_grid$count_sports.scaled","model_8","A.distance0.5km"
"LDN_grid$pop_den.scaled:LDN_grid$count_CHs.scaled",0.00934657091022423,0.00727577862971426,1.28461452524859,0.198927020324908,"LDN_grid$pop_den.scaled:LDN_grid$count_CHs.scaled","model_8","A.distance0.5km"
