"","X.Formula.","X.Neighbour.Matrix.","X.Log.Likelihood.","X.ML.Residual.Variance.","X.AIC."
"1","Formula","Neighbour Matrix","Log Likelihood","ML Residual Variance","AIC"
"1","model_1","A.distance0.5km",-24451.7777436378,0.843530762015719,48927.5554872756
"1","model_1","A.distance1km",-24468.7246733266,0.847494296189624,48961.4493466533
"1","model_1","A.distance1.5km",-24565.6989672995,0.866272586253387,49155.3979345991
"1","model_1","A.queen_shared_edge",-24442.2015398272,0.841051040710053,48908.4030796545
"1","model_1","A.rook_shared_edge",-24420.1595245969,0.835596768546407,48864.3190491939
"1","model_1","A.lag2",-24470.372529315,0.8459294272224,48964.7450586301
"1","model_1","A.lag4",-24581.8454124192,0.869240297795972,49187.6908248383
"1","model_1","A.nearest4",-24471.1628196426,0.845278937745278,48966.3256392851
"1","model_2","A.distance0.5km",-24452.7327322116,0.843750725550848,48925.4654644233
"1","model_2","A.distance1km",-24471.5542318428,0.848113392255876,48963.1084636856
"1","model_2","A.distance1.5km",-24567.2371070065,0.866525551098616,49154.474214013
"1","model_2","A.queen_shared_edge",-24443.2110186828,0.841287871820739,48906.4220373656
"1","model_2","A.rook_shared_edge",-24421.3180394997,0.835834420683213,48862.6360789995
"1","model_2","A.lag2",-24472.0343233603,0.846401576782299,48964.0686467207
"1","model_2","A.lag4",-24582.9633765755,0.869439227075085,49185.926753151
"1","model_2","A.nearest4",-24472.1696966241,0.845478073199699,48964.3393932482
"1","model_3","A.distance0.5km",-24449.3028012272,0.843594120114887,48926.6056024544
"1","model_3","A.distance1km",-24466.102242231,0.847475297042867,48960.204484462
"1","model_3","A.distance1.5km",-24561.3739992063,0.866001561532469,49150.7479984125
"1","model_3","A.queen_shared_edge",-24439.834322097,0.841129975593534,48907.668644194
"1","model_3","A.rook_shared_edge",-24417.1227225244,0.835619867673093,48862.2454450487
"1","model_3","A.lag2",-24467.9272908263,0.84594499813943,48963.8545816526
"1","model_3","A.lag4",-24577.3072450536,0.868873913492106,49182.6144901071
"1","model_3","A.nearest4",-24467.834311497,0.84526599212593,48963.6686229941
"1","model_4","A.distance0.5km",-24443.0587183062,0.843134764168703,48920.1174366124
"1","model_4","A.distance1km",-24456.8943627982,0.846552713118987,48947.7887255964
"1","model_4","A.distance1.5km",-24549.0300105755,0.864581262744138,49132.0600211509
"1","model_4","A.queen_shared_edge",-24433.1031091688,0.840580523579774,48900.2062183375
"1","model_4","A.rook_shared_edge",-24410.7790519404,0.835190032579458,48855.5581038808
"1","model_4","A.lag2",-24458.004260811,0.844928984080638,48950.008521622
"1","model_4","A.lag4",-24565.9875268431,0.867599353597648,49165.9750536863
"1","model_4","A.nearest4",-24461.6333130722,0.844872413641108,48957.2666261445
"1","model_5","A.distance0.5km",-24405.4426078884,0.840656612467726,48848.8852157767
"1","model_5","A.distance1km",-24420.7340764603,0.843609134509704,48879.4681529206
"1","model_5","A.distance1.5km",-24505.0544637758,0.860548819504391,49048.1089275516
"1","model_5","A.queen_shared_edge",-24395.8274210561,0.838183808865929,48829.6548421122
"1","model_5","A.rook_shared_edge",-24371.4617621188,0.832612619050673,48780.9235242377
"1","model_5","A.lag2",-24421.6140339789,0.842149531140938,48881.2280679579
"1","model_5","A.lag4",-24519.9606525303,0.863284250433546,49077.9213050606
"1","model_5","A.nearest4",-24420.9593425132,0.842049822766744,48879.9186850263
"1","model_6","A.distance0.5km",-24452.7327322116,0.843750725550848,48925.4654644233
"1","model_6","A.distance1km",-24471.5542318428,0.848113392255876,48963.1084636856
"1","model_6","A.distance1.5km",-24567.2371070065,0.866525551098616,49154.474214013
"1","model_6","A.queen_shared_edge",-24443.2110186828,0.841287871820739,48906.4220373656
"1","model_6","A.rook_shared_edge",-24421.3180394997,0.835834420683213,48862.6360789995
"1","model_6","A.lag2",-24472.0343233603,0.846401576782299,48964.0686467207
"1","model_6","A.lag4",-24582.9633765755,0.869439227075085,49185.926753151
"1","model_6","A.nearest4",-24472.1696966241,0.845478073199699,48964.3393932482
"1","model_7","A.distance0.5km",-24452.1817346318,0.843472322348675,48926.3634692636
"1","model_7","A.distance1km",-24468.7432477835,0.847523260148998,48959.486495567
"1","model_7","A.distance1.5km",-24565.7875171954,0.866253443269741,49153.5750343909
"1","model_7","A.queen_shared_edge",-24442.5433979414,0.840984185976166,48907.0867958829
"1","model_7","A.rook_shared_edge",-24420.8800767744,0.835568394109259,48863.7601535487
"1","model_7","A.lag2",-24470.3963091792,0.845896387601621,48962.7926183585
"1","model_7","A.lag4",-24582.0807042202,0.869226779959714,49186.1614084405
"1","model_7","A.nearest4",-24472.0031178007,0.845268514654235,48966.0062356014
"1","model_8","A.distance0.5km",-25040.4409203555,0.829463920855304,50102.881840711
"1","model_8","A.distance1km",-24963.9107491986,0.886974893962694,49949.8214983972
"1","model_8","A.distance1.5km",-25340.4151115391,0.940660486227769,50702.8302230782
"1","model_8","A.queen_shared_edge",-25008.430177706,0.826080217089532,50038.8603554121
"1","model_8","A.rook_shared_edge",-25221.5903836466,0.815085496402965,50465.1807672932
"1","model_8","A.lag2",-25010.2095314995,0.879838449935857,50042.4190629991
"1","model_8","A.lag4",-25568.3735148401,0.96508363149538,51158.7470296803
"1","model_8","A.nearest4",-25314.4199503668,0.837569540190055,50650.8399007336
"1","model_9","A.distance0.5km",-24411.4317353149,0.841013048021281,48850.8634706298
"1","model_9","A.distance1km",-24426.066079854,0.844062363365633,48880.132159708
"1","model_9","A.distance1.5km",-24510.6547480555,0.861102923625805,49049.309496111
"1","model_9","A.queen_shared_edge",-24401.9929465049,0.838579462499015,48831.9858930098
"1","model_9","A.rook_shared_edge",-24377.9254500961,0.832999367682421,48783.8509001923
"1","model_9","A.lag2",-24427.7129610304,0.842556405784606,48883.4259220607
"1","model_9","A.lag4",-24525.8709550081,0.863814343704608,49079.7419100162
"1","model_9","A.nearest4",-24427.5736872604,0.84245481673568,48883.1473745208
